epoch,loss,acc,val_loss,val_acc
1,0.5008,0.7717,0.4202,0.8871
2,0.4447,0.8073,0.3766,0.8985
3,0.4138,0.8184,0.3378,0.9074
4,0.3817,0.8365,0.3070,0.9115
5,0.3582,0.8461,0.2855,0.9171
6,0.3374,0.8532,0.2703,0.9180
7,0.3225,0.8660,0.2600,0.9180
8,0.3092,0.8723,0.2517,0.9212
9,0.2991,0.8764,0.2456,0.9204
10,0.2855,0.8835,0.2407,0.9196
11,0.2855,0.8813,0.2373,0.9236
12,0.2795,0.8887,0.2339,0.9228
13,0.2774,0.8878,0.2309,0.9228
14,0.2683,0.8932,0.2279,0.9220
15,0.2633,0.8925,0.2254,0.9261
16,0.2604,0.8938,0.2226,0.9269
17,0.2559,0.8964,0.2190,0.9277
18,0.2509,0.8963,0.2150,0.9285
19,0.2466,0.8965,0.2110,0.9318
20,0.2410,0.9004,0.2053,0.9310
21,0.2339,0.9052,0.2011,0.9318
22,0.2380,0.9024,0.1973,0.9334
23,0.2288,0.9071,0.1943,0.9342
24,0.2294,0.9054,0.1916,0.9383
25,0.2228,0.9105,0.1880,0.9391
26,0.2195,0.9130,0.1847,0.9391
27,0.2170,0.9107,0.1819,0.9415
28,0.2160,0.9126,0.1794,0.9439
29,0.2066,0.9147,0.1764,0.9431
30,0.2066,0.9135,0.1737,0.9415
31,0.2010,0.9163,0.1716,0.9448
32,0.1981,0.9191,0.1688,0.9464
33,0.1991,0.9220,0.1668,0.9464
34,0.1939,0.9179,0.1649,0.9472
35,0.1905,0.9219,0.1621,0.9480
36,0.1946,0.9224,0.1599,0.9488
37,0.1852,0.9244,0.1576,0.9504
38,0.1827,0.9224,0.1550,0.9504
39,0.1793,0.9229,0.1522,0.9513
40,0.1759,0.9261,0.1502,0.9521
41,0.1749,0.9262,0.1473,0.9521
42,0.1751,0.9291,0.1461,0.9529
43,0.1640,0.9317,0.1437,0.9521
44,0.1734,0.9313,0.1421,0.9521
45,0.1694,0.9297,0.1402,0.9521
46,0.1677,0.9341,0.1388,0.9545
47,0.1648,0.9333,0.1382,0.9537
48,0.1578,0.9354,0.1348,0.9553
49,0.1597,0.9350,0.1334,0.9561
50,0.1573,0.9347,0.1318,0.9561
51,0.1553,0.9398,0.1292,0.9553
52,0.1545,0.9397,0.1283,0.9569
53,0.1523,0.9425,0.1258,0.9553
54,0.1490,0.9432,0.1247,0.9578
55,0.1493,0.9444,0.1242,0.9586
56,0.1468,0.9450,0.1217,0.9594
57,0.1453,0.9478,0.1198,0.9594
58,0.1487,0.9462,0.1182,0.9602
59,0.1393,0.9467,0.1169,0.9594
60,0.1354,0.9517,0.1160,0.9610
61,0.1382,0.9498,0.1141,0.9618
62,0.1393,0.9513,0.1133,0.9626
63,0.1325,0.9517,0.1108,0.9626
64,0.1323,0.9528,0.1095,0.9634
65,0.1356,0.9526,0.1090,0.9626
66,0.1316,0.9547,0.1070,0.9634
67,0.1246,0.9557,0.1053,0.9634
68,0.1306,0.9546,0.1045,0.9634
69,0.1249,0.9584,0.1032,0.9634
70,0.1279,0.9572,0.1019,0.9643
71,0.1208,0.9601,0.1019,0.9675
72,0.1210,0.9580,0.0986,0.9651
73,0.1222,0.9606,0.0986,0.9683
74,0.1190,0.9600,0.0980,0.9691
75,0.1187,0.9617,0.0957,0.9708
76,0.1133,0.9617,0.0944,0.9708
77,0.1126,0.9624,0.0929,0.9716
78,0.1190,0.9642,0.0921,0.9724
79,0.1090,0.9664,0.0908,0.9724
80,0.1117,0.9640,0.0899,0.9740
81,0.1111,0.9630,0.0887,0.9740
82,0.1085,0.9662,0.0889,0.9748
83,0.1120,0.9651,0.0869,0.9748
84,0.1096,0.9666,0.0855,0.9748
85,0.1027,0.9657,0.0851,0.9748
86,0.1070,0.9690,0.0881,0.9756
87,0.1045,0.9681,0.0840,0.9740
88,0.1030,0.9675,0.0826,0.9740
89,0.1051,0.9685,0.0824,0.9748
90,0.1013,0.9680,0.0820,0.9748
91,0.0991,0.9718,0.0794,0.9748
92,0.0979,0.9704,0.0805,0.9756
93,0.0970,0.9694,0.0794,0.9773
94,0.0969,0.9689,0.0790,0.9764
95,0.0994,0.9681,0.0768,0.9789
96,0.0960,0.9707,0.0768,0.9773
97,0.0943,0.9723,0.0763,0.9773
98,0.0975,0.9725,0.0755,0.9773
99,0.0967,0.9720,0.0748,0.9789
100,0.0931,0.9724,0.0741,0.9797
101,0.0957,0.9722,0.0725,0.9797
102,0.0947,0.9721,0.0724,0.9813
103,0.0940,0.9719,0.0720,0.9813
104,0.0913,0.9757,0.0718,0.9805
105,0.0923,0.9723,0.0701,0.9813
106,0.0919,0.9733,0.0700,0.9829
107,0.0889,0.9758,0.0686,0.9821
108,0.0859,0.9752,0.0689,0.9838
109,0.0879,0.9743,0.0681,0.9829
110,0.0858,0.9739,0.0667,0.9846
111,0.0878,0.9729,0.0663,0.9838
112,0.0852,0.9743,0.0666,0.9838
113,0.0846,0.9757,0.0657,0.9838
114,0.0899,0.9754,0.0654,0.9838
115,0.0854,0.9771,0.0636,0.9862
116,0.0826,0.9768,0.0628,0.9870
117,0.0810,0.9767,0.0623,0.9870
118,0.0876,0.9760,0.0619,0.9870
119,0.0836,0.9780,0.0619,0.9862
120,0.0794,0.9804,0.0608,0.9870
121,0.0843,0.9767,0.0611,0.9862
122,0.0823,0.9783,0.0604,0.9870
123,0.0812,0.9771,0.0589,0.9870
124,0.0792,0.9785,0.0598,0.9870
125,0.0794,0.9785,0.0579,0.9870
126,0.0766,0.9798,0.0570,0.9870
127,0.0761,0.9800,0.0560,0.9878
128,0.0716,0.9823,0.0559,0.9878
129,0.0742,0.9793,0.0542,0.9878
130,0.0737,0.9802,0.0540,0.9886
131,0.0751,0.9808,0.0526,0.9886
132,0.0756,0.9809,0.0569,0.9894
133,0.0750,0.9805,0.0534,0.9894
134,0.0768,0.9794,0.0530,0.9894
135,0.0717,0.9814,0.0519,0.9886
136,0.0709,0.9820,0.0511,0.9886
137,0.0723,0.9812,0.0512,0.9894
138,0.0734,0.9816,0.0505,0.9894
139,0.0724,0.9831,0.0492,0.9886
140,0.0682,0.9831,0.0494,0.9894
141,0.0670,0.9831,0.0484,0.9886
142,0.0712,0.9838,0.0478,0.9894
143,0.0658,0.9830,0.0468,0.9894
144,0.0649,0.9827,0.0461,0.9894
145,0.0643,0.9839,0.0456,0.9894
146,0.0691,0.9831,0.0450,0.9903
147,0.0688,0.9824,0.0442,0.9911
148,0.0688,0.9847,0.0438,0.9919
149,0.0629,0.9846,0.0427,0.9903
150,0.0644,0.9848,0.0428,0.9919
151,0.0652,0.9866,0.0446,0.9919
152,0.0618,0.9860,0.0423,0.9919
153,0.0630,0.9858,0.0430,0.9911
154,0.0635,0.9864,0.0413,0.9927
155,0.0630,0.9855,0.0411,0.9927
156,0.0608,0.9854,0.0409,0.9927
157,0.0604,0.9855,0.0401,0.9935
158,0.0623,0.9850,0.0397,0.9927
159,0.0619,0.9848,0.0393,0.9935
160,0.0581,0.9864,0.0389,0.9935
161,0.0602,0.9856,0.0385,0.9935
162,0.0555,0.9869,0.0383,0.9935
163,0.0611,0.9876,0.0376,0.9935
164,0.0600,0.9875,0.0375,0.9943
165,0.0576,0.9874,0.0367,0.9935
166,0.0580,0.9869,0.0363,0.9943
167,0.0555,0.9881,0.0359,0.9943
168,0.0566,0.9875,0.0357,0.9943
169,0.0582,0.9894,0.0351,0.9943
170,0.0561,0.9876,0.0346,0.9943
171,0.0578,0.9878,0.0343,0.9943
172,0.0557,0.9885,0.0341,0.9943
173,0.0563,0.9885,0.0362,0.9951
174,0.0564,0.9876,0.0337,0.9943
175,0.0525,0.9894,0.0332,0.9943
176,0.0522,0.9902,0.0333,0.9943
177,0.0533,0.9895,0.0334,0.9935
178,0.0537,0.9892,0.0352,0.9943
179,0.0540,0.9900,0.0318,0.9943
180,0.0497,0.9897,0.0324,0.9951
181,0.0510,0.9899,0.0316,0.9943
182,0.0490,0.9892,0.0311,0.9943
183,0.0534,0.9885,0.0321,0.9951
184,0.0529,0.9898,0.0306,0.9943
185,0.0523,0.9906,0.0306,0.9951
186,0.0505,0.9907,0.0299,0.9943
187,0.0490,0.9892,0.0297,0.9943
188,0.0503,0.9890,0.0294,0.9951
189,0.0489,0.9907,0.0291,0.9951
190,0.0489,0.9904,0.0289,0.9951
191,0.0472,0.9915,0.0288,0.9951
192,0.0493,0.9913,0.0281,0.9951
193,0.0478,0.9900,0.0281,0.9951
194,0.0461,0.9912,0.0274,0.9951
195,0.0473,0.9892,0.0272,0.9951
196,0.0496,0.9905,0.0272,0.9959
197,0.0453,0.9907,0.0266,0.9951
198,0.0437,0.9915,0.0265,0.9951
199,0.0454,0.9914,0.0262,0.9951
200,0.0469,0.9920,0.0259,0.9951
