epoch,loss,acc,val_loss,val_acc
1,0.4253,0.8255,0.3422,0.8845
2,0.3891,0.8466,0.3145,0.9015
3,0.3575,0.8646,0.2862,0.9146
4,0.3391,0.8729,0.2610,0.9251
5,0.3154,0.8841,0.2390,0.9357
6,0.2921,0.8963,0.2205,0.9414
7,0.2756,0.9022,0.2055,0.9504
8,0.2615,0.9119,0.1941,0.9520
9,0.2498,0.9155,0.1856,0.9544
10,0.2407,0.9225,0.1786,0.9544
11,0.2299,0.9276,0.1712,0.9520
12,0.2274,0.9245,0.1659,0.9496
13,0.2144,0.9333,0.1610,0.9496
14,0.2098,0.9337,0.1572,0.9504
15,0.2035,0.9351,0.1538,0.9496
16,0.1970,0.9360,0.1489,0.9512
17,0.1938,0.9396,0.1475,0.9520
18,0.1869,0.9395,0.1443,0.9528
19,0.1871,0.9411,0.1398,0.9544
20,0.1815,0.9426,0.1371,0.9520
21,0.1745,0.9438,0.1340,0.9528
22,0.1718,0.9421,0.1316,0.9520
23,0.1704,0.9444,0.1295,0.9528
24,0.1683,0.9475,0.1276,0.9536
25,0.1652,0.9492,0.1250,0.9544
26,0.1611,0.9492,0.1234,0.9544
27,0.1574,0.9517,0.1214,0.9544
28,0.1570,0.9504,0.1194,0.9536
29,0.1520,0.9500,0.1176,0.9544
30,0.1494,0.9508,0.1154,0.9561
31,0.1452,0.9519,0.1134,0.9569
32,0.1381,0.9553,0.1117,0.9577
33,0.1408,0.9581,0.1098,0.9577
34,0.1355,0.9543,0.1081,0.9577
35,0.1353,0.9575,0.1065,0.9593
36,0.1335,0.9587,0.1049,0.9601
37,0.1318,0.9581,0.1031,0.9626
38,0.1260,0.9588,0.1015,0.9634
39,0.1279,0.9581,0.0999,0.9642
40,0.1250,0.9583,0.0982,0.9650
41,0.1202,0.9620,0.0965,0.9650
42,0.1158,0.9611,0.0949,0.9666
43,0.1223,0.9625,0.0927,0.9683
44,0.1186,0.9624,0.0912,0.9723
45,0.1147,0.9635,0.0892,0.9707
46,0.1150,0.9653,0.0876,0.9715
47,0.1158,0.9638,0.0857,0.9731
48,0.1076,0.9682,0.0843,0.9748
49,0.1024,0.9678,0.0826,0.9748
50,0.1061,0.9666,0.0812,0.9748
51,0.0984,0.9693,0.0793,0.9764
52,0.1024,0.9694,0.0775,0.9797
53,0.0964,0.9710,0.0759,0.9829
54,0.0949,0.9736,0.0742,0.9845
55,0.0918,0.9727,0.0726,0.9854
56,0.0933,0.9724,0.0709,0.9854
57,0.0914,0.9744,0.0693,0.9878
58,0.0893,0.9741,0.0677,0.9886
59,0.0905,0.9753,0.0659,0.9910
60,0.0803,0.9771,0.0646,0.9910
61,0.0857,0.9761,0.0630,0.9910
62,0.0789,0.9801,0.0615,0.9919
63,0.0806,0.9786,0.0609,0.9894
64,0.0790,0.9778,0.0587,0.9927
65,0.0759,0.9790,0.0574,0.9927
66,0.0765,0.9808,0.0561,0.9943
67,0.0744,0.9801,0.0550,0.9943
68,0.0674,0.9818,0.0541,0.9943
69,0.0660,0.9822,0.0531,0.9943
70,0.0646,0.9841,0.0525,0.9935
71,0.0651,0.9840,0.0517,0.9943
72,0.0656,0.9831,0.0507,0.9943
73,0.0635,0.9846,0.0500,0.9951
74,0.0592,0.9859,0.0492,0.9951
75,0.0609,0.9858,0.0486,0.9951
76,0.0585,0.9873,0.0480,0.9951
77,0.0583,0.9850,0.0472,0.9951
78,0.0577,0.9875,0.0470,0.9951
79,0.0544,0.9872,0.0462,0.9951
80,0.0566,0.9864,0.0468,0.9951
81,0.0522,0.9885,0.0460,0.9951
82,0.0520,0.9884,0.0454,0.9951
83,0.0503,0.9890,0.0450,0.9951
84,0.0521,0.9883,0.0443,0.9951
85,0.0524,0.9879,0.0446,0.9951
86,0.0492,0.9902,0.0439,0.9959
87,0.0497,0.9891,0.0438,0.9959
88,0.0471,0.9901,0.0437,0.9959
89,0.0489,0.9890,0.0441,0.9951
90,0.0455,0.9898,0.0443,0.9951
91,0.0464,0.9901,0.0439,0.9951
92,0.0453,0.9906,0.0442,0.9959
93,0.0447,0.9911,0.0437,0.9951
94,0.0452,0.9905,0.0435,0.9951
95,0.0443,0.9904,0.0445,0.9959
96,0.0413,0.9929,0.0436,0.9959
97,0.0402,0.9915,0.0447,0.9959
98,0.0433,0.9913,0.0441,0.9967
99,0.0408,0.9917,0.0446,0.9967
100,0.0384,0.9920,0.0452,0.9967
101,0.0406,0.9919,0.0459,0.9967
102,0.0387,0.9938,0.0450,0.9967
103,0.0380,0.9930,0.0444,0.9967
104,0.0390,0.9918,0.0437,0.9959
105,0.0396,0.9921,0.0451,0.9967
106,0.0396,0.9926,0.0439,0.9967
107,0.0383,0.9923,0.0444,0.9967
108,0.0388,0.9928,0.0464,0.9967
109,0.0360,0.9935,0.0445,0.9967
110,0.0355,0.9930,0.0455,0.9967
111,0.0361,0.9930,0.0461,0.9967
112,0.0354,0.9926,0.0468,0.9967
113,0.0344,0.9929,0.0472,0.9967
114,0.0345,0.9938,0.0453,0.9967
115,0.0328,0.9943,0.0462,0.9967
116,0.0356,0.9927,0.0482,0.9967
117,0.0348,0.9940,0.0486,0.9967
118,0.0334,0.9935,0.0458,0.9967
119,0.0336,0.9938,0.0454,0.9967
120,0.0332,0.9943,0.0485,0.9967
121,0.0328,0.9942,0.0502,0.9967
122,0.0343,0.9935,0.0469,0.9967
123,0.0320,0.9945,0.0495,0.9967
124,0.0340,0.9935,0.0484,0.9967
125,0.0326,0.9945,0.0517,0.9967
126,0.0326,0.9951,0.0481,0.9967
127,0.0337,0.9939,0.0460,0.9967
128,0.0321,0.9944,0.0508,0.9967
129,0.0310,0.9948,0.0478,0.9967
130,0.0319,0.9940,0.0468,0.9967
131,0.0305,0.9946,0.0485,0.9967
132,0.0293,0.9953,0.0473,0.9967
133,0.0310,0.9944,0.0487,0.9967
134,0.0315,0.9940,0.0509,0.9967
135,0.0317,0.9931,0.0464,0.9976
136,0.0304,0.9938,0.0465,0.9976
137,0.0307,0.9947,0.0487,0.9967
138,0.0292,0.9943,0.0460,0.9976
139,0.0293,0.9947,0.0479,0.9967
140,0.0286,0.9954,0.0461,0.9976
141,0.0296,0.9943,0.0478,0.9967
142,0.0299,0.9943,0.0491,0.9967
143,0.0291,0.9950,0.0454,0.9976
144,0.0302,0.9943,0.0489,0.9967
145,0.0297,0.9947,0.0454,0.9976
146,0.0284,0.9948,0.0488,0.9967
147,0.0286,0.9949,0.0470,0.9967
148,0.0290,0.9944,0.0455,0.9976
149,0.0272,0.9957,0.0469,0.9967
150,0.0309,0.9945,0.0470,0.9967
151,0.0275,0.9952,0.0481,0.9967
152,0.0278,0.9948,0.0466,0.9976
153,0.0271,0.9957,0.0447,0.9976
154,0.0278,0.9951,0.0462,0.9967
155,0.0297,0.9935,0.0436,0.9976
156,0.0265,0.9949,0.0476,0.9967
157,0.0263,0.9955,0.0501,0.9967
158,0.0275,0.9956,0.0466,0.9967
159,0.0274,0.9960,0.0474,0.9967
160,0.0265,0.9951,0.0476,0.9967
161,0.0269,0.9954,0.0435,0.9976
162,0.0264,0.9956,0.0482,0.9967
163,0.0273,0.9955,0.0490,0.9967
164,0.0265,0.9952,0.0452,0.9976
165,0.0263,0.9948,0.0463,0.9967
166,0.0274,0.9937,0.0478,0.9967
167,0.0263,0.9961,0.0483,0.9967
168,0.0257,0.9953,0.0443,0.9976
169,0.0268,0.9945,0.0450,0.9976
170,0.0254,0.9953,0.0462,0.9976
171,0.0277,0.9952,0.0468,0.9967
172,0.0257,0.9953,0.0482,0.9967
173,0.0258,0.9955,0.0474,0.9967
174,0.0253,0.9958,0.0454,0.9976
175,0.0261,0.9945,0.0477,0.9967
176,0.0250,0.9959,0.0423,0.9984
177,0.0250,0.9961,0.0459,0.9976
178,0.0246,0.9955,0.0446,0.9976
179,0.0237,0.9958,0.0456,0.9976
180,0.0249,0.9956,0.0461,0.9976
181,0.0252,0.9959,0.0437,0.9976
182,0.0245,0.9962,0.0448,0.9976
183,0.0235,0.9958,0.0455,0.9976
184,0.0239,0.9950,0.0451,0.9976
185,0.0247,0.9958,0.0487,0.9967
186,0.0249,0.9954,0.0466,0.9967
187,0.0246,0.9956,0.0452,0.9967
188,0.0246,0.9958,0.0444,0.9976
189,0.0235,0.9967,0.0472,0.9967
190,0.0247,0.9954,0.0429,0.9992
191,0.0251,0.9951,0.0482,0.9967
192,0.0243,0.9957,0.0452,0.9976
193,0.0233,0.9960,0.0449,0.9976
194,0.0231,0.9959,0.0447,0.9976
195,0.0242,0.9950,0.0472,0.9967
196,0.0234,0.9960,0.0434,0.9992
197,0.0225,0.9962,0.0472,0.9967
198,0.0248,0.9949,0.0453,0.9967
199,0.0227,0.9955,0.0469,0.9967
200,0.0241,0.9954,0.0456,0.9967
