epoch,loss,acc,val_loss,val_acc
1,1.2924,0.3793,0.9123,0.5000
2,0.7897,0.5060,0.6851,0.5000
3,0.6465,0.6449,0.5830,0.5545
4,0.5652,0.7928,0.4748,1.0000
5,0.4542,0.8712,0.3551,0.9455
6,0.3649,0.8742,0.2704,1.0000
7,0.3181,0.8753,0.2095,0.9455
8,0.2768,0.8853,0.1715,0.9455
9,0.2648,0.8853,0.1493,0.9818
10,0.2437,0.9024,0.1301,1.0000
11,0.2178,0.9115,0.1095,1.0000
12,0.2126,0.9155,0.1012,1.0000
13,0.2032,0.9105,0.0875,1.0000
14,0.1885,0.9256,0.0797,1.0000
15,0.1760,0.9376,0.0698,1.0000
16,0.1712,0.9326,0.0635,1.0000
17,0.1610,0.9366,0.0582,1.0000
18,0.1621,0.9356,0.0539,1.0000
19,0.1633,0.9326,0.0524,1.0000
20,0.1444,0.9487,0.0459,1.0000
21,0.1536,0.9416,0.0445,1.0000
22,0.1565,0.9406,0.0424,1.0000
23,0.1610,0.9336,0.0411,1.0000
24,0.1324,0.9487,0.0375,1.0000
25,0.1278,0.9507,0.0399,1.0000
26,0.1469,0.9447,0.0392,1.0000
27,0.1146,0.9497,0.0330,1.0000
28,0.1218,0.9507,0.0316,1.0000
29,0.1179,0.9577,0.0285,1.0000
30,0.1163,0.9577,0.0315,1.0000
31,0.1246,0.9547,0.0275,1.0000
32,0.1041,0.9628,0.0254,1.0000
33,0.0976,0.9728,0.0224,1.0000
34,0.1178,0.9618,0.0362,1.0000
35,0.1022,0.9608,0.0209,1.0000
36,0.0863,0.9718,0.0193,1.0000
37,0.1127,0.9618,0.0196,1.0000
38,0.1261,0.9537,0.0198,1.0000
39,0.1054,0.9567,0.0180,1.0000
40,0.1157,0.9638,0.0311,1.0000
41,0.0930,0.9718,0.0183,1.0000
42,0.1064,0.9618,0.0219,1.0000
43,0.1158,0.9618,0.0179,1.0000
44,0.1132,0.9628,0.0178,1.0000
45,0.1148,0.9608,0.0519,1.0000
46,0.1093,0.9628,0.0161,1.0000
47,0.0975,0.9668,0.0152,1.0000
48,0.1070,0.9598,0.0201,1.0000
49,0.0879,0.9688,0.0154,1.0000
50,0.1139,0.9577,0.0137,1.0000
51,0.1207,0.9557,0.0146,1.0000
52,0.1116,0.9577,0.0235,1.0000
53,0.1033,0.9618,0.0219,1.0000
54,0.1126,0.9658,0.0139,1.0000
55,0.0999,0.9698,0.0132,1.0000
56,0.0967,0.9638,0.0132,1.0000
57,0.0964,0.9648,0.0237,1.0000
58,0.0930,0.9648,0.0138,1.0000
59,0.1407,0.9487,0.0136,1.0000
60,0.1010,0.9698,0.0134,1.0000
61,0.0914,0.9668,0.0148,1.0000
62,0.0994,0.9668,0.0155,1.0000
63,0.0992,0.9598,0.0135,1.0000
64,0.0825,0.9718,0.0135,1.0000
65,0.0984,0.9738,0.0187,1.0000
66,0.0867,0.9678,0.0133,1.0000
67,0.1013,0.9628,0.0141,1.0000
68,0.1019,0.9628,0.0147,1.0000
69,0.0917,0.9698,0.0106,1.0000
70,0.0894,0.9718,0.0108,1.0000
71,0.1017,0.9678,0.0132,1.0000
72,0.0968,0.9688,0.0129,1.0000
73,0.1065,0.9648,0.0219,1.0000
74,0.0869,0.9698,0.0515,1.0000
75,0.0809,0.9759,0.0117,1.0000
76,0.0919,0.9718,0.0106,1.0000
77,0.0873,0.9748,0.0190,1.0000
78,0.0919,0.9638,0.0176,1.0000
79,0.0971,0.9748,0.0109,1.0000
80,0.0652,0.9789,0.0110,1.0000
81,0.0830,0.9748,0.0106,1.0000
82,0.0700,0.9748,0.0184,1.0000
83,0.0908,0.9688,0.0129,1.0000
84,0.0921,0.9668,0.0110,1.0000
85,0.0819,0.9779,0.0097,1.0000
86,0.0937,0.9688,0.0085,1.0000
87,0.0913,0.9728,0.0087,1.0000
88,0.0868,0.9688,0.0081,1.0000
89,0.1022,0.9678,0.0090,1.0000
90,0.0844,0.9708,0.0172,1.0000
91,0.0788,0.9718,0.0098,1.0000
92,0.0706,0.9799,0.0078,1.0000
93,0.1015,0.9658,0.0076,1.0000
94,0.0661,0.9799,0.0071,1.0000
95,0.0883,0.9668,0.0136,1.0000
96,0.0769,0.9728,0.0084,1.0000
97,0.0799,0.9779,0.0077,1.0000
98,0.0635,0.9799,0.0100,1.0000
99,0.0791,0.9728,0.0092,1.0000
100,0.0689,0.9799,0.0058,1.0000
