epoch,loss,acc,val_loss,val_acc
1,1.1710,0.5020,0.8005,0.6000
2,0.7160,0.6600,0.6383,0.7636
3,0.6073,0.7254,0.5413,0.6818
4,0.5231,0.7847,0.4454,0.8091
5,0.4357,0.8249,0.3380,0.8636
6,0.3668,0.8481,0.2618,0.8636
7,0.3021,0.8843,0.2097,0.8909
8,0.2797,0.8813,0.1989,0.8636
9,0.2510,0.8934,0.1575,0.9091
10,0.2163,0.9135,0.1422,1.0000
11,0.2039,0.9286,0.1110,0.9818
12,0.1844,0.9356,0.1004,0.9818
13,0.1817,0.9336,0.0843,1.0000
14,0.1899,0.9266,0.0773,1.0000
15,0.1702,0.9376,0.0680,1.0000
16,0.1611,0.9386,0.0651,1.0000
17,0.1415,0.9497,0.0622,1.0000
18,0.1672,0.9356,0.0616,0.9909
19,0.1610,0.9396,0.0550,1.0000
20,0.1574,0.9447,0.0506,1.0000
21,0.1276,0.9487,0.0471,1.0000
22,0.1339,0.9557,0.0430,1.0000
23,0.1443,0.9497,0.0467,1.0000
24,0.1401,0.9487,0.0390,1.0000
25,0.1366,0.9547,0.0420,1.0000
26,0.1433,0.9497,0.0437,1.0000
27,0.1104,0.9618,0.0422,1.0000
28,0.1175,0.9537,0.0307,1.0000
29,0.1281,0.9547,0.0303,1.0000
30,0.1364,0.9517,0.0323,1.0000
31,0.1331,0.9477,0.0283,1.0000
32,0.1108,0.9678,0.0322,1.0000
33,0.1319,0.9517,0.0361,1.0000
34,0.1623,0.9487,0.0303,1.0000
35,0.1188,0.9588,0.0322,1.0000
36,0.1382,0.9447,0.0347,1.0000
37,0.0912,0.9668,0.0321,1.0000
38,0.1316,0.9497,0.0353,1.0000
39,0.1012,0.9608,0.0386,1.0000
40,0.1035,0.9668,0.0460,1.0000
41,0.1274,0.9567,0.0272,1.0000
42,0.0991,0.9638,0.0389,1.0000
43,0.1110,0.9598,0.0369,1.0000
44,0.0997,0.9688,0.0360,1.0000
45,0.1291,0.9537,0.0256,1.0000
46,0.0949,0.9698,0.0247,1.0000
47,0.1135,0.9567,0.0477,1.0000
48,0.1143,0.9658,0.0271,1.0000
49,0.0824,0.9688,0.0323,1.0000
50,0.1140,0.9557,0.0246,1.0000
51,0.1078,0.9588,0.0257,1.0000
52,0.1196,0.9557,0.0237,1.0000
53,0.1022,0.9698,0.0211,1.0000
54,0.1212,0.9527,0.0236,1.0000
55,0.1031,0.9618,0.0217,1.0000
56,0.0848,0.9759,0.0236,1.0000
57,0.1413,0.9477,0.0228,1.0000
58,0.1029,0.9678,0.0200,1.0000
59,0.1086,0.9628,0.0226,1.0000
60,0.1336,0.9547,0.0212,1.0000
61,0.1023,0.9708,0.0200,1.0000
62,0.0905,0.9668,0.0182,1.0000
63,0.0867,0.9718,0.0171,1.0000
64,0.1146,0.9658,0.0203,1.0000
65,0.1038,0.9638,0.0166,1.0000
66,0.1009,0.9658,0.0174,1.0000
67,0.1115,0.9628,0.0210,1.0000
68,0.1051,0.9688,0.0203,1.0000
69,0.0955,0.9718,0.0163,1.0000
70,0.1084,0.9688,0.0246,1.0000
71,0.0726,0.9809,0.0153,1.0000
72,0.0787,0.9718,0.0154,1.0000
73,0.1040,0.9598,0.0268,1.0000
74,0.0827,0.9658,0.0133,1.0000
75,0.0827,0.9759,0.0195,1.0000
76,0.0774,0.9718,0.0121,1.0000
77,0.0891,0.9678,0.0127,1.0000
78,0.0935,0.9698,0.0134,1.0000
79,0.0835,0.9769,0.0132,1.0000
80,0.0785,0.9738,0.0117,1.0000
81,0.0789,0.9748,0.0111,1.0000
82,0.0853,0.9708,0.0116,1.0000
83,0.0649,0.9769,0.0105,1.0000
84,0.0861,0.9738,0.0112,1.0000
85,0.0779,0.9779,0.0108,1.0000
86,0.0702,0.9789,0.0107,1.0000
87,0.0808,0.9789,0.0093,1.0000
88,0.0915,0.9718,0.0100,1.0000
89,0.1036,0.9658,0.0108,1.0000
90,0.0907,0.9688,0.0113,1.0000
91,0.1097,0.9648,0.0109,1.0000
92,0.1034,0.9738,0.0108,1.0000
93,0.0689,0.9839,0.0104,1.0000
94,0.0956,0.9618,0.0113,1.0000
95,0.0770,0.9759,0.0101,1.0000
96,0.0829,0.9748,0.0089,1.0000
97,0.0629,0.9799,0.0102,1.0000
98,0.0639,0.9829,0.0102,1.0000
99,0.0731,0.9819,0.0082,1.0000
100,0.0694,0.9769,0.0081,1.0000
