epoch,loss,acc,val_loss,val_acc
1,1.0452,0.6308,0.6459,0.6182
2,0.5980,0.7485,0.4141,0.9273
3,0.4843,0.8038,0.3147,0.9273
4,0.4076,0.8249,0.2480,0.9273
5,0.3931,0.8330,0.2200,0.9273
6,0.3445,0.8491,0.1954,0.9273
7,0.3229,0.8742,0.1773,0.9273
8,0.3365,0.8491,0.1669,0.9455
9,0.3115,0.8592,0.1598,0.9455
10,0.3297,0.8551,0.1726,1.0000
11,0.2749,0.8843,0.1423,0.9636
12,0.2909,0.8632,0.1450,1.0000
13,0.2811,0.8753,0.1341,0.9636
14,0.3123,0.8612,0.1371,0.9636
15,0.2748,0.8783,0.1329,0.9727
16,0.2958,0.8722,0.1350,0.9909
17,0.2891,0.8672,0.1382,1.0000
18,0.2626,0.8883,0.1227,1.0000
19,0.3025,0.8622,0.1344,1.0000
20,0.3207,0.8602,0.1302,0.9455
21,0.2942,0.8753,0.1299,0.9636
22,0.2839,0.8954,0.1293,0.9818
23,0.2630,0.8903,0.1289,1.0000
24,0.2824,0.8742,0.1195,0.9818
25,0.2306,0.9165,0.1320,1.0000
26,0.2461,0.8964,0.1113,0.9818
27,0.2731,0.8924,0.1511,1.0000
28,0.2385,0.9085,0.1110,1.0000
29,0.2451,0.9014,0.1062,0.9818
30,0.2661,0.8954,0.1057,0.9818
31,0.2654,0.8934,0.1077,0.9636
32,0.2522,0.9014,0.1044,1.0000
33,0.2767,0.8863,0.1066,0.9636
34,0.2602,0.8934,0.1036,0.9818
35,0.2400,0.9054,0.1092,0.9636
36,0.2694,0.8753,0.1079,0.9636
37,0.2608,0.8984,0.1049,0.9909
38,0.2756,0.8913,0.1113,1.0000
39,0.2651,0.8873,0.1363,1.0000
40,0.2703,0.8863,0.1069,0.9909
41,0.2756,0.8843,0.1493,1.0000
42,0.2764,0.8954,0.1074,1.0000
43,0.2448,0.9034,0.1062,1.0000
44,0.2608,0.9004,0.1064,0.9909
45,0.2484,0.9034,0.1056,1.0000
46,0.2495,0.9024,0.1049,0.9636
47,0.2426,0.9074,0.1007,0.9636
48,0.2713,0.8853,0.0987,0.9818
49,0.2597,0.8924,0.0976,1.0000
50,0.2514,0.8964,0.1094,0.9909
51,0.2740,0.8924,0.1046,0.9909
52,0.2501,0.9024,0.1032,1.0000
53,0.2544,0.8964,0.1356,1.0000
54,0.2388,0.9004,0.0961,0.9727
55,0.2554,0.9014,0.1219,0.9182
56,0.2411,0.8944,0.0938,1.0000
57,0.2678,0.8803,0.1010,0.9636
58,0.2411,0.9014,0.0939,0.9818
59,0.2446,0.9085,0.0895,1.0000
60,0.2334,0.9095,0.0937,0.9727
61,0.2384,0.9085,0.0890,0.9909
62,0.2404,0.9064,0.0865,1.0000
63,0.2806,0.8873,0.0974,0.9727
64,0.2369,0.9074,0.0938,0.9818
65,0.2324,0.9135,0.0834,0.9909
66,0.2329,0.9024,0.0823,1.0000
67,0.2453,0.9004,0.0892,0.9727
68,0.2365,0.9034,0.1064,0.9455
69,0.2432,0.9004,0.0901,0.9909
70,0.2286,0.9024,0.0818,1.0000
71,0.2485,0.8974,0.0796,1.0000
72,0.2078,0.9205,0.0848,0.9909
73,0.2136,0.9135,0.0743,1.0000
74,0.2853,0.8833,0.1004,1.0000
75,0.2328,0.9085,0.0963,0.9818
76,0.2518,0.8984,0.1042,0.9636
77,0.2262,0.9145,0.0856,0.9909
78,0.2303,0.9105,0.0920,0.9636
79,0.2794,0.8863,0.1134,0.9455
80,0.2393,0.9085,0.0901,0.9909
81,0.2168,0.9215,0.0816,0.9909
82,0.2294,0.9085,0.0813,0.9909
83,0.2400,0.8913,0.0796,0.9909
84,0.2285,0.9145,0.0845,0.9818
85,0.2248,0.9074,0.0803,0.9818
86,0.2247,0.9145,0.0790,0.9909
87,0.2496,0.8913,0.1157,0.9455
88,0.2476,0.9064,0.0917,0.9818
89,0.2608,0.8913,0.0970,0.9818
90,0.2524,0.8984,0.0967,0.9818
91,0.2274,0.9105,0.0754,1.0000
92,0.2405,0.8964,0.0794,1.0000
93,0.2625,0.8893,0.1060,1.0000
94,0.2568,0.8974,0.0949,0.9909
95,0.2321,0.9004,0.0922,0.9727
96,0.2262,0.9054,0.0820,0.9909
97,0.2442,0.8954,0.0856,0.9909
98,0.2455,0.8934,0.0848,1.0000
99,0.2472,0.9014,0.1617,0.9091
100,0.2370,0.9115,0.0863,1.0000
