epoch,loss,acc,val_loss,val_acc
1,1.3919,0.5927,1.0458,0.8304
2,0.8340,0.7198,0.5650,0.8393
3,0.5621,0.7732,0.3835,0.8929
4,0.4441,0.8125,0.2778,0.9107
5,0.3845,0.8357,0.2558,0.9821
6,0.3933,0.8175,0.2058,0.9375
7,0.3584,0.8357,0.1946,0.9821
8,0.3260,0.8710,0.1736,0.9732
9,0.3518,0.8468,0.1706,0.9821
10,0.3036,0.8589,0.1616,0.9821
11,0.3237,0.8659,0.1511,0.9732
12,0.3032,0.8730,0.1541,0.9821
13,0.2788,0.8770,0.1403,0.9196
14,0.3007,0.8599,0.1320,0.9732
15,0.2913,0.8740,0.1275,0.9643
16,0.2599,0.8901,0.1204,0.9821
17,0.2632,0.8931,0.1134,0.9732
18,0.2686,0.8841,0.1127,0.9732
19,0.2752,0.8921,0.1171,0.9643
20,0.2611,0.8962,0.1125,1.0000
21,0.2597,0.8962,0.1065,0.9732
22,0.2764,0.8921,0.1066,0.9732
23,0.2864,0.8730,0.1102,0.9643
24,0.2724,0.8851,0.1355,0.9018
25,0.2536,0.8992,0.1046,0.9732
26,0.2809,0.8780,0.1080,1.0000
27,0.2886,0.8871,0.1046,0.9732
28,0.3079,0.8629,0.1212,0.9107
29,0.2643,0.8861,0.1074,0.9732
30,0.2721,0.8770,0.1142,1.0000
31,0.2311,0.9123,0.1065,0.9643
32,0.2766,0.8911,0.1024,0.9732
33,0.2463,0.8952,0.0980,1.0000
34,0.2555,0.9042,0.1129,0.9286
35,0.2563,0.8921,0.0976,0.9821
36,0.2787,0.8760,0.0992,1.0000
37,0.2411,0.9012,0.1005,0.9643
38,0.2544,0.8921,0.1020,1.0000
39,0.2617,0.8931,0.0952,0.9911
40,0.2234,0.9103,0.1019,0.9643
41,0.2405,0.9042,0.0940,1.0000
42,0.2517,0.8952,0.0961,1.0000
43,0.2281,0.9012,0.0912,1.0000
44,0.2410,0.9123,0.0897,0.9821
45,0.2400,0.8841,0.0901,0.9821
46,0.2410,0.8992,0.0978,1.0000
47,0.2445,0.9032,0.0854,1.0000
48,0.2579,0.8982,0.1148,1.0000
49,0.2604,0.8800,0.0902,0.9821
50,0.2458,0.9002,0.0913,0.9821
51,0.2598,0.8871,0.0913,0.9911
52,0.2498,0.8921,0.0900,0.9821
53,0.2414,0.9022,0.0888,1.0000
54,0.2256,0.9133,0.0819,1.0000
55,0.2102,0.9194,0.0768,0.9911
56,0.2563,0.9042,0.0917,1.0000
57,0.2338,0.9093,0.0820,0.9911
58,0.2625,0.8901,0.0825,1.0000
59,0.2323,0.9022,0.0797,0.9911
60,0.2193,0.9022,0.0757,1.0000
61,0.2368,0.9123,0.0784,0.9911
62,0.2241,0.9123,0.0797,1.0000
63,0.2206,0.9093,0.0846,1.0000
64,0.2703,0.8911,0.0868,1.0000
65,0.2260,0.9133,0.0843,0.9911
66,0.2385,0.9083,0.1026,0.9196
67,0.2287,0.9143,0.1110,1.0000
68,0.2144,0.9163,0.0886,0.9554
69,0.2135,0.9163,0.0792,0.9911
70,0.2345,0.9103,0.1014,1.0000
71,0.2312,0.9062,0.0843,0.9821
72,0.2102,0.9204,0.0748,1.0000
73,0.2175,0.9173,0.0937,0.9643
74,0.2548,0.8931,0.1012,0.9464
75,0.2242,0.9073,0.0920,0.9732
76,0.2274,0.9113,0.0800,0.9911
77,0.2433,0.9052,0.0972,0.9643
78,0.2274,0.8982,0.1005,0.9375
79,0.2059,0.9214,0.0872,1.0000
80,0.2008,0.9234,0.0718,1.0000
81,0.2198,0.9073,0.0691,1.0000
82,0.2164,0.9173,0.0920,0.9643
83,0.2120,0.9143,0.0710,1.0000
84,0.2308,0.8992,0.0889,0.9643
85,0.2165,0.9113,0.0715,0.9911
86,0.2309,0.9153,0.0724,0.9911
87,0.2279,0.9052,0.0744,0.9911
88,0.2183,0.9194,0.1029,0.9375
89,0.2116,0.9163,0.0718,0.9911
90,0.2057,0.9163,0.0840,0.9732
91,0.2199,0.9123,0.0706,1.0000
92,0.2038,0.9153,0.0681,0.9911
93,0.1992,0.9224,0.0763,0.9821
94,0.1809,0.9304,0.0598,1.0000
95,0.1992,0.9254,0.0641,0.9911
96,0.1992,0.9194,0.0651,1.0000
97,0.1981,0.9224,0.0680,1.0000
98,0.1966,0.9224,0.0742,0.9821
99,0.1869,0.9315,0.0618,1.0000
100,0.1984,0.9304,0.0634,0.9911
