epoch,loss,acc,val_loss,val_acc
1,1.4160,0.3931,1.0560,0.5000
2,1.0269,0.5252,0.8282,0.5000
3,0.8953,0.5776,0.7258,0.6964
4,0.8252,0.6149,0.6631,0.8571
5,0.7707,0.6482,0.6156,0.8482
6,0.7342,0.6643,0.5632,0.8571
7,0.7184,0.6623,0.5302,0.8571
8,0.6771,0.6825,0.4778,0.8571
9,0.6230,0.7137,0.4461,0.9911
10,0.6180,0.7026,0.4018,0.8571
11,0.5916,0.7026,0.3751,0.8571
12,0.5613,0.7369,0.3585,0.9286
13,0.5690,0.6996,0.3463,0.8839
14,0.5284,0.7359,0.3306,0.8571
15,0.5039,0.7389,0.2898,0.9732
16,0.5247,0.7349,0.2916,0.9196
17,0.5369,0.7127,0.3015,0.9018
18,0.4877,0.7480,0.2875,0.9107
19,0.5263,0.7450,0.2937,0.8571
20,0.4936,0.7460,0.2748,0.9911
21,0.5054,0.7409,0.2708,0.8661
22,0.4960,0.7571,0.2674,0.8571
23,0.4991,0.7379,0.2530,0.9643
24,0.4819,0.7500,0.2512,0.9821
25,0.4663,0.7742,0.2337,0.9732
26,0.4808,0.7470,0.2398,0.9821
27,0.4742,0.7399,0.2322,0.9732
28,0.4875,0.7440,0.2339,0.9821
29,0.4782,0.7349,0.2333,0.9911
30,0.4483,0.7611,0.2230,0.9196
31,0.4782,0.7560,0.2346,0.9821
32,0.4658,0.7540,0.2239,1.0000
33,0.4598,0.7621,0.2146,0.9911
34,0.4847,0.7440,0.2237,0.9196
35,0.4845,0.7601,0.2115,1.0000
36,0.4618,0.7661,0.2070,1.0000
37,0.4586,0.7621,0.1873,1.0000
38,0.4329,0.7772,0.1901,1.0000
39,0.4458,0.7933,0.2079,0.8929
40,0.4472,0.7933,0.1993,0.9464
41,0.4515,0.7843,0.1838,0.9911
42,0.4392,0.7913,0.1825,0.9911
43,0.4575,0.7873,0.1871,0.9911
44,0.4478,0.7933,0.1782,0.9821
45,0.4400,0.7812,0.1892,0.9911
46,0.4062,0.8367,0.1763,1.0000
47,0.4259,0.8135,0.1637,0.9911
48,0.4216,0.8085,0.1644,0.9911
49,0.4139,0.8185,0.1712,0.9911
50,0.4321,0.8085,0.1833,0.9732
51,0.4175,0.8115,0.1664,1.0000
52,0.4323,0.8236,0.1658,0.9911
53,0.4382,0.8185,0.1607,0.9911
54,0.4333,0.8054,0.1601,0.9911
55,0.4584,0.8024,0.1768,0.9911
56,0.4177,0.8024,0.1674,0.9911
57,0.3975,0.8407,0.1414,1.0000
58,0.4101,0.8226,0.1459,1.0000
59,0.4306,0.8185,0.1544,0.9911
60,0.3953,0.8438,0.1403,0.9911
61,0.3870,0.8407,0.1280,1.0000
62,0.3897,0.8206,0.1264,1.0000
63,0.3837,0.8266,0.1249,1.0000
64,0.3982,0.8357,0.1290,1.0000
65,0.3980,0.8246,0.1290,1.0000
66,0.3731,0.8337,0.1353,0.9821
67,0.3825,0.8347,0.1343,0.9911
68,0.3555,0.8458,0.1184,1.0000
69,0.4027,0.8165,0.1405,1.0000
70,0.3803,0.8306,0.1318,1.0000
71,0.3699,0.8337,0.1300,1.0000
72,0.3694,0.8317,0.1192,1.0000
73,0.3815,0.8145,0.1227,1.0000
74,0.3434,0.8417,0.1123,1.0000
75,0.3714,0.8256,0.1343,1.0000
76,0.3352,0.8357,0.1174,1.0000
77,0.3352,0.8367,0.1156,1.0000
78,0.3098,0.8377,0.1028,1.0000
79,0.3540,0.8317,0.1066,1.0000
80,0.3470,0.8196,0.1091,0.9911
81,0.3513,0.8317,0.1396,0.9911
82,0.3022,0.8720,0.1117,1.0000
83,0.3231,0.8438,0.1049,1.0000
84,0.3558,0.8266,0.1132,1.0000
85,0.3300,0.8538,0.1113,1.0000
86,0.3376,0.8609,0.1100,1.0000
87,0.3155,0.8740,0.1033,1.0000
88,0.3219,0.8780,0.1016,1.0000
89,0.3479,0.8780,0.1082,1.0000
90,0.2871,0.8992,0.0896,0.9911
91,0.3277,0.8720,0.1056,1.0000
92,0.3129,0.8569,0.1013,1.0000
93,0.2968,0.8871,0.0995,1.0000
94,0.3201,0.8730,0.0913,1.0000
95,0.2974,0.8800,0.0892,1.0000
96,0.3071,0.8871,0.1001,0.9911
97,0.2781,0.8992,0.0930,1.0000
98,0.2875,0.8871,0.0860,1.0000
99,0.2953,0.8760,0.0790,1.0000
100,0.2861,0.8931,0.0888,1.0000
