epoch,loss,acc,val_loss,val_acc
1,1.2845,0.4759,0.8019,0.5000
2,0.9135,0.6338,0.6151,0.7091
3,0.7979,0.6821,0.5109,0.7273
4,0.7303,0.6972,0.4083,0.9091
5,0.6593,0.7354,0.3523,0.9273
6,0.5938,0.7817,0.3287,0.9909
7,0.5596,0.7877,0.3024,0.9091
8,0.5183,0.8159,0.2814,0.8818
9,0.5118,0.8099,0.2798,0.9000
10,0.4812,0.8239,0.2287,0.9909
11,0.4644,0.8209,0.2222,0.9000
12,0.4469,0.8310,0.2393,0.9909
13,0.4333,0.8380,0.1946,0.9727
14,0.4142,0.8571,0.1871,0.9909
15,0.3847,0.8622,0.1731,1.0000
16,0.4170,0.8441,0.1730,0.9636
17,0.4009,0.8622,0.2048,1.0000
18,0.3839,0.8602,0.1562,0.9727
19,0.3947,0.8491,0.1628,0.9727
20,0.3762,0.8602,0.1587,1.0000
21,0.3708,0.8672,0.1745,1.0000
22,0.3954,0.8400,0.1642,0.9727
23,0.3889,0.8521,0.1604,1.0000
24,0.3726,0.8521,0.1578,1.0000
25,0.3281,0.8833,0.1642,0.9727
26,0.3578,0.8662,0.1547,0.9727
27,0.3391,0.8843,0.1229,1.0000
28,0.3359,0.8803,0.1332,1.0000
29,0.3623,0.8682,0.1489,0.9636
30,0.3626,0.8642,0.1264,1.0000
31,0.3752,0.8531,0.1562,0.9636
32,0.3419,0.8732,0.1425,0.9727
33,0.3515,0.8722,0.1435,0.9727
34,0.3532,0.8592,0.1381,0.9727
35,0.3583,0.8632,0.1340,1.0000
36,0.3556,0.8652,0.1514,1.0000
37,0.3815,0.8491,0.1273,1.0000
38,0.3646,0.8581,0.1460,0.9727
39,0.3379,0.8763,0.1244,0.9727
40,0.3613,0.8642,0.2054,0.9273
41,0.3512,0.8612,0.1668,0.9727
42,0.3586,0.8672,0.1348,1.0000
43,0.3408,0.8652,0.1503,0.9727
44,0.3513,0.8622,0.1508,0.9727
45,0.3569,0.8652,0.1235,1.0000
46,0.3652,0.8531,0.1189,1.0000
47,0.3421,0.8652,0.1201,0.9727
48,0.3503,0.8652,0.1175,1.0000
49,0.3330,0.8763,0.1298,0.9727
50,0.3564,0.8541,0.1462,0.9727
51,0.3547,0.8632,0.1336,1.0000
52,0.3665,0.8602,0.1446,0.9727
53,0.3222,0.8763,0.1075,1.0000
54,0.3706,0.8561,0.1376,0.9909
55,0.3444,0.8652,0.1468,0.9727
56,0.3249,0.8783,0.1222,1.0000
57,0.3091,0.8753,0.0870,1.0000
58,0.3348,0.8813,0.1762,0.9455
59,0.3349,0.8712,0.1546,0.9455
60,0.3387,0.8662,0.1763,0.9273
61,0.3639,0.8592,0.1415,0.9727
62,0.3208,0.8783,0.1268,0.9727
63,0.3135,0.8803,0.1234,0.9727
64,0.3353,0.8692,0.1371,0.9727
65,0.3359,0.8712,0.1132,1.0000
66,0.3200,0.8813,0.1262,1.0000
67,0.3262,0.8813,0.1389,0.9727
68,0.3561,0.8541,0.0995,1.0000
69,0.3435,0.8692,0.1176,1.0000
70,0.3124,0.8773,0.0886,1.0000
71,0.3347,0.8692,0.1106,0.9727
72,0.3481,0.8662,0.1076,1.0000
73,0.3391,0.8702,0.0904,1.0000
74,0.3233,0.8783,0.1014,1.0000
75,0.3037,0.8944,0.1280,0.9727
76,0.3724,0.8521,0.1159,1.0000
77,0.3140,0.8763,0.1261,0.9727
78,0.3550,0.8531,0.1339,1.0000
79,0.3404,0.8622,0.1289,0.9727
80,0.3261,0.8773,0.1124,1.0000
81,0.2922,0.8924,0.0983,1.0000
82,0.3067,0.8924,0.1031,1.0000
83,0.3387,0.8742,0.1020,1.0000
84,0.3434,0.8612,0.1096,1.0000
85,0.3407,0.8622,0.1040,1.0000
86,0.3374,0.8662,0.1133,0.9909
87,0.2913,0.8913,0.0911,1.0000
88,0.3469,0.8632,0.1287,0.9727
89,0.3084,0.8843,0.0877,1.0000
90,0.3224,0.8722,0.1076,0.9818
91,0.3081,0.8883,0.0908,1.0000
92,0.3012,0.8823,0.1103,0.9727
93,0.3042,0.8843,0.1240,0.9727
94,0.3321,0.8722,0.1672,0.9727
95,0.3191,0.8783,0.1035,1.0000
96,0.2963,0.8873,0.1053,1.0000
97,0.2753,0.9024,0.0995,1.0000
98,0.3177,0.8722,0.1252,0.9727
99,0.3157,0.8763,0.0976,1.0000
100,0.3043,0.8833,0.1066,1.0000
