epoch,loss,acc,val_loss,val_acc
1,1.2589,0.5534,0.9483,0.7130
2,0.8000,0.6448,0.6395,0.7593
3,0.6380,0.6776,0.5422,0.8333
4,0.5979,0.6838,0.5095,0.7778
5,0.5607,0.7218,0.4696,0.8426
6,0.5559,0.7166,0.4454,0.8704
7,0.5237,0.7372,0.4552,0.7963
8,0.5259,0.7577,0.3977,0.8889
9,0.5110,0.7546,0.3891,0.8889
10,0.5111,0.7598,0.3710,0.8889
11,0.5035,0.7649,0.3698,0.8889
12,0.4744,0.7710,0.3689,0.9074
13,0.4805,0.7854,0.3457,0.8889
14,0.4881,0.7680,0.3327,0.8889
15,0.4891,0.7710,0.3227,0.8889
16,0.4753,0.7639,0.3316,0.8889
17,0.4646,0.7854,0.3242,0.8889
18,0.4650,0.7772,0.3090,0.8889
19,0.4673,0.7844,0.3070,0.8889
20,0.4333,0.7947,0.3055,0.8889
21,0.4548,0.7875,0.2888,0.8889
22,0.4577,0.7710,0.2869,0.8889
23,0.4203,0.7957,0.2702,0.8889
24,0.4144,0.7977,0.2690,0.8889
25,0.4171,0.8172,0.2579,0.8889
26,0.4271,0.7885,0.2601,0.8889
27,0.3863,0.8203,0.2534,0.8889
28,0.3845,0.8347,0.2526,0.8889
29,0.4015,0.8101,0.2343,0.8889
30,0.4083,0.8162,0.2239,0.8889
31,0.3829,0.8152,0.2174,0.8889
32,0.3732,0.8285,0.2142,0.8889
33,0.3569,0.8450,0.2006,0.8889
34,0.3577,0.8368,0.2065,0.8889
35,0.3863,0.8193,0.2139,0.8889
36,0.3357,0.8563,0.2027,0.9352
37,0.3733,0.8285,0.2102,0.8889
38,0.3471,0.8388,0.1851,0.9352
39,0.3448,0.8419,0.1783,0.8981
40,0.3439,0.8450,0.1705,0.8889
41,0.3284,0.8409,0.1699,0.8889
42,0.3365,0.8532,0.1777,0.8889
43,0.3583,0.8326,0.1648,0.9167
44,0.3305,0.8624,0.1561,0.8889
45,0.3486,0.8378,0.1643,0.8889
46,0.3352,0.8501,0.1586,0.9352
47,0.3213,0.8563,0.1707,0.8889
48,0.3312,0.8480,0.1555,0.9167
49,0.3246,0.8501,0.1429,0.9352
50,0.3225,0.8480,0.1470,0.9352
51,0.3082,0.8676,0.1435,0.9074
52,0.3276,0.8450,0.1437,0.8889
53,0.2972,0.8706,0.1396,0.9630
54,0.3065,0.8737,0.1404,0.9352
55,0.2833,0.8696,0.1346,0.9352
56,0.3069,0.8634,0.1349,0.9259
57,0.2846,0.8809,0.1354,0.9352
58,0.3013,0.8573,0.1317,0.9352
59,0.2998,0.8696,0.1362,0.9815
60,0.2868,0.8717,0.1311,0.9352
61,0.3056,0.8665,0.1307,0.9352
62,0.2717,0.8860,0.1295,0.9352
63,0.2720,0.8891,0.1327,0.9815
64,0.2875,0.8696,0.1290,0.9352
65,0.2749,0.8840,0.1297,0.9352
66,0.3006,0.8676,0.1240,0.9352
67,0.2902,0.8665,0.1263,0.9352
68,0.2685,0.8819,0.1241,0.9352
69,0.3002,0.8747,0.1264,0.9352
70,0.2895,0.8737,0.1272,0.9352
71,0.2857,0.8676,0.1228,0.9352
72,0.2797,0.8778,0.1211,0.9352
73,0.2790,0.8696,0.1225,0.9352
74,0.2469,0.8973,0.1170,0.9630
75,0.2596,0.8891,0.1141,0.9444
76,0.2612,0.8860,0.1462,0.8889
77,0.2867,0.8655,0.1183,0.9352
78,0.2574,0.8881,0.1152,0.9815
79,0.2740,0.8819,0.1153,0.9352
80,0.2584,0.8819,0.1148,0.9352
81,0.2704,0.8871,0.1098,0.9722
82,0.2813,0.8686,0.1089,0.9630
83,0.2504,0.8881,0.1111,0.9352
84,0.2618,0.8747,0.1072,0.9815
85,0.2513,0.8912,0.1094,0.9352
86,0.2600,0.8881,0.1087,0.9352
87,0.2588,0.8901,0.1298,0.9352
88,0.2531,0.8871,0.1086,0.9352
89,0.2504,0.8850,0.1078,0.9352
90,0.2446,0.8922,0.1031,0.9444
91,0.2459,0.8953,0.0998,0.9815
92,0.2323,0.9025,0.1024,0.9352
93,0.2796,0.8789,0.1019,0.9815
94,0.2647,0.8881,0.0965,0.9815
95,0.2754,0.8727,0.0962,0.9815
96,0.2413,0.9035,0.0963,0.9630
97,0.2332,0.8963,0.0990,0.9815
98,0.2479,0.9035,0.0953,0.9630
99,0.2584,0.8943,0.1000,0.9444
100,0.2459,0.8943,0.0931,0.9815
