epoch,loss,acc,val_loss,val_acc
1,0.9108,0.6170,0.6075,0.8796
2,0.6524,0.6735,0.5381,0.8796
3,0.5906,0.7228,0.4761,0.8889
4,0.5694,0.7290,0.4614,0.8889
5,0.5337,0.7433,0.3947,0.8889
6,0.5280,0.7320,0.3941,0.8889
7,0.5079,0.7721,0.3832,0.8889
8,0.5057,0.7526,0.3663,0.8889
9,0.4862,0.7752,0.3518,0.8889
10,0.4704,0.7710,0.3778,0.8889
11,0.4724,0.7823,0.3415,0.8889
12,0.4569,0.7916,0.3159,0.8889
13,0.4609,0.7731,0.3071,0.8889
14,0.4291,0.8018,0.3394,0.8889
15,0.4480,0.7947,0.3180,0.8889
16,0.4393,0.7895,0.2908,0.8889
17,0.4193,0.8111,0.2860,0.8889
18,0.4333,0.7988,0.2930,0.8889
19,0.4483,0.7834,0.2984,0.8889
20,0.4122,0.8203,0.2699,0.8889
21,0.4240,0.8111,0.2640,0.8889
22,0.4132,0.8142,0.2736,0.8889
23,0.3793,0.8337,0.2590,0.8889
24,0.4029,0.8060,0.2525,0.8889
25,0.3995,0.8193,0.2551,0.8889
26,0.3835,0.8337,0.2455,0.8889
27,0.3858,0.8316,0.2424,0.8889
28,0.3877,0.8275,0.2146,0.8981
29,0.3863,0.8234,0.2149,0.8889
30,0.3888,0.8193,0.2219,0.8889
31,0.3212,0.8696,0.2384,0.8889
32,0.3559,0.8398,0.2151,0.8889
33,0.3388,0.8573,0.1843,0.9167
34,0.3437,0.8480,0.1689,0.9444
35,0.3515,0.8532,0.1909,0.8889
36,0.3555,0.8460,0.1580,0.9444
37,0.3593,0.8409,0.1644,0.9259
38,0.3172,0.8676,0.1487,0.9167
39,0.3443,0.8429,0.1479,0.9444
40,0.3378,0.8491,0.1402,0.9444
41,0.3165,0.8655,0.1417,0.9444
42,0.3301,0.8542,0.1374,0.9630
43,0.3383,0.8398,0.1344,0.9630
44,0.3166,0.8511,0.1301,0.9444
45,0.3254,0.8655,0.1387,0.9352
46,0.3341,0.8563,0.1253,1.0000
47,0.3239,0.8634,0.1828,0.8889
48,0.3048,0.8665,0.1318,0.9167
49,0.3313,0.8429,0.1267,0.9444
50,0.3223,0.8522,0.1464,0.8981
51,0.3034,0.8573,0.1329,0.9074
52,0.3213,0.8624,0.1177,0.9722
53,0.3074,0.8552,0.1365,0.9444
54,0.3533,0.8316,0.1451,0.9444
55,0.3312,0.8480,0.1482,0.9444
56,0.3208,0.8563,0.1366,0.8889
57,0.3101,0.8542,0.1213,1.0000
58,0.3351,0.8398,0.1266,0.9352
59,0.3043,0.8676,0.1492,0.8889
60,0.3069,0.8542,0.1551,0.8889
61,0.3086,0.8480,0.1226,0.9444
62,0.3093,0.8470,0.1173,0.9630
63,0.3095,0.8593,0.1181,1.0000
64,0.3272,0.8624,0.1192,0.9444
65,0.3214,0.8552,0.1351,0.9352
66,0.2966,0.8573,0.1118,0.9537
67,0.3275,0.8522,0.1143,1.0000
68,0.3205,0.8511,0.1309,0.8889
69,0.3044,0.8522,0.1120,1.0000
70,0.3014,0.8655,0.1232,0.9537
71,0.3129,0.8480,0.1242,0.9352
72,0.2779,0.8706,0.1362,0.8889
73,0.3123,0.8563,0.1231,0.9352
74,0.2857,0.8696,0.1281,0.9352
75,0.3063,0.8665,0.1394,0.8889
76,0.3050,0.8634,0.1097,1.0000
77,0.2899,0.8573,0.1185,0.9444
78,0.2906,0.8624,0.1513,0.8889
79,0.2974,0.8624,0.1301,0.8889
80,0.2926,0.8624,0.1123,1.0000
81,0.3060,0.8706,0.1125,1.0000
82,0.2909,0.8593,0.1129,0.9444
83,0.2839,0.8593,0.1419,0.8889
84,0.2833,0.8727,0.1272,0.9074
85,0.2976,0.8768,0.1036,1.0000
86,0.2541,0.8830,0.1119,0.9444
87,0.2675,0.8973,0.1073,0.9444
88,0.3038,0.8665,0.1330,0.8889
89,0.2768,0.8717,0.1079,0.9444
90,0.2724,0.8901,0.1163,0.9352
91,0.2873,0.8727,0.0963,1.0000
92,0.2688,0.8871,0.0905,1.0000
93,0.3060,0.8573,0.1028,0.9444
94,0.2753,0.8860,0.1011,0.9444
95,0.2768,0.8830,0.0992,0.9444
96,0.2677,0.8881,0.1102,0.9352
97,0.2550,0.8830,0.1118,0.9074
98,0.2489,0.8984,0.1021,0.9352
99,0.2826,0.8747,0.0989,0.9537
100,0.2467,0.8860,0.1069,0.9444
