epoch,loss,acc,val_loss,val_acc
1,0.6461,0.6355,0.6191,0.6571
2,0.6131,0.6805,0.5952,0.7108
3,0.5900,0.7222,0.5741,0.7442
4,0.5697,0.7499,0.5553,0.7600
5,0.5518,0.7666,0.5388,0.7822
6,0.5377,0.7765,0.5243,0.7822
7,0.5195,0.7833,0.5105,0.7859
8,0.5143,0.7836,0.4991,0.7859
9,0.5013,0.7872,0.4884,0.7859
10,0.4910,0.7873,0.4784,0.7859
11,0.4787,0.7895,0.4683,0.7850
12,0.4726,0.7903,0.4599,0.7859
13,0.4653,0.7898,0.4509,0.7868
14,0.4549,0.7922,0.4423,0.7868
15,0.4465,0.7967,0.4319,0.7878
16,0.4348,0.7976,0.4220,0.7878
17,0.4269,0.8025,0.4130,0.7887
18,0.4182,0.8067,0.4021,0.7933
19,0.4109,0.8131,0.3923,0.7998
20,0.4000,0.8218,0.3823,0.8109
21,0.3955,0.8315,0.3729,0.8239
22,0.3803,0.8427,0.3634,0.8313
23,0.3720,0.8507,0.3546,0.8489
24,0.3660,0.8574,0.3463,0.8591
25,0.3586,0.8652,0.3373,0.8749
26,0.3482,0.8709,0.3307,0.8934
27,0.3428,0.8768,0.3219,0.8879
28,0.3359,0.8800,0.3152,0.8925
29,0.3311,0.8810,0.3088,0.8934
30,0.3242,0.8840,0.3028,0.8953
31,0.3211,0.8902,0.3000,0.8943
32,0.3140,0.8893,0.2916,0.8990
33,0.3088,0.8939,0.2875,0.8981
34,0.3087,0.8952,0.2829,0.8990
35,0.3014,0.8947,0.2773,0.9018
36,0.2980,0.8963,0.2729,0.9055
37,0.2978,0.8971,0.2719,0.9018
38,0.2912,0.9010,0.2647,0.9175
39,0.2884,0.8993,0.2624,0.9073
40,0.2854,0.9022,0.2577,0.9129
41,0.2826,0.9019,0.2527,0.9212
42,0.2780,0.9045,0.2491,0.9175
43,0.2739,0.9035,0.2454,0.9240
44,0.2750,0.9033,0.2427,0.9268
45,0.2722,0.9085,0.2421,0.9129
46,0.2677,0.9072,0.2354,0.9203
47,0.2668,0.9057,0.2366,0.9120
48,0.2615,0.9120,0.2318,0.9147
49,0.2580,0.9112,0.2274,0.9240
50,0.2555,0.9114,0.2225,0.9323
51,0.2521,0.9160,0.2198,0.9370
52,0.2498,0.9148,0.2178,0.9342
53,0.2474,0.9151,0.2171,0.9203
54,0.2454,0.9136,0.2124,0.9361
55,0.2421,0.9172,0.2128,0.9203
56,0.2407,0.9162,0.2071,0.9351
57,0.2404,0.9172,0.2052,0.9370
58,0.2379,0.9202,0.2027,0.9361
59,0.2317,0.9199,0.2008,0.9361
60,0.2323,0.9204,0.1971,0.9370
61,0.2312,0.9193,0.1958,0.9379
62,0.2309,0.9206,0.1962,0.9351
63,0.2266,0.9231,0.1919,0.9361
64,0.2251,0.9198,0.1903,0.9370
65,0.2237,0.9236,0.1887,0.9416
66,0.2205,0.9255,0.1855,0.9416
67,0.2204,0.9235,0.1847,0.9435
68,0.2187,0.9233,0.1840,0.9407
69,0.2171,0.9241,0.1832,0.9388
70,0.2149,0.9261,0.1790,0.9444
71,0.2158,0.9259,0.1782,0.9453
72,0.2128,0.9256,0.1789,0.9351
73,0.2095,0.9294,0.1768,0.9472
74,0.2085,0.9306,0.1769,0.9342
75,0.2081,0.9305,0.1770,0.9314
76,0.2047,0.9300,0.1727,0.9407
77,0.2050,0.9314,0.1776,0.9472
78,0.2024,0.9304,0.1688,0.9462
79,0.2015,0.9294,0.1666,0.9500
80,0.2018,0.9306,0.1655,0.9518
81,0.2025,0.9322,0.1669,0.9435
82,0.1999,0.9315,0.1636,0.9490
83,0.1964,0.9319,0.1625,0.9546
84,0.1946,0.9332,0.1613,0.9546
85,0.1945,0.9347,0.1608,0.9527
86,0.1942,0.9341,0.1601,0.9555
87,0.1918,0.9328,0.1579,0.9500
88,0.1875,0.9372,0.1586,0.9527
89,0.1875,0.9376,0.1610,0.9388
90,0.1901,0.9365,0.1539,0.9537
91,0.1898,0.9343,0.1542,0.9481
92,0.1866,0.9341,0.1514,0.9555
93,0.1845,0.9376,0.1511,0.9500
94,0.1833,0.9373,0.1489,0.9574
95,0.1813,0.9382,0.1509,0.9574
96,0.1804,0.9370,0.1472,0.9555
97,0.1786,0.9391,0.1558,0.9435
98,0.1786,0.9390,0.1535,0.9601
99,0.1788,0.9386,0.1453,0.9601
100,0.1749,0.9402,0.1444,0.9518
101,0.1749,0.9399,0.1424,0.9555
102,0.1766,0.9397,0.1413,0.9574
103,0.1717,0.9424,0.1421,0.9500
104,0.1735,0.9427,0.1399,0.9537
105,0.1700,0.9414,0.1375,0.9555
106,0.1694,0.9425,0.1379,0.9592
107,0.1677,0.9422,0.1358,0.9546
108,0.1657,0.9423,0.1362,0.9546
109,0.1667,0.9428,0.1375,0.9490
110,0.1631,0.9464,0.1344,0.9611
111,0.1631,0.9442,0.1347,0.9518
112,0.1608,0.9466,0.1361,0.9629
113,0.1584,0.9455,0.1305,0.9574
114,0.1578,0.9453,0.1289,0.9629
115,0.1592,0.9459,0.1289,0.9583
116,0.1582,0.9475,0.1291,0.9546
117,0.1567,0.9482,0.1279,0.9555
118,0.1572,0.9469,0.1257,0.9611
119,0.1578,0.9470,0.1264,0.9648
120,0.1524,0.9507,0.1244,0.9657
121,0.1501,0.9500,0.1241,0.9574
122,0.1514,0.9501,0.1223,0.9620
123,0.1491,0.9495,0.1207,0.9666
124,0.1467,0.9529,0.1196,0.9657
125,0.1471,0.9508,0.1216,0.9583
126,0.1492,0.9496,0.1188,0.9703
127,0.1472,0.9496,0.1169,0.9676
128,0.1461,0.9521,0.1175,0.9648
129,0.1436,0.9527,0.1166,0.9648
130,0.1410,0.9548,0.1148,0.9694
