epoch,loss,acc,val_loss,val_acc
1,0.6390,0.6400,0.5951,0.7273
2,0.5638,0.7417,0.5245,0.7505
3,0.5053,0.7882,0.4657,0.7987
4,0.4571,0.8031,0.4484,0.8386
5,0.4193,0.8237,0.3856,0.8154
6,0.3830,0.8475,0.3660,0.8228
7,0.3572,0.8698,0.3296,0.8933
8,0.3295,0.8820,0.3087,0.8915
9,0.3106,0.8914,0.2912,0.8970
10,0.2982,0.8955,0.2867,0.8868
11,0.2820,0.9007,0.2670,0.9063
12,0.2741,0.9030,0.2608,0.9193
13,0.2605,0.9088,0.2741,0.8989
14,0.2518,0.9116,0.2391,0.9193
15,0.2405,0.9151,0.2299,0.9258
16,0.2318,0.9206,0.2201,0.9212
17,0.2221,0.9245,0.2132,0.9276
18,0.2159,0.9266,0.2049,0.9286
19,0.2089,0.9278,0.9729,0.5297
20,0.2044,0.9308,0.1960,0.9249
21,0.1959,0.9344,0.2539,0.9007
22,0.1892,0.9365,0.3079,0.8683
23,0.1883,0.9394,0.4152,0.7904
24,0.1802,0.9425,0.1755,0.9314
25,0.1737,0.9439,0.1744,0.9369
26,0.1683,0.9472,0.1600,0.9471
27,0.1655,0.9466,0.1588,0.9360
28,0.1617,0.9484,0.1494,0.9462
29,0.1545,0.9522,0.1629,0.9378
30,0.1529,0.9507,0.1394,0.9508
31,0.1471,0.9562,0.1342,0.9536
32,0.1420,0.9561,0.2010,0.9147
33,0.1380,0.9570,0.2450,0.9007
34,0.1361,0.9583,0.1293,0.9647
35,0.1314,0.9609,0.1178,0.9638
36,0.1251,0.9622,0.1166,0.9675
37,0.1225,0.9632,0.1104,0.9685
38,0.1197,0.9659,0.1110,0.9712
39,0.1155,0.9659,0.1060,0.9685
40,0.1132,0.9685,0.1114,0.9610
41,0.1099,0.9679,0.1069,0.9722
42,0.1079,0.9676,0.1450,0.9351
43,0.1030,0.9697,0.0955,0.9731
44,0.0996,0.9699,0.0901,0.9759
45,0.1004,0.9706,0.0919,0.9703
46,0.0969,0.9712,0.0882,0.9750
47,0.0970,0.9717,0.0848,0.9731
48,0.0927,0.9727,0.0846,0.9750
49,0.0913,0.9734,0.3109,0.8442
50,0.0903,0.9733,0.0810,0.9750
51,0.0894,0.9740,0.0766,0.9796
52,0.0867,0.9754,0.0746,0.9787
53,0.0849,0.9748,0.0785,0.9777
54,0.0847,0.9756,0.0741,0.9824
55,0.0830,0.9748,0.1406,0.9518
56,0.0815,0.9752,0.0723,0.9759
57,0.0810,0.9766,0.0716,0.9805
58,0.0815,0.9760,0.0692,0.9814
59,0.0789,0.9768,0.0717,0.9796
60,0.0775,0.9764,0.0667,0.9833
61,0.0783,0.9770,0.0675,0.9833
62,0.0761,0.9778,0.0653,0.9796
63,0.0745,0.9779,0.0653,0.9833
64,0.0732,0.9792,0.2099,0.9026
65,0.0731,0.9799,0.0619,0.9824
66,0.0748,0.9789,0.0660,0.9852
67,0.0715,0.9796,0.0724,0.9712
68,0.0716,0.9803,0.0615,0.9833
69,0.0714,0.9789,2.6542,0.5640
70,0.0811,0.9772,0.0582,0.9852
71,0.0699,0.9780,0.0623,0.9787
72,0.0676,0.9818,0.0563,0.9833
73,0.0668,0.9808,0.0573,0.9842
74,0.0668,0.9797,0.0565,0.9842
75,0.0684,0.9797,0.0552,0.9842
76,0.0664,0.9786,0.0594,0.9842
77,0.0657,0.9809,0.0746,0.9824
78,0.0639,0.9804,0.0588,0.9824
79,0.0599,0.9813,0.0554,0.9814
80,0.0643,0.9820,0.0520,0.9861
81,0.0605,0.9808,0.0503,0.9852
82,0.0632,0.9814,0.0556,0.9833
83,0.0625,0.9814,0.0539,0.9842
84,0.0626,0.9813,0.0508,0.9842
85,0.0624,0.9822,0.0672,0.9740
86,0.0595,0.9822,0.0561,0.9814
87,0.0613,0.9828,0.1167,0.9610
88,0.0594,0.9822,2.6462,0.6948
89,0.0689,0.9814,0.0507,0.9842
90,0.0601,0.9824,0.0490,0.9861
91,0.0582,0.9823,0.0591,0.9898
92,0.0598,0.9817,0.0473,0.9861
93,0.0552,0.9838,0.0474,0.9870
94,0.0595,0.9819,0.0562,0.9796
95,0.0564,0.9834,0.0609,0.9768
96,0.0568,0.9829,0.0488,0.9852
97,0.0582,0.9835,0.0460,0.9889
98,0.0582,0.9814,0.0464,0.9870
99,0.0573,0.9843,0.0470,0.9898
100,0.0564,0.9839,0.0510,0.9861
101,0.0529,0.9851,0.0575,0.9814
102,0.0568,0.9840,0.0519,0.9833
103,0.0559,0.9823,1.4444,0.7004
104,0.0602,0.9825,0.0492,0.9861
105,0.0559,0.9852,0.0432,0.9889
106,0.0558,0.9837,0.0471,0.9861
107,0.0537,0.9845,0.0773,0.9750
108,0.0553,0.9834,0.0455,0.9917
109,0.0542,0.9846,0.0508,0.9861
110,0.0522,0.9856,0.0681,0.9805
111,0.0551,0.9838,0.0449,0.9879
112,0.0528,0.9843,0.0513,0.9833
113,0.0504,0.9853,0.0482,0.9852
114,0.0529,0.9839,0.0524,0.9824
115,0.0497,0.9850,0.0524,0.9917
116,0.0514,0.9835,0.0491,0.9852
117,0.0503,0.9856,0.0477,0.9889
118,0.0511,0.9853,0.0426,0.9889
119,0.0515,0.9854,0.0421,0.9889
120,0.0516,0.9858,0.0438,0.9861
121,0.0511,0.9856,0.0404,0.9907
122,0.0508,0.9860,0.0499,0.9870
123,0.0515,0.9854,0.0479,0.9852
124,0.0516,0.9858,0.0413,0.9889
125,0.0508,0.9842,0.0448,0.9861
126,0.0495,0.9857,0.0451,0.9889
127,0.0481,0.9864,0.0403,0.9907
128,0.0517,0.9842,0.0414,0.9889
129,0.0523,0.9850,0.0520,0.9898
130,0.0500,0.9860,0.0397,0.9907
131,0.0491,0.9857,0.0475,0.9852
132,0.0483,0.9859,0.0414,0.9870
133,0.0489,0.9858,0.0405,0.9907
134,0.0496,0.9860,0.0425,0.9926
135,0.0482,0.9872,0.0441,0.9889
136,0.0487,0.9862,0.0492,0.9842
137,0.0488,0.9865,0.1650,0.9314
138,0.0501,0.9859,0.0428,0.9870
139,0.0478,0.9869,0.0393,0.9907
140,0.0483,0.9867,7.0191,0.4759
141,0.0779,0.9826,0.0396,0.9907
142,0.0467,0.9864,0.0404,0.9907
143,0.0493,0.9860,0.0394,0.9926
144,0.0466,0.9871,0.0385,0.9907
145,0.0477,0.9848,0.0401,0.9879
146,0.0465,0.9874,0.0421,0.9926
147,0.0459,0.9857,0.0482,0.9879
148,0.0465,0.9863,0.0392,0.9907
149,0.0475,0.9862,0.0433,0.9879
150,0.0491,0.9856,0.0784,0.9731
151,0.0468,0.9862,0.0485,0.9842
152,0.0472,0.9865,0.0390,0.9898
153,0.0473,0.9860,0.0427,0.9917
154,0.0485,0.9860,0.0382,0.9898
155,0.0478,0.9865,0.0406,0.9898
156,0.0463,0.9858,0.0492,0.9842
157,0.0465,0.9860,0.0429,0.9917
158,0.0459,0.9870,0.0376,0.9917
159,0.0447,0.9863,0.0394,0.9889
160,0.0490,0.9871,0.0386,0.9907
161,0.0469,0.9861,0.0547,0.9805
162,0.0437,0.9872,0.0376,0.9907
163,0.0448,0.9876,0.0375,0.9889
164,0.0437,0.9876,0.0378,0.9917
165,0.0448,0.9865,0.0436,0.9889
166,0.0455,0.9872,0.0377,0.9926
167,0.0438,0.9875,0.0462,0.9879
168,0.0444,0.9875,0.0375,0.9917
169,0.0464,0.9869,0.0415,0.9898
170,0.0444,0.9873,0.0381,0.9917
171,0.0432,0.9876,0.0387,0.9879
172,0.0432,0.9871,0.0441,0.9879
173,0.0442,0.9875,0.0487,0.9898
174,0.0428,0.9872,0.0382,0.9879
175,0.0437,0.9885,0.0480,0.9861
176,0.0447,0.9874,0.0377,0.9879
177,0.0417,0.9886,0.0379,0.9926
178,0.0435,0.9878,0.0370,0.9935
179,0.0429,0.9875,0.0368,0.9917
180,0.0444,0.9884,0.0415,0.9907
181,0.0448,0.9874,0.0389,0.9889
182,0.0442,0.9871,0.1329,0.9583
183,0.0462,0.9872,0.0415,0.9889
184,0.0427,0.9881,0.0533,0.9879
185,0.0441,0.9858,0.0380,0.9907
186,0.0415,0.9875,0.0413,0.9889
187,0.0431,0.9877,0.0382,0.9898
188,0.0433,0.9873,0.2306,0.8970
189,0.0437,0.9869,0.0539,0.9814
190,0.0442,0.9868,0.0380,0.9879
191,0.0415,0.9890,0.0468,0.9852
192,0.0378,0.9892,0.0381,0.9926
193,0.0408,0.9893,0.0420,0.9879
194,0.0437,0.9876,0.0366,0.9917
195,0.0412,0.9877,0.0421,0.9907
196,0.0439,0.9869,0.0361,0.9926
197,0.0410,0.9884,0.0425,0.9861
198,0.0423,0.9863,0.0380,0.9889
199,0.0407,0.9880,0.0369,0.9898
200,0.0415,0.9882,0.0419,0.9889
