epoch,loss,acc,val_loss,val_acc
1,0.5716,0.7298,0.4920,0.7948
2,0.4557,0.8064,0.3977,0.8254
3,0.3802,0.8487,0.3510,0.8449
4,0.3275,0.8724,0.3104,0.8867
5,0.2980,0.8845,0.2887,0.8765
6,0.2685,0.8959,0.2890,0.8719
7,0.2462,0.9029,0.2123,0.9201
8,0.2299,0.9098,0.2019,0.9229
9,0.2141,0.9188,0.1774,0.9359
10,0.2001,0.9254,0.1745,0.9276
11,0.1899,0.9267,0.1443,0.9564
12,0.1823,0.9333,0.1695,0.9304
13,0.1697,0.9386,0.5135,0.7558
14,0.1581,0.9441,0.1290,0.9517
15,0.1513,0.9479,0.1303,0.9675
16,0.1404,0.9527,0.1096,0.9656
17,0.1313,0.9557,0.0904,0.9712
18,0.1239,0.9586,0.0806,0.9759
19,0.1179,0.9604,0.1012,0.9647
20,0.1079,0.9638,0.2135,0.8988
21,0.1028,0.9661,0.0715,0.9749
22,0.0953,0.9696,0.0709,0.9759
23,0.0913,0.9708,0.0629,0.9814
24,0.0938,0.9689,0.0708,0.9768
25,0.0852,0.9744,0.0616,0.9851
26,0.0830,0.9747,0.0533,0.9851
27,0.0818,0.9743,0.0653,0.9786
28,0.0779,0.9749,0.0541,0.9851
29,0.0776,0.9762,0.0470,0.9898
30,0.0731,0.9763,0.0452,0.9879
31,0.0742,0.9762,0.0449,0.9870
32,0.0713,0.9778,0.0710,0.9749
33,0.0666,0.9799,0.0440,0.9861
34,0.0684,0.9793,0.0509,0.9842
35,0.0651,0.9805,0.0419,0.9889
36,0.0705,0.9778,0.0393,0.9870
37,0.0642,0.9798,0.0518,0.9833
38,0.0635,0.9813,0.0376,0.9907
39,0.0620,0.9824,0.0386,0.9907
40,0.0609,0.9830,0.0440,0.9879
41,0.0582,0.9838,0.0347,0.9898
42,0.0566,0.9827,3.5110,0.5645
43,0.0714,0.9803,0.0335,0.9889
44,0.0547,0.9832,0.0341,0.9898
45,0.0551,0.9831,0.0542,0.9842
46,0.0559,0.9828,0.0322,0.9907
47,0.0526,0.9848,0.0364,0.9898
48,0.0516,0.9845,0.0953,0.9703
49,0.0525,0.9851,0.0611,0.9796
50,0.0524,0.9855,0.2440,0.8747
51,0.0524,0.9843,0.0374,0.9898
52,0.0495,0.9838,0.0302,0.9907
53,0.0523,0.9843,0.0316,0.9907
54,0.0501,0.9843,0.0407,0.9870
55,0.0465,0.9861,0.0334,0.9907
56,0.0461,0.9867,5.5908,0.5014
57,0.0862,0.9805,0.0326,0.9907
58,0.0452,0.9853,0.0351,0.9898
59,0.0463,0.9854,0.0422,0.9851
60,0.0457,0.9878,0.0294,0.9907
61,0.0442,0.9876,0.0284,0.9907
62,0.0446,0.9864,0.0273,0.9907
63,0.0438,0.9873,0.0270,0.9916
64,0.0449,0.9865,0.0355,0.9879
65,0.0441,0.9884,0.0455,0.9824
66,0.0437,0.9859,0.0419,0.9870
67,0.0428,0.9873,0.0256,0.9907
68,0.0409,0.9873,0.0390,0.9842
69,0.0426,0.9880,0.0313,0.9889
70,0.0428,0.9869,0.0268,0.9907
71,0.0443,0.9867,0.0299,0.9907
