epoch,loss,acc,val_loss,val_acc
1,0.6569,0.6361,0.6196,0.7004
2,0.5909,0.7212,0.5763,0.7635
3,0.5437,0.7764,0.5354,0.7709
4,0.5042,0.7921,0.5072,0.7709
5,0.4737,0.7919,0.4847,0.7718
6,0.4496,0.7957,0.4653,0.7718
7,0.4253,0.8038,0.4403,0.7792
8,0.3989,0.8227,0.4158,0.8052
9,0.3698,0.8436,0.3851,0.8340
10,0.3444,0.8644,0.4036,0.8033
11,0.3230,0.8761,0.3997,0.8033
12,0.3067,0.8858,0.3143,0.8738
13,0.2921,0.8889,0.5338,0.7931
14,0.2794,0.8934,0.4473,0.7978
15,0.2719,0.8988,0.9748,0.5519
16,0.2594,0.9008,0.2643,0.8998
17,0.2489,0.9048,0.2505,0.9026
18,0.2391,0.9103,0.2390,0.9137
19,0.2344,0.9108,0.2343,0.9109
20,0.2229,0.9178,0.2188,0.9249
21,0.2141,0.9195,0.3830,0.8460
22,0.2105,0.9222,0.2094,0.9147
23,0.2011,0.9259,0.1906,0.9360
24,0.1912,0.9297,0.2039,0.9156
25,0.1903,0.9288,0.4595,0.8386
26,0.1846,0.9330,0.4185,0.8469
27,0.1745,0.9362,0.1703,0.9425
28,0.1706,0.9377,1.1330,0.6058
29,0.1723,0.9405,2.4806,0.4072
30,0.1732,0.9412,4.7138,0.3850
31,0.1908,0.9436,0.4900,0.8265
32,0.1463,0.9512,1.0193,0.7681
33,0.1551,0.9484,0.1327,0.9555
34,0.1352,0.9526,0.1420,0.9443
35,0.1338,0.9528,0.1231,0.9555
36,0.1270,0.9598,0.1178,0.9601
37,0.1227,0.9610,0.1095,0.9583
38,0.1201,0.9601,0.1052,0.9675
39,0.1157,0.9625,0.1826,0.9249
40,0.1139,0.9625,0.1002,0.9675
41,0.1095,0.9651,0.0963,0.9647
42,0.1045,0.9662,0.0936,0.9675
43,0.1023,0.9674,0.0990,0.9629
44,0.1009,0.9679,0.0933,0.9694
45,0.0990,0.9704,0.0847,0.9675
46,0.0947,0.9702,0.0958,0.9657
47,0.0916,0.9732,0.1036,0.9638
48,0.0881,0.9726,8.8696,0.3813
49,0.1974,0.9614,0.5883,0.7523
50,0.0888,0.9734,0.0793,0.9694
51,0.0840,0.9752,0.0767,0.9759
52,0.0828,0.9753,0.0968,0.9629
53,0.0792,0.9765,0.0822,0.9685
54,0.0802,0.9753,0.0717,0.9796
55,0.0771,0.9758,0.0678,0.9750
56,0.0797,0.9754,0.0684,0.9759
57,0.0762,0.9774,0.1207,0.9647
58,0.0785,0.9776,0.0629,0.9759
59,0.0729,0.9788,0.0710,0.9703
60,0.0717,0.9793,0.0645,0.9722
61,0.0754,0.9756,0.0786,0.9694
62,0.0698,0.9799,0.0732,0.9759
63,0.0674,0.9805,1.9175,0.7672
64,0.1199,0.9662,0.0595,0.9768
