epoch,loss,acc,val_loss,val_acc
1,1.5428,0.3193,1.1415,0.5000
2,1.0742,0.5431,0.8722,0.5000
3,0.9387,0.5400,0.7582,0.7315
4,0.8716,0.5657,0.7009,0.8426
5,0.8238,0.5770,0.6663,0.8241
6,0.7784,0.6253,0.6362,0.4722
7,0.7571,0.6304,0.5852,0.8611
8,0.7349,0.6345,0.5554,0.8611
9,0.7217,0.6386,0.5441,0.8611
10,0.7176,0.6366,0.5162,0.8889
11,0.6988,0.6632,0.5047,0.8889
12,0.6657,0.7064,0.4768,0.8889
13,0.6566,0.6982,0.4688,0.8889
14,0.6392,0.7094,0.4490,0.8889
15,0.6389,0.7146,0.4446,0.8889
16,0.6313,0.7197,0.4220,0.8889
17,0.6090,0.7238,0.4249,0.8889
18,0.6064,0.7166,0.4129,0.8889
19,0.5825,0.7464,0.3922,0.8889
20,0.5862,0.7351,0.3863,0.8889
21,0.5718,0.7341,0.3907,0.8889
22,0.5684,0.7402,0.3696,0.8889
23,0.5834,0.7310,0.3830,0.8889
24,0.5425,0.7587,0.3576,0.8889
25,0.5447,0.7372,0.3471,0.8889
26,0.5280,0.7556,0.3384,0.8889
27,0.5278,0.7464,0.3390,0.8889
28,0.5507,0.7361,0.3388,0.8889
29,0.5359,0.7639,0.3300,0.8889
30,0.5435,0.7454,0.3292,0.8889
31,0.5372,0.7536,0.3325,0.8889
32,0.5191,0.7649,0.3447,0.8889
33,0.5217,0.7515,0.3331,0.8889
34,0.5203,0.7526,0.3264,0.8889
35,0.5027,0.7772,0.3182,0.8889
36,0.5055,0.7598,0.3112,0.8889
37,0.4996,0.7700,0.3168,0.8889
38,0.5181,0.7608,0.3199,0.8889
39,0.5026,0.7690,0.3152,0.8889
40,0.4915,0.7669,0.3062,0.8889
41,0.5126,0.7608,0.3203,0.8889
42,0.4917,0.7741,0.2963,0.8889
43,0.5007,0.7515,0.3056,0.8889
44,0.5009,0.7690,0.3022,0.8889
45,0.4762,0.7700,0.2963,0.8889
46,0.5082,0.7515,0.2951,0.8889
47,0.4950,0.7690,0.2951,0.8889
48,0.4918,0.7598,0.2953,0.8889
49,0.5088,0.7577,0.2976,0.8889
50,0.4730,0.7803,0.2869,0.8889
51,0.4882,0.7710,0.2848,0.8889
52,0.4689,0.7834,0.2824,0.8889
53,0.4557,0.7762,0.2668,0.8889
54,0.4771,0.7793,0.2762,0.8889
55,0.4605,0.7947,0.2774,0.8889
56,0.4894,0.7659,0.2644,0.8889
57,0.4489,0.7854,0.2605,0.8889
58,0.4551,0.7772,0.2698,0.8981
59,0.4446,0.7864,0.2637,0.8889
60,0.4825,0.7772,0.2517,0.8889
61,0.4433,0.8090,0.2584,0.8704
62,0.4289,0.7967,0.2404,0.8611
63,0.4775,0.7669,0.2442,0.9074
64,0.4241,0.7988,0.2384,0.8889
65,0.4647,0.7803,0.2395,0.8981
66,0.4456,0.7782,0.2450,0.9167
67,0.4606,0.7731,0.2466,0.9167
68,0.4327,0.8080,0.2313,0.8889
69,0.4473,0.7936,0.2329,0.9167
70,0.4033,0.8255,0.2257,0.9167
71,0.4496,0.7803,0.2273,0.9167
72,0.4234,0.8183,0.2162,0.9444
73,0.4194,0.8039,0.2206,0.9167
74,0.4091,0.8131,0.2162,0.9167
75,0.4359,0.8172,0.2126,0.8889
76,0.4207,0.8029,0.2104,0.9444
77,0.4409,0.7926,0.2218,0.9167
78,0.4041,0.8152,0.1995,0.9444
79,0.4152,0.8101,0.1994,0.9167
80,0.3993,0.8111,0.2005,0.9167
81,0.4189,0.8152,0.2048,0.9167
82,0.4248,0.8008,0.2021,0.9444
83,0.4202,0.8039,0.2031,0.9167
84,0.4183,0.7957,0.2001,0.9352
85,0.4179,0.8018,0.1963,0.9167
86,0.4079,0.8101,0.1962,0.9167
87,0.4291,0.7854,0.1999,0.9167
88,0.4072,0.7988,0.1874,0.9167
89,0.4289,0.8018,0.1940,0.9444
90,0.4138,0.7957,0.1939,0.9167
91,0.3993,0.8142,0.1929,0.9167
92,0.3980,0.8275,0.1810,0.9537
93,0.4222,0.7895,0.1863,0.9167
94,0.4207,0.7967,0.1876,0.9167
95,0.4118,0.7988,0.1894,0.9444
96,0.4072,0.8070,0.1858,0.9444
97,0.3807,0.8224,0.1854,0.9167
98,0.4164,0.7864,0.1888,0.9259
99,0.3914,0.8111,0.1756,0.9352
100,0.3962,0.8080,0.1829,0.9259
