epoch,loss,acc,val_loss,val_acc
1,1.2134,0.4717,0.9042,0.5413
2,0.9294,0.5272,0.7366,0.6147
3,0.8129,0.5755,0.6914,0.4954
4,0.7929,0.5725,0.6570,0.6881
5,0.7465,0.5971,0.6313,0.8257
6,0.7132,0.6228,0.6065,0.8257
7,0.6929,0.6382,0.5851,0.8257
8,0.6988,0.6454,0.5863,0.8165
9,0.6704,0.6650,0.5660,0.8257
10,0.6691,0.6927,0.5536,0.8257
11,0.6586,0.6886,0.5542,0.8257
12,0.6737,0.6773,0.5596,0.8257
13,0.6444,0.7143,0.5397,0.8257
14,0.6444,0.7174,0.5303,0.8257
15,0.6363,0.7009,0.5294,0.8257
16,0.6417,0.7194,0.5226,0.8257
17,0.6152,0.7256,0.5234,0.8257
18,0.6174,0.7215,0.5154,0.8257
19,0.5818,0.7431,0.4990,0.8257
20,0.5681,0.7585,0.4736,0.8257
21,0.6129,0.7318,0.4752,0.8257
22,0.5923,0.7266,0.4903,0.8257
23,0.6067,0.7287,0.4712,0.8257
24,0.5695,0.7636,0.4632,0.8257
25,0.6187,0.7215,0.4765,0.8257
26,0.5861,0.7287,0.4543,0.8257
27,0.6129,0.7071,0.4665,0.8257
28,0.5553,0.7431,0.4544,0.8257
29,0.5625,0.7605,0.4548,0.8257
30,0.5818,0.7513,0.4477,0.8257
31,0.5861,0.7379,0.4393,0.8257
32,0.5544,0.7472,0.4265,0.8257
33,0.5604,0.7564,0.4046,0.8257
34,0.5365,0.7657,0.3922,0.8257
35,0.5268,0.7801,0.4010,0.8257
36,0.5538,0.7513,0.3737,0.8257
37,0.5410,0.7585,0.3978,0.8257
38,0.5449,0.7595,0.3723,0.8257
39,0.5253,0.7533,0.3615,0.8624
40,0.5148,0.7760,0.3719,0.8257
41,0.5043,0.7708,0.3654,0.8257
42,0.5209,0.7646,0.3451,0.8257
43,0.5092,0.7760,0.3498,0.8257
44,0.4892,0.7749,0.3308,0.8257
45,0.5143,0.7636,0.3674,0.8257
46,0.4761,0.7965,0.3390,0.8257
47,0.5220,0.7657,0.3602,0.8257
48,0.4928,0.7821,0.3355,0.8257
49,0.4736,0.7975,0.3514,0.8257
50,0.4918,0.7852,0.3360,0.8257
51,0.4721,0.7934,0.3014,0.8257
52,0.4806,0.7801,0.3158,0.8257
53,0.4490,0.8027,0.2858,0.8257
54,0.4759,0.7934,0.2926,0.8257
55,0.4550,0.7996,0.2901,0.8257
56,0.4481,0.7996,0.2730,0.8257
57,0.4589,0.8150,0.2844,0.8257
58,0.4399,0.8201,0.2602,0.8257
59,0.4328,0.8150,0.2515,0.8257
60,0.4579,0.7873,0.2676,0.8257
61,0.4135,0.8273,0.2580,0.8257
62,0.4405,0.8201,0.2423,0.8257
63,0.4602,0.7903,0.2203,0.9908
64,0.4387,0.8078,0.2355,0.8257
65,0.4038,0.8325,0.2249,0.8624
66,0.4524,0.8027,0.2154,0.9633
67,0.4373,0.8088,0.2353,0.8257
68,0.4229,0.8119,0.2253,0.8624
69,0.4343,0.8222,0.2032,0.9541
70,0.4348,0.8129,0.2006,0.9633
71,0.4147,0.8263,0.1888,1.0000
72,0.4142,0.8232,0.1931,0.9725
73,0.4054,0.8253,0.1941,0.9266
74,0.4278,0.8273,0.2002,0.9266
75,0.3981,0.8386,0.1832,0.9633
76,0.3909,0.8417,0.2041,0.8257
77,0.3844,0.8397,0.2105,0.8257
78,0.4000,0.8366,0.1713,1.0000
79,0.4149,0.8376,0.2106,0.8257
80,0.4100,0.8243,0.1618,0.9817
81,0.4049,0.8356,0.1595,0.9725
82,0.3960,0.8366,0.1556,1.0000
83,0.3988,0.8314,0.1688,0.9725
84,0.4025,0.8314,0.1657,0.9633
85,0.4022,0.8222,0.1726,0.9541
86,0.4014,0.8325,0.1730,0.9633
87,0.3933,0.8479,0.1911,0.8624
88,0.3878,0.8284,0.1841,0.8991
89,0.3675,0.8448,0.1755,0.9541
90,0.3858,0.8407,0.1644,0.9633
91,0.4191,0.8222,0.1491,0.9908
92,0.3614,0.8499,0.1368,0.9725
93,0.3448,0.8520,0.1426,0.9908
94,0.3820,0.8325,0.1378,0.9908
95,0.3596,0.8469,0.1542,0.9633
96,0.3535,0.8684,0.1796,0.8899
97,0.3592,0.8510,0.1492,0.9725
98,0.3616,0.8469,0.1210,0.9817
99,0.3425,0.8551,0.1608,0.9266
100,0.3940,0.8232,0.1636,0.9541
