epoch,loss,acc,val_loss,val_acc
1,0.5331,0.7587,0.3422,0.9243
2,0.3249,0.8817,0.2048,0.9570
3,0.2766,0.8964,0.1656,0.9664
4,0.2657,0.8992,0.1511,0.9650
5,0.2589,0.9011,0.1517,0.9588
6,0.2487,0.9066,0.1347,0.9664
7,0.2501,0.9023,0.1343,0.9631
8,0.2450,0.9041,0.1370,0.9598
9,0.2375,0.9083,0.1230,0.9655
10,0.2367,0.9089,0.1198,0.9678
11,0.2428,0.9048,0.1275,0.9612
12,0.2365,0.9088,0.1246,0.9622
13,0.2370,0.9078,0.1244,0.9612
14,0.2336,0.9083,0.1386,0.9560
15,0.2344,0.9087,0.1306,0.9588
16,0.2325,0.9078,0.1263,0.9588
17,0.2265,0.9102,0.1174,0.9631
18,0.2236,0.9107,0.1282,0.9570
19,0.2279,0.9095,0.1142,0.9636
20,0.2302,0.9093,0.1290,0.9574
21,0.2274,0.9112,0.1136,0.9636
22,0.2305,0.9085,0.1161,0.9622
23,0.2255,0.9107,0.1211,0.9588
24,0.2196,0.9143,0.1103,0.9645
25,0.2283,0.9099,0.1298,0.9551
