epoch,loss,acc,val_loss,val_acc
1,0.4954,0.7852,0.2981,0.9414
2,0.3176,0.8783,0.1931,0.9522
3,0.2858,0.8899,0.1536,0.9674
4,0.2697,0.8980,0.1449,0.9622
5,0.2610,0.8988,0.1355,0.9608
6,0.2565,0.9017,0.1304,0.9664
7,0.2537,0.9014,0.1286,0.9655
8,0.2484,0.9050,0.1277,0.9645
9,0.2435,0.9062,0.1204,0.9697
10,0.2424,0.9076,0.1240,0.9645
11,0.2373,0.9102,0.1192,0.9645
12,0.2326,0.9115,0.1323,0.9574
13,0.2412,0.9067,0.1292,0.9603
14,0.2355,0.9110,0.1145,0.9655
15,0.2383,0.9063,0.1124,0.9678
16,0.2372,0.9064,0.1183,0.9660
17,0.2323,0.9097,0.1115,0.9669
18,0.2391,0.9082,0.1183,0.9636
19,0.2301,0.9104,0.1107,0.9645
20,0.2319,0.9096,0.1116,0.9660
21,0.2300,0.9105,0.1262,0.9579
22,0.2353,0.9083,0.1212,0.9598
23,0.2296,0.9109,0.1064,0.9664
24,0.2272,0.9098,0.1145,0.9622
25,0.2250,0.9097,0.1267,0.9560
