epoch,loss,acc,val_loss,val_acc
1,0.6718,0.5901,0.6401,0.6049
2,0.6170,0.6625,0.5798,0.7306
3,0.5312,0.8298,0.4650,0.9126
4,0.4032,0.9100,0.3179,0.9310
5,0.2696,0.9367,0.2014,0.9631
6,0.1847,0.9595,0.1435,0.9702
7,0.1453,0.9668,0.1178,0.9740
8,0.1289,0.9686,0.1061,0.9726
9,0.1174,0.9694,0.1001,0.9726
10,0.1127,0.9710,0.0953,0.9759
11,0.1075,0.9716,0.0918,0.9764
12,0.1039,0.9721,0.0904,0.9764
13,0.1030,0.9736,0.0873,0.9783
14,0.0998,0.9729,0.0856,0.9792
15,0.0991,0.9730,0.0843,0.9792
16,0.0963,0.9749,0.0829,0.9792
17,0.0948,0.9756,0.0826,0.9783
18,0.0929,0.9745,0.0804,0.9797
19,0.0914,0.9750,0.0813,0.9783
20,0.0910,0.9747,0.0791,0.9787
21,0.0886,0.9760,0.0776,0.9802
22,0.0877,0.9766,0.0771,0.9797
23,0.0868,0.9762,0.0768,0.9787
24,0.0860,0.9764,0.0755,0.9792
25,0.0850,0.9764,0.0743,0.9802
26,0.0840,0.9760,0.0735,0.9802
27,0.0826,0.9761,0.0726,0.9806
28,0.0822,0.9771,0.0720,0.9806
29,0.0811,0.9765,0.0712,0.9806
30,0.0805,0.9765,0.0710,0.9806
31,0.0790,0.9774,0.0696,0.9802
32,0.0782,0.9772,0.0687,0.9806
33,0.0770,0.9772,0.0699,0.9792
34,0.0763,0.9774,0.0669,0.9802
35,0.0754,0.9772,0.0667,0.9806
36,0.0741,0.9777,0.0656,0.9806
37,0.0728,0.9776,0.0655,0.9811
38,0.0714,0.9783,0.0639,0.9806
39,0.0710,0.9781,0.0638,0.9811
40,0.0706,0.9781,0.0624,0.9811
41,0.0702,0.9774,0.0616,0.9806
42,0.0684,0.9782,0.0608,0.9811
43,0.0673,0.9787,0.0603,0.9806
44,0.0676,0.9785,0.0636,0.9797
45,0.0654,0.9781,0.0588,0.9811
46,0.0649,0.9789,0.0582,0.9802
47,0.0641,0.9786,0.0580,0.9797
48,0.0641,0.9785,0.0569,0.9811
49,0.0625,0.9791,0.0566,0.9816
50,0.0624,0.9787,0.0557,0.9811
51,0.0601,0.9793,0.0557,0.9820
52,0.0613,0.9792,0.0547,0.9811
53,0.0603,0.9786,0.0542,0.9802
54,0.0589,0.9796,0.0542,0.9825
55,0.0589,0.9786,0.0530,0.9806
56,0.0581,0.9792,0.0525,0.9806
57,0.0573,0.9798,0.0523,0.9816
58,0.0568,0.9793,0.0517,0.9816
59,0.0563,0.9797,0.0516,0.9816
60,0.0547,0.9798,0.0513,0.9825
61,0.0545,0.9803,0.0504,0.9830
62,0.0548,0.9797,0.0500,0.9839
63,0.0542,0.9805,0.0494,0.9835
64,0.0530,0.9810,0.0516,0.9830
65,0.0539,0.9803,0.0487,0.9839
66,0.0516,0.9805,0.0486,0.9853
67,0.0517,0.9813,0.0480,0.9844
68,0.0513,0.9811,0.0480,0.9853
69,0.0516,0.9809,0.0480,0.9844
70,0.0504,0.9815,0.0472,0.9849
71,0.0503,0.9809,0.0469,0.9849
72,0.0499,0.9815,0.0469,0.9849
73,0.0493,0.9812,0.0479,0.9844
74,0.0490,0.9816,0.0464,0.9844
75,0.0489,0.9816,0.0459,0.9849
76,0.0479,0.9817,0.0460,0.9853
77,0.0482,0.9815,0.0455,0.9849
78,0.0477,0.9817,0.0455,0.9849
79,0.0475,0.9820,0.0451,0.9849
80,0.0460,0.9819,0.0452,0.9858
81,0.0469,0.9822,0.0447,0.9858
82,0.0458,0.9828,0.0448,0.9863
83,0.0466,0.9821,0.0443,0.9853
84,0.0461,0.9818,0.0440,0.9853
85,0.0454,0.9823,0.0439,0.9853
86,0.0449,0.9826,0.0438,0.9853
87,0.0451,0.9827,0.0439,0.9863
88,0.0448,0.9830,0.0433,0.9853
89,0.0442,0.9826,0.0436,0.9853
90,0.0450,0.9821,0.0431,0.9853
91,0.0443,0.9826,0.0451,0.9844
92,0.0441,0.9827,0.0428,0.9863
93,0.0438,0.9821,0.0426,0.9853
94,0.0429,0.9827,0.0432,0.9863
95,0.0426,0.9827,0.0424,0.9853
96,0.0428,0.9829,0.0428,0.9863
97,0.0430,0.9832,0.0420,0.9863
98,0.0427,0.9830,0.0418,0.9863
99,0.0420,0.9834,0.0428,0.9853
100,0.0415,0.9826,0.0418,0.9863
