epoch,loss,acc,val_loss,val_acc
1,0.4567,0.8489,0.2687,0.9475
2,0.1996,0.9536,0.1292,0.9674
3,0.1334,0.9670,0.1029,0.9702
4,0.1144,0.9701,0.0924,0.9750
5,0.1058,0.9729,0.0851,0.9778
6,0.0998,0.9738,0.0806,0.9792
7,0.0946,0.9749,0.0777,0.9816
8,0.0921,0.9741,0.0749,0.9764
9,0.0893,0.9749,0.0714,0.9792
10,0.0867,0.9759,0.0698,0.9773
11,0.0832,0.9760,0.0684,0.9830
12,0.0817,0.9767,0.0671,0.9787
13,0.0779,0.9768,0.0627,0.9820
14,0.0762,0.9769,0.0614,0.9825
15,0.0747,0.9768,0.0598,0.9825
16,0.0719,0.9782,0.0587,0.9830
17,0.0702,0.9772,0.0571,0.9825
18,0.0689,0.9780,0.0561,0.9825
19,0.0683,0.9778,0.0549,0.9830
20,0.0664,0.9786,0.0549,0.9835
21,0.0650,0.9787,0.0535,0.9816
22,0.0642,0.9790,0.0522,0.9825
23,0.0628,0.9797,0.0513,0.9820
24,0.0618,0.9799,0.0505,0.9844
25,0.0595,0.9804,0.0518,0.9811
26,0.0600,0.9798,0.0492,0.9820
27,0.0582,0.9805,0.0487,0.9816
28,0.0564,0.9804,0.0472,0.9825
29,0.0565,0.9801,0.0465,0.9839
30,0.0559,0.9808,0.0457,0.9839
31,0.0552,0.9812,0.0453,0.9816
32,0.0541,0.9816,0.0445,0.9830
33,0.0535,0.9817,0.0449,0.9816
34,0.0524,0.9819,0.0431,0.9839
35,0.0514,0.9812,0.0426,0.9844
36,0.0507,0.9813,0.0432,0.9820
37,0.0495,0.9818,0.0434,0.9816
38,0.0493,0.9818,0.0417,0.9820
39,0.0489,0.9825,0.0407,0.9839
40,0.0491,0.9817,0.0414,0.9816
41,0.0480,0.9826,0.0398,0.9853
42,0.0472,0.9823,0.0401,0.9820
43,0.0460,0.9826,0.0399,0.9849
44,0.0468,0.9829,0.0390,0.9849
45,0.0473,0.9831,0.0384,0.9844
46,0.0451,0.9839,0.0381,0.9820
47,0.0456,0.9831,0.0382,0.9830
48,0.0447,0.9839,0.0390,0.9835
49,0.0451,0.9843,0.0369,0.9863
50,0.0452,0.9832,0.0364,0.9858
51,0.0436,0.9842,0.0374,0.9853
52,0.0439,0.9853,0.0360,0.9853
53,0.0424,0.9844,0.0360,0.9868
54,0.0431,0.9844,0.0357,0.9858
55,0.0443,0.9843,0.0360,0.9853
56,0.0430,0.9842,0.0355,0.9844
57,0.0426,0.9844,0.0350,0.9877
58,0.0422,0.9846,0.0352,0.9863
59,0.0411,0.9850,0.0351,0.9863
60,0.0419,0.9854,0.0348,0.9858
61,0.0411,0.9862,0.0366,0.9872
62,0.0418,0.9849,0.0394,0.9882
63,0.0409,0.9847,0.0339,0.9858
64,0.0414,0.9855,0.0335,0.9887
65,0.0411,0.9858,0.0342,0.9858
66,0.0399,0.9860,0.0343,0.9868
67,0.0398,0.9854,0.0335,0.9863
68,0.0390,0.9862,0.0338,0.9863
69,0.0388,0.9862,0.0331,0.9863
70,0.0400,0.9864,0.0365,0.9887
71,0.0382,0.9864,0.0332,0.9858
72,0.0394,0.9861,0.0325,0.9887
73,0.0394,0.9862,0.0328,0.9877
74,0.0383,0.9868,0.0327,0.9877
75,0.0381,0.9871,0.0322,0.9877
76,0.0378,0.9864,0.0322,0.9882
77,0.0385,0.9862,0.0313,0.9891
78,0.0375,0.9867,0.0312,0.9920
79,0.0366,0.9872,0.0331,0.9896
80,0.0370,0.9878,0.0312,0.9863
81,0.0374,0.9874,0.0308,0.9882
82,0.0372,0.9869,0.0312,0.9877
83,0.0387,0.9866,0.0321,0.9887
84,0.0372,0.9872,0.0316,0.9891
85,0.0370,0.9878,0.0308,0.9882
86,0.0362,0.9872,0.0315,0.9891
87,0.0368,0.9883,0.0313,0.9868
88,0.0365,0.9871,0.0337,0.9891
89,0.0363,0.9878,0.0350,0.9887
90,0.0361,0.9887,0.0303,0.9896
91,0.0364,0.9877,0.0298,0.9896
92,0.0363,0.9887,0.0304,0.9872
93,0.0360,0.9885,0.0319,0.9896
94,0.0361,0.9878,0.0302,0.9863
95,0.0354,0.9884,0.0296,0.9896
96,0.0351,0.9888,0.0308,0.9891
97,0.0358,0.9879,0.0306,0.9891
98,0.0359,0.9879,0.0290,0.9910
99,0.0353,0.9885,0.0295,0.9872
100,0.0358,0.9888,0.0308,0.9858
