epoch,loss,acc,val_loss,val_acc
1,1.3216,0.4414,1.0164,0.7881
2,0.7730,0.7684,0.5274,1.0000
3,0.4450,0.9093,0.2681,1.0000
4,0.2415,0.9641,0.1110,1.0000
5,0.1401,0.9811,0.0546,1.0000
6,0.1009,0.9764,0.0312,1.0000
7,0.0793,0.9754,0.0206,1.0000
8,0.0605,0.9896,0.0156,1.0000
9,0.0565,0.9839,0.0110,1.0000
10,0.0434,0.9877,0.0081,1.0000
11,0.0463,0.9877,0.0071,1.0000
12,0.0335,0.9896,0.0054,1.0000
13,0.0382,0.9868,0.0045,1.0000
14,0.0312,0.9915,0.0037,1.0000
15,0.0387,0.9877,0.0032,1.0000
16,0.0267,0.9943,0.0027,1.0000
17,0.0254,0.9943,0.0025,1.0000
18,0.0256,0.9924,0.0021,1.0000
19,0.0260,0.9905,0.0019,1.0000
20,0.0285,0.9896,0.0019,1.0000
21,0.0189,0.9943,0.0018,1.0000
22,0.0183,0.9962,0.0016,1.0000
23,0.0167,0.9962,0.0016,1.0000
24,0.0229,0.9915,0.0012,1.0000
25,0.0219,0.9934,0.0010,1.0000
26,0.0281,0.9905,0.0010,1.0000
27,0.0248,0.9905,9.4693e-04,1.0000
28,0.0237,0.9924,9.2054e-04,1.0000
29,0.0300,0.9877,9.1088e-04,1.0000
30,0.0121,0.9962,9.0181e-04,1.0000
31,0.0252,0.9915,8.1471e-04,1.0000
32,0.0198,0.9924,7.1876e-04,1.0000
33,0.0142,0.9953,7.8551e-04,1.0000
34,0.0131,0.9962,0.0010,1.0000
35,0.0241,0.9924,0.0016,1.0000
36,0.0153,0.9934,6.9180e-04,1.0000
37,0.0173,0.9943,7.7468e-04,1.0000
38,0.0087,0.9991,8.9829e-04,1.0000
39,0.0176,0.9934,7.2770e-04,1.0000
40,0.0176,0.9934,6.5462e-04,1.0000
41,0.0188,0.9915,7.3703e-04,1.0000
42,0.0196,0.9934,0.0013,1.0000
43,0.0150,0.9943,4.9808e-04,1.0000
44,0.0221,0.9934,3.9653e-04,1.0000
45,0.0281,0.9905,4.1126e-04,1.0000
46,0.0175,0.9943,6.6404e-04,1.0000
47,0.0133,0.9972,3.8794e-04,1.0000
48,0.0130,0.9962,4.4846e-04,1.0000
49,0.0153,0.9943,9.3388e-04,1.0000
50,0.0169,0.9896,5.0800e-04,1.0000
51,0.0176,0.9943,4.7655e-04,1.0000
52,0.0225,0.9934,3.2503e-04,1.0000
53,0.0157,0.9943,5.9077e-04,1.0000
54,0.0250,0.9877,3.2626e-04,1.0000
55,0.0162,0.9924,4.9361e-04,1.0000
56,0.0139,0.9953,5.4368e-04,1.0000
57,0.0138,0.9953,3.8401e-04,1.0000
58,0.0188,0.9934,3.5059e-04,1.0000
59,0.0239,0.9896,4.9670e-04,1.0000
60,0.0140,0.9934,3.7276e-04,1.0000
61,0.0137,0.9943,3.8302e-04,1.0000
62,0.0177,0.9943,3.0677e-04,1.0000
63,0.0163,0.9943,2.9278e-04,1.0000
64,0.0144,0.9953,4.8785e-04,1.0000
65,0.0151,0.9934,4.9962e-04,1.0000
66,0.0173,0.9924,5.8397e-04,1.0000
67,0.0177,0.9924,3.6098e-04,1.0000
68,0.0100,0.9962,3.1623e-04,1.0000
69,0.0124,0.9962,3.6477e-04,1.0000
70,0.0167,0.9943,3.7693e-04,1.0000
71,0.0139,0.9953,3.3625e-04,1.0000
72,0.0092,0.9962,3.5773e-04,1.0000
73,0.0141,0.9943,2.8447e-04,1.0000
74,0.0247,0.9915,2.4995e-04,1.0000
75,0.0146,0.9924,4.2751e-04,1.0000
76,0.0088,0.9962,4.4118e-04,1.0000
77,0.0184,0.9924,3.5910e-04,1.0000
78,0.0099,0.9953,4.9234e-04,1.0000
79,0.0162,0.9943,4.6950e-04,1.0000
80,0.0207,0.9953,3.5652e-04,1.0000
81,0.0262,0.9915,3.3792e-04,1.0000
82,0.0160,0.9924,2.9359e-04,1.0000
83,0.0300,0.9868,2.7345e-04,1.0000
84,0.0169,0.9934,4.2937e-04,1.0000
85,0.0226,0.9934,2.6026e-04,1.0000
86,0.0062,0.9991,3.1909e-04,1.0000
87,0.0154,0.9943,3.4795e-04,1.0000
88,0.0093,0.9972,2.9445e-04,1.0000
89,0.0133,0.9962,6.3860e-04,1.0000
90,0.0218,0.9915,2.0757e-04,1.0000
91,0.0337,0.9887,2.9702e-04,1.0000
92,0.0107,0.9943,3.4484e-04,1.0000
93,0.0178,0.9915,2.4683e-04,1.0000
94,0.0216,0.9915,2.1575e-04,1.0000
95,0.0097,0.9972,1.7836e-04,1.0000
96,0.0130,0.9934,2.0651e-04,1.0000
97,0.0170,0.9934,2.9572e-04,1.0000
98,0.0258,0.9877,1.9431e-04,1.0000
99,0.0108,0.9962,3.5217e-04,1.0000
100,0.0220,0.9953,3.1682e-04,1.0000
