epoch,loss,acc,val_loss,val_acc
1,1.0984,0.5170,0.7256,0.7373
2,0.7032,0.6493,0.5578,0.8729
3,0.5913,0.7127,0.4482,1.0000
4,0.5019,0.7779,0.3299,1.0000
5,0.4359,0.8053,0.2381,1.0000
6,0.3658,0.8412,0.1794,1.0000
7,0.3096,0.8705,0.1160,1.0000
8,0.2930,0.8847,0.0846,1.0000
9,0.2783,0.8828,0.0701,1.0000
10,0.2581,0.8960,0.0493,1.0000
11,0.2702,0.8885,0.0444,1.0000
12,0.2635,0.8875,0.0371,1.0000
13,0.2569,0.8875,0.0351,1.0000
14,0.2846,0.8696,0.0357,1.0000
15,0.2328,0.8970,0.0332,1.0000
16,0.2192,0.9083,0.0288,1.0000
17,0.2396,0.8941,0.0259,1.0000
18,0.2299,0.8989,0.0235,1.0000
19,0.2601,0.8894,0.0244,1.0000
20,0.2493,0.8913,0.0259,1.0000
21,0.2489,0.8847,0.0262,1.0000
22,0.2445,0.8866,0.0291,1.0000
23,0.2150,0.9036,0.0225,1.0000
24,0.2472,0.8885,0.0235,1.0000
25,0.2386,0.8941,0.0221,1.0000
26,0.2398,0.8894,0.0229,1.0000
27,0.2197,0.9008,0.0208,1.0000
28,0.2412,0.8819,0.0200,1.0000
29,0.2046,0.9064,0.0201,1.0000
30,0.2615,0.8800,0.0214,1.0000
31,0.2153,0.9055,0.0202,1.0000
32,0.2277,0.8960,0.0191,1.0000
33,0.2670,0.8828,0.0226,1.0000
34,0.2184,0.9093,0.0199,1.0000
35,0.2305,0.9045,0.0231,1.0000
36,0.2402,0.8951,0.0214,1.0000
37,0.2412,0.8960,0.0287,1.0000
38,0.2299,0.8941,0.0202,1.0000
39,0.2528,0.8913,0.0334,1.0000
40,0.2136,0.9055,0.0333,1.0000
41,0.2429,0.9026,0.0229,1.0000
42,0.2265,0.8885,0.0208,1.0000
43,0.2222,0.9064,0.0189,1.0000
44,0.2266,0.9121,0.0255,1.0000
45,0.1933,0.9121,0.0168,1.0000
46,0.2413,0.8951,0.0198,1.0000
47,0.2534,0.8885,0.0239,1.0000
48,0.2261,0.8970,0.0233,1.0000
49,0.2341,0.8913,0.0313,1.0000
50,0.2170,0.9055,0.0237,1.0000
51,0.2184,0.8951,0.0194,1.0000
52,0.2281,0.8932,0.0227,1.0000
53,0.2207,0.9055,0.0211,1.0000
54,0.2171,0.9026,0.0205,1.0000
55,0.2099,0.9197,0.0250,1.0000
56,0.2397,0.8904,0.0199,1.0000
57,0.2243,0.9149,0.0174,1.0000
58,0.2368,0.8989,0.0177,1.0000
59,0.2002,0.9197,0.0186,1.0000
60,0.2061,0.9112,0.0195,1.0000
61,0.2077,0.9130,0.0186,1.0000
62,0.2168,0.8979,0.0186,1.0000
63,0.2213,0.8979,0.0191,1.0000
64,0.2365,0.8960,0.0211,1.0000
65,0.2103,0.9178,0.0206,1.0000
66,0.2267,0.9017,0.0179,1.0000
67,0.2196,0.9112,0.0195,1.0000
68,0.2444,0.8913,0.0228,1.0000
69,0.2249,0.9008,0.0219,1.0000
70,0.2314,0.9055,0.0231,1.0000
71,0.2012,0.9149,0.0206,1.0000
72,0.2213,0.9026,0.0180,1.0000
73,0.2092,0.9121,0.0201,1.0000
74,0.1949,0.9216,0.0166,1.0000
75,0.2277,0.9112,0.0176,1.0000
76,0.2028,0.9140,0.0175,1.0000
77,0.2072,0.9045,0.0171,1.0000
78,0.2108,0.9102,0.0202,1.0000
79,0.2088,0.9074,0.0160,1.0000
80,0.2295,0.9055,0.0174,1.0000
81,0.2161,0.8951,0.0183,1.0000
82,0.2445,0.8960,0.0184,1.0000
83,0.2145,0.9064,0.0183,1.0000
84,0.2186,0.9140,0.0181,1.0000
85,0.2117,0.9064,0.0183,1.0000
86,0.2182,0.9055,0.0189,1.0000
87,0.1876,0.9149,0.0177,1.0000
88,0.2393,0.8894,0.0199,1.0000
89,0.2214,0.8960,0.0211,1.0000
90,0.2389,0.8960,0.0185,1.0000
91,0.2296,0.8989,0.0214,1.0000
92,0.2129,0.9149,0.0226,1.0000
93,0.2097,0.9083,0.0194,1.0000
94,0.1986,0.9187,0.0192,1.0000
95,0.2057,0.9149,0.0169,1.0000
96,0.2283,0.8979,0.0190,1.0000
97,0.2024,0.9149,0.0222,1.0000
98,0.2056,0.9121,0.0180,1.0000
99,0.2256,0.9045,0.0225,1.0000
100,0.2055,0.9121,0.0201,1.0000
