epoch,loss,acc,val_loss,val_acc
1,0.6963,0.5455,0.6571,0.5803
2,0.6319,0.7104,0.6003,0.7841
3,0.5621,0.8427,0.5095,0.9458
4,0.4569,0.9298,0.3903,0.9880
5,0.3415,0.9602,0.2653,0.9900
6,0.2322,0.9759,0.1682,0.9920
7,0.1608,0.9840,0.1084,0.9930
8,0.1142,0.9890,0.0741,0.9930
9,0.0899,0.9912,0.0543,0.9940
10,0.0731,0.9914,0.0421,0.9960
11,0.0601,0.9919,0.0340,0.9970
12,0.0516,0.9939,0.0283,0.9970
13,0.0454,0.9936,0.0242,0.9970
14,0.0411,0.9939,0.0211,0.9970
15,0.0368,0.9940,0.0190,0.9980
16,0.0333,0.9957,0.0167,0.9970
17,0.0323,0.9943,0.0152,0.9970
18,0.0286,0.9961,0.0139,0.9970
19,0.0261,0.9958,0.0128,0.9970
20,0.0249,0.9961,0.0119,0.9990
21,0.0231,0.9973,0.0109,0.9990
22,0.0229,0.9964,0.0104,0.9980
23,0.0211,0.9967,0.0097,0.9990
24,0.0206,0.9963,0.0092,0.9990
25,0.0195,0.9964,0.0090,0.9990
26,0.0172,0.9978,0.0084,0.9990
27,0.0177,0.9970,0.0080,0.9990
28,0.0170,0.9973,0.0077,0.9990
29,0.0163,0.9972,0.0073,0.9990
30,0.0167,0.9965,0.0072,0.9990
31,0.0153,0.9977,0.0068,0.9990
32,0.0153,0.9972,0.0066,0.9990
33,0.0143,0.9973,0.0064,0.9990
34,0.0140,0.9973,0.0062,0.9990
35,0.0133,0.9982,0.0060,0.9990
36,0.0138,0.9974,0.0058,0.9990
37,0.0139,0.9977,0.0057,0.9990
38,0.0129,0.9980,0.0056,0.9990
39,0.0132,0.9972,0.0054,0.9990
40,0.0118,0.9980,0.0054,0.9990
41,0.0119,0.9979,0.0053,0.9990
42,0.0115,0.9980,0.0052,0.9990
43,0.0116,0.9977,0.0049,0.9990
44,0.0112,0.9979,0.0049,0.9990
45,0.0115,0.9983,0.0049,0.9990
46,0.0111,0.9979,0.0047,0.9990
47,0.0116,0.9979,0.0046,0.9990
48,0.0110,0.9986,0.0045,0.9990
49,0.0103,0.9983,0.0045,0.9990
50,0.0100,0.9982,0.0044,0.9990
51,0.0100,0.9983,0.0042,0.9990
52,0.0101,0.9980,0.0042,0.9990
53,0.0093,0.9981,0.0042,0.9990
54,0.0103,0.9980,0.0040,0.9990
55,0.0098,0.9982,0.0040,0.9990
56,0.0092,0.9984,0.0039,0.9990
57,0.0096,0.9983,0.0039,0.9990
58,0.0083,0.9986,0.0038,0.9990
59,0.0085,0.9988,0.0038,0.9990
60,0.0085,0.9989,0.0037,0.9990
61,0.0090,0.9982,0.0037,0.9990
62,0.0074,0.9990,0.0037,0.9990
63,0.0083,0.9989,0.0036,0.9990
64,0.0081,0.9982,0.0035,0.9990
65,0.0079,0.9988,0.0035,0.9990
66,0.0073,0.9989,0.0034,0.9990
67,0.0083,0.9987,0.0036,0.9990
68,0.0077,0.9989,0.0035,0.9990
69,0.0076,0.9989,0.0034,0.9990
70,0.0079,0.9988,0.0033,0.9990
71,0.0074,0.9991,0.0032,0.9990
72,0.0090,0.9986,0.0032,0.9990
73,0.0079,0.9983,0.0032,0.9990
74,0.0080,0.9984,0.0032,0.9990
75,0.0071,0.9987,0.0032,0.9990
76,0.0078,0.9987,0.0031,0.9990
77,0.0066,0.9989,0.0030,0.9990
78,0.0074,0.9986,0.0030,0.9990
79,0.0078,0.9989,0.0030,0.9990
80,0.0074,0.9987,0.0029,0.9990
81,0.0079,0.9987,0.0030,0.9990
82,0.0064,0.9989,0.0030,0.9990
83,0.0073,0.9988,0.0029,0.9990
84,0.0062,0.9992,0.0028,0.9990
85,0.0069,0.9991,0.0028,0.9990
86,0.0073,0.9983,0.0030,0.9990
87,0.0061,0.9991,0.0028,0.9990
88,0.0071,0.9988,0.0027,0.9990
89,0.0066,0.9991,0.0027,0.9990
90,0.0063,0.9990,0.0027,0.9990
91,0.0066,0.9989,0.0028,0.9990
92,0.0066,0.9990,0.0028,0.9990
93,0.0072,0.9987,0.0027,0.9990
94,0.0064,0.9991,0.0027,0.9990
95,0.0069,0.9983,0.0026,0.9990
96,0.0063,0.9990,0.0026,0.9990
97,0.0065,0.9988,0.0026,0.9990
98,0.0065,0.9987,0.0025,0.9990
99,0.0058,0.9990,0.0026,0.9990
100,0.0064,0.9989,0.0025,0.9990
