epoch,loss,acc,val_loss,val_acc
1,0.5355,0.7907,0.3098,0.9870
2,0.1980,0.9852,0.1025,0.9860
3,0.0870,0.9921,0.0536,0.9910
4,0.0537,0.9934,0.0393,0.9890
5,0.0396,0.9933,0.0296,0.9910
6,0.0326,0.9945,0.0248,0.9920
7,0.0274,0.9950,0.0234,0.9920
8,0.0241,0.9958,0.0213,0.9920
9,0.0219,0.9951,0.0180,0.9940
10,0.0192,0.9969,0.0156,0.9970
11,0.0176,0.9968,0.0159,0.9950
12,0.0159,0.9968,0.0142,0.9970
13,0.0156,0.9969,0.0140,0.9970
14,0.0143,0.9973,0.0127,0.9970
15,0.0125,0.9978,0.0131,0.9970
16,0.0127,0.9977,0.0134,0.9960
17,0.0112,0.9978,0.0109,0.9990
18,0.0122,0.9977,0.0111,0.9970
19,0.0105,0.9982,0.0112,0.9970
20,0.0105,0.9980,0.0116,0.9970
21,0.0097,0.9980,0.0101,0.9990
22,0.0090,0.9984,0.0099,0.9990
23,0.0087,0.9987,0.0104,0.9970
24,0.0088,0.9980,0.0098,0.9990
25,0.0083,0.9988,0.0107,0.9970
26,0.0088,0.9986,0.0086,0.9990
27,0.0083,0.9983,0.0089,0.9990
28,0.0087,0.9983,0.0090,0.9990
29,0.0080,0.9986,0.0091,0.9990
30,0.0079,0.9982,0.0084,0.9990
31,0.0078,0.9987,0.0082,0.9990
32,0.0082,0.9983,0.0082,0.9990
33,0.0072,0.9982,0.0085,0.9990
34,0.0068,0.9990,0.0085,0.9990
35,0.0070,0.9983,0.0077,0.9990
36,0.0070,0.9988,0.0079,0.9990
37,0.0068,0.9987,0.0080,0.9990
38,0.0073,0.9988,0.0090,0.9990
39,0.0068,0.9984,0.0090,0.9990
40,0.0064,0.9986,0.0080,0.9990
41,0.0064,0.9987,0.0088,0.9990
42,0.0069,0.9984,0.0082,0.9990
43,0.0064,0.9989,0.0084,0.9990
44,0.0064,0.9988,0.0075,0.9990
45,0.0067,0.9986,0.0081,0.9990
46,0.0060,0.9992,0.0068,0.9990
47,0.0063,0.9986,0.0074,0.9990
48,0.0052,0.9990,0.0071,0.9990
49,0.0057,0.9991,0.0067,0.9990
50,0.0058,0.9988,0.0070,0.9990
51,0.0058,0.9988,0.0073,0.9990
52,0.0053,0.9987,0.0068,0.9990
53,0.0058,0.9986,0.0072,0.9990
54,0.0058,0.9991,0.0072,0.9990
55,0.0052,0.9988,0.0076,0.9990
56,0.0051,0.9992,0.0070,0.9990
57,0.0051,0.9991,0.0077,0.9990
58,0.0058,0.9990,0.0075,0.9990
59,0.0050,0.9989,0.0069,0.9990
60,0.0052,0.9987,0.0077,0.9990
61,0.0051,0.9989,0.0075,0.9990
62,0.0048,0.9994,0.0064,0.9990
63,0.0054,0.9990,0.0066,0.9990
64,0.0052,0.9990,0.0064,0.9990
65,0.0050,0.9992,0.0072,0.9990
66,0.0053,0.9989,0.0067,0.9990
67,0.0049,0.9990,0.0062,0.9990
68,0.0054,0.9989,0.0061,0.9990
69,0.0051,0.9992,0.0067,0.9990
70,0.0048,0.9991,0.0065,0.9990
71,0.0051,0.9987,0.0062,0.9990
72,0.0047,0.9992,0.0068,0.9990
73,0.0048,0.9990,0.0064,0.9990
74,0.0049,0.9993,0.0073,0.9990
75,0.0042,0.9993,0.0068,0.9990
76,0.0050,0.9989,0.0063,0.9990
77,0.0047,0.9990,0.0067,0.9990
78,0.0044,0.9991,0.0066,0.9990
79,0.0051,0.9989,0.0068,0.9990
80,0.0045,0.9990,0.0073,0.9990
81,0.0049,0.9991,0.0063,0.9990
82,0.0049,0.9990,0.0068,0.9990
83,0.0044,0.9992,0.0059,0.9990
84,0.0044,0.9991,0.0066,0.9990
85,0.0046,0.9991,0.0064,0.9990
86,0.0046,0.9991,0.0068,0.9990
87,0.0047,0.9991,0.0063,0.9990
88,0.0046,0.9990,0.0069,0.9990
89,0.0041,0.9990,0.0058,0.9990
90,0.0043,0.9991,0.0071,0.9990
91,0.0037,0.9992,0.0076,0.9990
92,0.0045,0.9991,0.0073,0.9990
93,0.0042,0.9991,0.0069,0.9990
94,0.0039,0.9994,0.0061,0.9990
95,0.0045,0.9989,0.0064,0.9990
96,0.0044,0.9991,0.0065,0.9990
97,0.0043,0.9992,0.0058,0.9990
98,0.0047,0.9992,0.0066,0.9990
99,0.0040,0.9994,0.0068,0.9990
100,0.0036,0.9992,0.0066,0.9990
