epoch,loss,acc,val_loss,val_acc
1,0.6065,0.7182,0.5146,0.9408
2,0.4174,0.9429,0.2764,0.9940
3,0.2066,0.9846,0.1170,0.9950
4,0.1034,0.9880,0.0590,0.9950
5,0.0632,0.9918,0.0376,0.9940
6,0.0469,0.9919,0.0275,0.9970
7,0.0357,0.9946,0.0212,0.9980
8,0.0313,0.9949,0.0173,0.9990
9,0.0256,0.9960,0.0149,0.9990
10,0.0217,0.9969,0.0132,0.9980
11,0.0195,0.9964,0.0114,0.9990
12,0.0176,0.9970,0.0102,0.9990
13,0.0164,0.9968,0.0094,0.9990
14,0.0146,0.9980,0.0088,0.9990
15,0.0148,0.9974,0.0081,0.9990
16,0.0128,0.9979,0.0077,0.9990
17,0.0122,0.9979,0.0076,0.9990
18,0.0118,0.9980,0.0068,0.9990
19,0.0113,0.9980,0.0065,0.9990
20,0.0117,0.9980,0.0064,0.9990
21,0.0109,0.9977,0.0061,0.9990
22,0.0109,0.9979,0.0060,0.9990
23,0.0099,0.9984,0.0057,0.9990
24,0.0098,0.9983,0.0058,0.9990
25,0.0091,0.9983,0.0053,0.9990
26,0.0084,0.9987,0.0052,0.9990
27,0.0093,0.9982,0.0051,0.9990
28,0.0078,0.9986,0.0053,0.9990
29,0.0085,0.9984,0.0051,0.9990
30,0.0079,0.9982,0.0049,0.9990
31,0.0077,0.9984,0.0046,0.9990
32,0.0083,0.9986,0.0045,0.9990
33,0.0077,0.9979,0.0044,0.9990
34,0.0074,0.9984,0.0044,0.9990
35,0.0080,0.9983,0.0044,0.9990
36,0.0073,0.9986,0.0043,0.9990
37,0.0065,0.9989,0.0046,0.9990
38,0.0073,0.9987,0.0040,0.9990
39,0.0072,0.9983,0.0041,0.9990
40,0.0060,0.9990,0.0045,0.9990
41,0.0063,0.9984,0.0044,0.9990
42,0.0061,0.9990,0.0039,0.9990
43,0.0062,0.9992,0.0041,0.9990
44,0.0062,0.9991,0.0038,0.9990
45,0.0061,0.9987,0.0037,0.9990
46,0.0065,0.9989,0.0037,0.9990
47,0.0064,0.9986,0.0039,0.9990
48,0.0053,0.9989,0.0043,0.9990
49,0.0060,0.9988,0.0037,0.9990
50,0.0061,0.9988,0.0039,0.9990
51,0.0063,0.9989,0.0043,0.9990
52,0.0061,0.9989,0.0037,0.9990
53,0.0059,0.9989,0.0036,0.9990
54,0.0053,0.9988,0.0035,0.9990
55,0.0049,0.9993,0.0040,0.9990
56,0.0056,0.9991,0.0036,0.9990
57,0.0046,0.9990,0.0041,0.9990
58,0.0058,0.9992,0.0041,0.9990
59,0.0052,0.9989,0.0034,0.9990
