epoch,loss,acc,val_loss,val_acc
1,0.5852,0.7960,0.4218,0.9940
2,0.2749,0.9724,0.1256,0.9950
3,0.1074,0.9889,0.0517,0.9970
4,0.0622,0.9921,0.0300,1.0000
5,0.0444,0.9940,0.0206,1.0000
6,0.0351,0.9951,0.0155,1.0000
7,0.0291,0.9960,0.0123,1.0000
8,0.0253,0.9957,0.0105,1.0000
9,0.0225,0.9962,0.0089,1.0000
10,0.0208,0.9963,0.0078,1.0000
11,0.0194,0.9975,0.0067,1.0000
12,0.0172,0.9971,0.0062,1.0000
13,0.0159,0.9971,0.0055,1.0000
14,0.0155,0.9971,0.0051,1.0000
15,0.0145,0.9975,0.0048,1.0000
16,0.0134,0.9973,0.0043,1.0000
17,0.0134,0.9977,0.0039,1.0000
18,0.0134,0.9970,0.0037,1.0000
19,0.0128,0.9972,0.0036,1.0000
20,0.0117,0.9973,0.0034,1.0000
21,0.0124,0.9973,0.0031,1.0000
22,0.0109,0.9980,0.0029,1.0000
23,0.0113,0.9977,0.0029,1.0000
24,0.0111,0.9975,0.0027,1.0000
25,0.0102,0.9986,0.0025,1.0000
26,0.0093,0.9982,0.0026,1.0000
27,0.0096,0.9980,0.0023,1.0000
28,0.0100,0.9983,0.0022,1.0000
29,0.0088,0.9984,0.0033,1.0000
30,0.0093,0.9984,0.0020,1.0000
31,0.0098,0.9978,0.0020,1.0000
32,0.0080,0.9983,0.0020,1.0000
33,0.0091,0.9982,0.0018,1.0000
34,0.0086,0.9977,0.0020,1.0000
35,0.0090,0.9981,0.0018,1.0000
36,0.0085,0.9982,0.0018,1.0000
37,0.0082,0.9988,0.0020,1.0000
38,0.0080,0.9987,0.0016,1.0000
39,0.0079,0.9987,0.0018,1.0000
40,0.0077,0.9983,0.0015,1.0000
41,0.0074,0.9984,0.0015,1.0000
42,0.0081,0.9986,0.0014,1.0000
43,0.0076,0.9984,0.0016,1.0000
44,0.0071,0.9987,0.0015,1.0000
45,0.0074,0.9987,0.0014,1.0000
46,0.0071,0.9986,0.0014,1.0000
47,0.0072,0.9987,0.0014,1.0000
