epoch,loss,acc,val_loss,val_acc
1,1.2305,0.4660,0.9318,0.5932
2,0.9358,0.5265,0.7669,0.5085
3,0.8643,0.5161,0.7257,0.5000
4,0.8182,0.5142,0.7110,0.5000
5,0.7999,0.5501,0.6981,0.5000
6,0.7924,0.5066,0.6957,0.5000
7,0.7858,0.4953,0.6962,0.5000
8,0.7768,0.5085,0.6825,0.5254
9,0.7665,0.5454,0.6774,0.5000
10,0.7547,0.5369,0.6672,0.7797
11,0.7511,0.5737,0.6454,0.6695
12,0.7209,0.5766,0.6216,0.7881
13,0.7168,0.5888,0.5907,0.8559
14,0.6871,0.6248,0.5298,0.8559
15,0.6505,0.6635,0.4598,1.0000
16,0.6150,0.6815,0.4020,0.9915
17,0.5710,0.7004,0.3250,1.0000
18,0.5284,0.7287,0.2740,1.0000
19,0.5268,0.7098,0.2482,1.0000
20,0.4754,0.7524,0.2045,1.0000
21,0.4992,0.7051,0.1901,1.0000
22,0.4085,0.8053,0.1341,1.0000
23,0.4210,0.8233,0.1205,1.0000
24,0.3695,0.8592,0.0992,1.0000
25,0.3200,0.8847,0.0838,1.0000
26,0.3372,0.8554,0.0799,1.0000
27,0.3206,0.8733,0.0665,1.0000
28,0.3221,0.8715,0.0618,1.0000
29,0.3173,0.8724,0.0536,1.0000
30,0.3073,0.8733,0.0535,1.0000
31,0.2624,0.9026,0.0453,1.0000
32,0.3100,0.8696,0.0452,1.0000
33,0.2921,0.8847,0.0453,1.0000
34,0.2679,0.8979,0.0399,1.0000
35,0.2648,0.8998,0.0362,1.0000
36,0.2441,0.8960,0.0352,1.0000
37,0.2801,0.8847,0.0392,1.0000
38,0.2652,0.9045,0.0411,1.0000
39,0.2432,0.9130,0.0337,1.0000
40,0.2414,0.9225,0.0340,1.0000
41,0.2604,0.9064,0.0325,1.0000
42,0.2509,0.9130,0.0310,1.0000
43,0.2263,0.9310,0.0296,1.0000
44,0.2516,0.9112,0.0215,1.0000
45,0.2362,0.9244,0.0273,1.0000
46,0.2486,0.9282,0.0230,1.0000
47,0.2349,0.9272,0.0208,1.0000
48,0.2198,0.9310,0.0167,1.0000
49,0.2123,0.9348,0.0178,1.0000
50,0.2020,0.9405,0.0127,1.0000
51,0.2445,0.9168,0.0133,1.0000
52,0.2211,0.9263,0.0150,1.0000
53,0.2058,0.9263,0.0137,1.0000
54,0.2094,0.9234,0.0133,1.0000
55,0.2113,0.9234,0.0128,1.0000
56,0.1729,0.9442,0.0135,1.0000
57,0.2089,0.9272,0.0084,1.0000
58,0.1867,0.9338,0.0122,1.0000
59,0.1707,0.9433,0.0081,1.0000
60,0.1833,0.9319,0.0072,1.0000
61,0.2028,0.9225,0.0070,1.0000
62,0.1760,0.9348,0.0069,1.0000
63,0.1599,0.9338,0.0056,1.0000
64,0.1791,0.9348,0.0072,1.0000
65,0.1966,0.9338,0.0068,1.0000
66,0.1904,0.9216,0.0070,1.0000
67,0.1839,0.9319,0.0070,1.0000
68,0.1762,0.9414,0.0077,1.0000
69,0.1602,0.9433,0.0061,1.0000
70,0.1890,0.9338,0.0061,1.0000
71,0.1597,0.9433,0.0067,1.0000
72,0.1859,0.9282,0.0061,1.0000
73,0.1747,0.9301,0.0098,1.0000
74,0.1647,0.9376,0.0057,1.0000
75,0.1689,0.9386,0.0066,1.0000
76,0.1763,0.9291,0.0061,1.0000
77,0.1517,0.9423,0.0053,1.0000
78,0.1676,0.9386,0.0067,1.0000
79,0.1557,0.9452,0.0067,1.0000
80,0.1471,0.9518,0.0051,1.0000
81,0.1435,0.9527,0.0055,1.0000
82,0.1549,0.9414,0.0046,1.0000
83,0.1581,0.9480,0.0047,1.0000
84,0.1406,0.9546,0.0061,1.0000
85,0.1543,0.9471,0.0047,1.0000
86,0.1611,0.9527,0.0050,1.0000
87,0.1454,0.9527,0.0049,1.0000
88,0.1398,0.9660,0.0042,1.0000
89,0.1504,0.9527,0.0035,1.0000
90,0.1685,0.9395,0.0040,1.0000
91,0.1214,0.9584,0.0042,1.0000
92,0.1633,0.9490,0.0047,1.0000
93,0.1506,0.9565,0.0037,1.0000
94,0.1435,0.9537,0.0051,1.0000
95,0.1471,0.9537,0.0046,1.0000
96,0.1463,0.9527,0.0053,1.0000
97,0.1568,0.9509,0.0050,1.0000
98,0.1434,0.9499,0.0055,1.0000
99,0.1601,0.9471,0.0056,1.0000
100,0.1158,0.9650,0.0039,1.0000
