epoch,loss,acc,val_loss,val_acc
1,1.1415,0.4471,0.8181,0.6441
2,0.8839,0.5577,0.6837,0.8644
3,0.7544,0.6257,0.5462,0.9746
4,0.6598,0.6786,0.4322,0.9831
5,0.5739,0.7410,0.3087,1.0000
6,0.4856,0.7817,0.2071,1.0000
7,0.4056,0.8374,0.1313,1.0000
8,0.3568,0.8526,0.0912,1.0000
9,0.2882,0.8894,0.0595,1.0000
10,0.2696,0.9083,0.0423,1.0000
11,0.2620,0.9036,0.0321,1.0000
12,0.2146,0.9178,0.0241,1.0000
13,0.2327,0.9102,0.0204,1.0000
14,0.2055,0.9234,0.0146,1.0000
15,0.2091,0.9159,0.0137,1.0000
16,0.2215,0.9102,0.0140,1.0000
17,0.1920,0.9178,0.0087,1.0000
18,0.1618,0.9357,0.0091,1.0000
19,0.1829,0.9253,0.0089,1.0000
20,0.1736,0.9282,0.0061,1.0000
21,0.1776,0.9405,0.0049,1.0000
22,0.1790,0.9338,0.0055,1.0000
23,0.1951,0.9244,0.0072,1.0000
24,0.1713,0.9310,0.0042,1.0000
25,0.1462,0.9490,0.0035,1.0000
26,0.1675,0.9272,0.0035,1.0000
27,0.1946,0.9338,0.0034,1.0000
28,0.1565,0.9414,0.0028,1.0000
29,0.1642,0.9452,0.0030,1.0000
30,0.1703,0.9310,0.0027,1.0000
31,0.1534,0.9490,0.0022,1.0000
32,0.1828,0.9319,0.0027,1.0000
33,0.1630,0.9405,0.0049,1.0000
34,0.1827,0.9348,0.0035,1.0000
35,0.1406,0.9490,0.0023,1.0000
36,0.1597,0.9405,0.0027,1.0000
37,0.1722,0.9395,0.0027,1.0000
38,0.1518,0.9499,0.0020,1.0000
39,0.1788,0.9395,0.0023,1.0000
40,0.1463,0.9480,0.0022,1.0000
41,0.1818,0.9423,0.0021,1.0000
42,0.1628,0.9433,0.0020,1.0000
43,0.1487,0.9423,0.0028,1.0000
44,0.1473,0.9499,0.0021,1.0000
45,0.1541,0.9509,0.0020,1.0000
46,0.1560,0.9471,0.0021,1.0000
47,0.1361,0.9509,0.0018,1.0000
48,0.1436,0.9471,0.0023,1.0000
49,0.1107,0.9622,0.0013,1.0000
50,0.1489,0.9527,0.0015,1.0000
51,0.1467,0.9556,0.0018,1.0000
52,0.1427,0.9518,0.0017,1.0000
53,0.1411,0.9405,0.0016,1.0000
54,0.1528,0.9480,0.0020,1.0000
55,0.1467,0.9480,0.0019,1.0000
56,0.1218,0.9669,0.0013,1.0000
57,0.1427,0.9518,0.0022,1.0000
58,0.1334,0.9527,0.0013,1.0000
59,0.1542,0.9518,0.0025,1.0000
60,0.1435,0.9537,0.0013,1.0000
61,0.1372,0.9575,0.0012,1.0000
62,0.1532,0.9414,0.0014,1.0000
63,0.1676,0.9376,0.0019,1.0000
64,0.1368,0.9471,0.0015,1.0000
65,0.1248,0.9575,0.0015,1.0000
66,0.1525,0.9471,0.0014,1.0000
67,0.1408,0.9480,0.0013,1.0000
68,0.1479,0.9480,0.0021,1.0000
69,0.1493,0.9471,0.0015,1.0000
70,0.1442,0.9546,0.0019,1.0000
71,0.1367,0.9584,0.0013,1.0000
72,0.1287,0.9442,0.0015,1.0000
73,0.1363,0.9490,0.0023,1.0000
74,0.1230,0.9546,9.4240e-04,1.0000
75,0.1119,0.9660,0.0010,1.0000
76,0.1441,0.9423,0.0011,1.0000
77,0.1318,0.9546,9.1631e-04,1.0000
78,0.1502,0.9357,9.4138e-04,1.0000
79,0.1409,0.9499,8.7965e-04,1.0000
80,0.1332,0.9442,8.9445e-04,1.0000
81,0.1334,0.9490,9.1738e-04,1.0000
82,0.1613,0.9509,0.0014,1.0000
83,0.1403,0.9509,0.0015,1.0000
84,0.1373,0.9490,9.2498e-04,1.0000
85,0.1154,0.9584,8.0851e-04,1.0000
86,0.1255,0.9565,6.9042e-04,1.0000
87,0.1469,0.9527,0.0014,1.0000
88,0.1662,0.9433,0.0012,1.0000
89,0.1301,0.9518,8.0804e-04,1.0000
90,0.1220,0.9612,9.8089e-04,1.0000
91,0.1382,0.9537,8.3833e-04,1.0000
92,0.1440,0.9490,0.0011,1.0000
93,0.1412,0.9499,9.7769e-04,1.0000
94,0.1389,0.9556,0.0012,1.0000
95,0.1219,0.9565,9.9642e-04,1.0000
96,0.1084,0.9622,8.7927e-04,1.0000
97,0.1559,0.9348,0.0012,1.0000
98,0.1255,0.9546,9.3809e-04,1.0000
99,0.1522,0.9442,0.0013,1.0000
100,0.1547,0.9376,0.0010,1.0000
