epoch,loss,acc,val_loss,val_acc
1,0.6551,0.6517,0.6242,0.9203
2,0.5916,0.8120,0.5485,0.9358
3,0.5114,0.8860,0.4619,0.9331
4,0.4252,0.9076,0.3713,0.9423
5,0.3473,0.9166,0.2969,0.9331
6,0.2814,0.9329,0.2358,0.9624
7,0.2344,0.9459,0.1920,0.9698
8,0.1945,0.9612,0.1577,0.9835
9,0.1651,0.9675,0.1320,0.9853
10,0.1440,0.9743,0.1124,0.9872
11,0.1251,0.9777,0.0979,0.9908
12,0.1126,0.9789,0.0864,0.9890
13,0.1001,0.9814,0.0788,0.9918
14,0.0926,0.9834,0.0686,0.9927
15,0.0839,0.9836,0.0624,0.9908
16,0.0784,0.9850,0.0585,0.9927
17,0.0727,0.9860,0.0538,0.9927
18,0.0704,0.9868,0.0523,0.9936
19,0.0666,0.9866,0.0484,0.9927
20,0.0649,0.9852,0.0459,0.9936
21,0.0607,0.9878,0.0428,0.9936
22,0.0590,0.9876,0.0413,0.9936
23,0.0550,0.9902,0.0398,0.9936
24,0.0551,0.9889,0.0425,0.9936
25,0.0532,0.9889,0.0361,0.9945
26,0.0512,0.9892,0.0351,0.9945
27,0.0498,0.9892,0.0346,0.9954
28,0.0481,0.9901,0.0419,0.9936
29,0.0470,0.9897,0.0320,0.9945
30,0.0469,0.9898,0.0405,0.9936
31,0.0458,0.9892,0.0309,0.9954
32,0.0450,0.9899,0.0305,0.9945
33,0.0425,0.9901,0.0291,0.9954
34,0.0428,0.9901,0.0287,0.9954
35,0.0424,0.9896,0.0280,0.9954
36,0.0417,0.9899,0.0286,0.9954
37,0.0411,0.9903,0.0273,0.9945
38,0.0396,0.9908,0.0271,0.9954
39,0.0397,0.9905,0.0278,0.9954
40,0.0394,0.9917,0.0263,0.9954
41,0.0381,0.9911,0.0263,0.9945
42,0.0378,0.9902,0.0263,0.9945
43,0.0377,0.9906,0.0256,0.9945
44,0.0361,0.9910,0.0254,0.9954
45,0.0367,0.9904,0.0257,0.9954
46,0.0360,0.9907,0.0243,0.9954
47,0.0370,0.9906,0.0272,0.9927
48,0.0376,0.9890,0.0241,0.9954
49,0.0361,0.9904,0.0245,0.9954
50,0.0343,0.9913,0.0238,0.9954
51,0.0335,0.9908,0.0246,0.9954
52,0.0355,0.9905,0.0232,0.9954
53,0.0338,0.9908,0.0340,0.9863
54,0.0342,0.9905,0.0228,0.9954
55,0.0349,0.9898,0.0241,0.9945
56,0.0341,0.9909,0.0236,0.9945
57,0.0329,0.9913,0.0226,0.9954
58,0.0322,0.9911,0.0229,0.9954
59,0.0322,0.9906,0.0228,0.9954
60,0.0315,0.9907,0.0223,0.9954
61,0.0323,0.9908,0.0225,0.9954
62,0.0321,0.9909,0.0220,0.9954
63,0.0318,0.9913,0.0220,0.9954
64,0.0314,0.9914,0.0224,0.9954
65,0.0329,0.9913,0.0219,0.9954
66,0.0325,0.9917,0.0218,0.9954
67,0.0319,0.9906,0.0219,0.9954
68,0.0313,0.9908,0.0256,0.9908
69,0.0296,0.9916,0.0218,0.9954
70,0.0302,0.9910,0.0220,0.9936
71,0.0300,0.9920,0.0262,0.9899
72,0.0309,0.9909,0.0213,0.9954
73,0.0315,0.9913,0.0217,0.9954
74,0.0319,0.9904,0.0219,0.9936
75,0.0300,0.9915,0.0229,0.9927
76,0.0311,0.9910,0.0253,0.9908
77,0.0288,0.9915,0.0211,0.9954
78,0.0306,0.9908,0.0220,0.9936
79,0.0295,0.9913,0.0229,0.9908
80,0.0308,0.9909,0.0210,0.9954
81,0.0300,0.9911,0.0209,0.9954
82,0.0317,0.9906,0.0220,0.9927
83,0.0299,0.9908,0.0249,0.9908
84,0.0291,0.9913,0.0227,0.9908
85,0.0299,0.9908,0.0208,0.9945
86,0.0300,0.9911,0.0224,0.9945
87,0.0281,0.9919,0.0213,0.9954
88,0.0294,0.9916,0.0210,0.9954
89,0.0284,0.9923,0.0210,0.9954
90,0.0291,0.9917,0.0219,0.9918
91,0.0299,0.9898,0.0208,0.9945
92,0.0296,0.9905,0.0218,0.9954
93,0.0293,0.9910,0.0219,0.9918
94,0.0301,0.9904,0.0213,0.9954
95,0.0302,0.9908,0.0222,0.9908
96,0.0279,0.9920,0.0209,0.9927
97,0.0287,0.9910,0.0220,0.9908
98,0.0276,0.9910,0.0243,0.9908
99,0.0289,0.9908,0.0206,0.9945
100,0.0275,0.9920,0.0207,0.9927
