epoch,loss,acc,val_loss,val_acc
1,0.6505,0.6532,0.6127,0.7516
2,0.5659,0.8326,0.5034,0.9358
3,0.4287,0.9037,0.3460,0.9313
4,0.2914,0.9329,0.2235,0.9670
5,0.1978,0.9591,0.1485,0.9808
6,0.1405,0.9751,0.1045,0.9890
7,0.1095,0.9813,0.0795,0.9899
8,0.0886,0.9837,0.0641,0.9899
9,0.0744,0.9867,0.0536,0.9908
10,0.0687,0.9873,0.0537,0.9881
11,0.0598,0.9881,0.0418,0.9908
12,0.0554,0.9878,0.0381,0.9908
13,0.0508,0.9892,0.0352,0.9899
14,0.0483,0.9891,0.0346,0.9908
15,0.0466,0.9893,0.0384,0.9890
16,0.0429,0.9895,0.0334,0.9908
17,0.0409,0.9906,0.0283,0.9899
18,0.0397,0.9903,0.0318,0.9908
19,0.0402,0.9911,0.0351,0.9908
20,0.0384,0.9896,0.0264,0.9899
21,0.0375,0.9911,0.0262,0.9899
22,0.0381,0.9911,0.0290,0.9918
23,0.0364,0.9906,0.0243,0.9936
24,0.0368,0.9902,0.0238,0.9899
25,0.0354,0.9901,0.0254,0.9899
26,0.0355,0.9899,0.0312,0.9908
27,0.0341,0.9914,0.0248,0.9918
28,0.0339,0.9907,0.0222,0.9899
29,0.0332,0.9902,0.0216,0.9918
30,0.0338,0.9904,0.0208,0.9918
31,0.0318,0.9906,0.0226,0.9899
32,0.0331,0.9909,0.0249,0.9918
33,0.0331,0.9915,0.0245,0.9918
34,0.0315,0.9907,0.0204,0.9927
35,0.0312,0.9916,0.0222,0.9899
36,0.0322,0.9906,0.0193,0.9918
37,0.0346,0.9901,0.0316,0.9881
38,0.0324,0.9900,0.0246,0.9945
39,0.0313,0.9909,0.0214,0.9908
40,0.0313,0.9907,0.0197,0.9899
41,0.0319,0.9904,0.0189,0.9936
42,0.0302,0.9913,0.0192,0.9908
43,0.0310,0.9905,0.0199,0.9936
44,0.0301,0.9913,0.0196,0.9918
45,0.0299,0.9906,0.0321,0.9881
46,0.0311,0.9904,0.0183,0.9936
47,0.0286,0.9908,0.0183,0.9936
48,0.0299,0.9908,0.0176,0.9936
49,0.0311,0.9905,0.0251,0.9918
50,0.0299,0.9909,0.0805,0.9652
51,0.0293,0.9916,0.0203,0.9908
52,0.0303,0.9910,0.0449,0.9844
53,0.0313,0.9906,0.0672,0.9716
54,0.0299,0.9899,0.0179,0.9927
55,0.0301,0.9898,0.0183,0.9927
56,0.0293,0.9913,0.0180,0.9927
57,0.0297,0.9913,0.0192,0.9918
58,0.0292,0.9909,0.0178,0.9945
59,0.0282,0.9908,0.0195,0.9927
60,0.0288,0.9914,0.0178,0.9936
61,0.0288,0.9911,0.0179,0.9927
62,0.0296,0.9904,0.0263,0.9918
63,0.0297,0.9915,0.0703,0.9707
64,0.0293,0.9904,0.0207,0.9908
65,0.0294,0.9903,0.0167,0.9945
66,0.0298,0.9907,0.0219,0.9908
67,0.0291,0.9909,0.0352,0.9863
68,0.0285,0.9911,0.0235,0.9927
69,0.0283,0.9909,0.0187,0.9918
70,0.0284,0.9912,0.0196,0.9918
71,0.0280,0.9916,0.0169,0.9936
72,0.0274,0.9914,0.0183,0.9927
73,0.0283,0.9906,0.0176,0.9927
74,0.0290,0.9901,0.0197,0.9908
75,0.0291,0.9904,0.0238,0.9918
76,0.0293,0.9904,0.0192,0.9945
77,0.0299,0.9898,0.0206,0.9918
78,0.0278,0.9905,0.0202,0.9918
79,0.0276,0.9910,0.1061,0.9533
80,0.0300,0.9910,0.0248,0.9908
81,0.0288,0.9908,0.0179,0.9927
82,0.0270,0.9909,0.0435,0.9853
83,0.0275,0.9911,0.0171,0.9936
84,0.0280,0.9907,0.0219,0.9936
85,0.0275,0.9910,0.0168,0.9954
86,0.0283,0.9907,0.0202,0.9908
87,0.0272,0.9908,0.0158,0.9945
88,0.0285,0.9909,0.0169,0.9954
89,0.0266,0.9908,0.0227,0.9918
90,0.0274,0.9910,0.0171,0.9927
91,0.0282,0.9906,0.0190,0.9945
92,0.0266,0.9907,0.0181,0.9927
93,0.0280,0.9911,0.0166,0.9936
94,0.0278,0.9911,0.0248,0.9918
95,0.0271,0.9906,0.0175,0.9936
96,0.0258,0.9923,0.0177,0.9945
97,0.0265,0.9908,0.0159,0.9945
98,0.0263,0.9911,0.0195,0.9918
99,0.0278,0.9908,0.0188,0.9945
100,0.0269,0.9909,0.0280,0.9899
