epoch,loss,acc,val_loss,val_acc
1,0.7115,0.4936,0.6795,0.5802
2,0.6631,0.6289,0.6417,0.7617
3,0.6280,0.7230,0.6079,0.8423
4,0.5915,0.7979,0.5669,0.8790
5,0.5478,0.8406,0.5190,0.9065
6,0.5037,0.8649,0.4702,0.9120
7,0.4558,0.8825,0.4230,0.9285
8,0.4110,0.8958,0.3755,0.9313
9,0.3682,0.9036,0.3348,0.9377
10,0.3338,0.9101,0.2982,0.9478
11,0.3026,0.9215,0.2672,0.9478
12,0.2739,0.9276,0.2405,0.9478
13,0.2496,0.9381,0.2153,0.9597
14,0.2311,0.9447,0.1975,0.9743
15,0.2117,0.9510,0.1805,0.9808
16,0.1948,0.9583,0.1599,0.9753
17,0.1778,0.9611,0.1450,0.9771
18,0.1627,0.9679,0.1340,0.9872
19,0.1534,0.9720,0.1274,0.9734
20,0.1426,0.9710,0.1129,0.9872
21,0.1334,0.9741,0.1057,0.9881
22,0.1247,0.9774,0.0973,0.9890
23,0.1218,0.9737,0.0958,0.9844
24,0.1112,0.9791,0.0866,0.9899
25,0.1072,0.9810,0.0818,0.9908
26,0.1014,0.9815,0.0787,0.9881
27,0.0989,0.9830,0.0757,0.9899
28,0.0943,0.9824,0.0697,0.9908
29,0.0912,0.9838,0.0673,0.9908
30,0.0883,0.9833,0.0660,0.9918
31,0.0847,0.9841,0.0615,0.9918
32,0.0811,0.9840,0.0593,0.9918
33,0.0787,0.9852,0.0570,0.9918
34,0.0766,0.9862,0.0548,0.9918
35,0.0747,0.9855,0.0531,0.9927
36,0.0734,0.9870,0.0514,0.9927
37,0.0704,0.9855,0.0502,0.9927
38,0.0703,0.9866,0.0499,0.9927
39,0.0684,0.9858,0.0472,0.9927
40,0.0658,0.9866,0.0472,0.9927
41,0.0669,0.9874,0.0451,0.9927
42,0.0651,0.9871,0.0437,0.9936
43,0.0609,0.9874,0.0426,0.9936
44,0.0610,0.9879,0.0418,0.9927
45,0.0602,0.9872,0.0408,0.9936
