epoch,loss,acc,val_loss,val_acc
1,0.6616,0.5725,0.6407,0.6306
2,0.6209,0.6736,0.5906,0.7012
3,0.5502,0.7876,0.5026,0.8240
4,0.4462,0.9003,0.3822,0.9670
5,0.3218,0.9537,0.2616,0.9753
6,0.2238,0.9680,0.1759,0.9853
7,0.1677,0.9721,0.1351,0.9890
8,0.1332,0.9752,0.1019,0.9918
9,0.1094,0.9788,0.0791,0.9881
10,0.0967,0.9806,0.0690,0.9918
11,0.0868,0.9823,0.0629,0.9881
12,0.0804,0.9829,0.0524,0.9918
13,0.0733,0.9852,0.0514,0.9890
14,0.0683,0.9853,0.0480,0.9890
15,0.0654,0.9859,0.0411,0.9908
16,0.0621,0.9855,0.0411,0.9899
17,0.0602,0.9883,0.0368,0.9908
18,0.0581,0.9875,0.0349,0.9908
19,0.0547,0.9879,0.0349,0.9908
20,0.0536,0.9875,0.0318,0.9918
21,0.0526,0.9879,0.0308,0.9908
22,0.0510,0.9875,0.0335,0.9918
23,0.0494,0.9889,0.0295,0.9908
24,0.0476,0.9890,0.0487,0.9881
25,0.0475,0.9895,0.0319,0.9918
26,0.0461,0.9887,0.0321,0.9927
27,0.0454,0.9893,0.0342,0.9899
28,0.0456,0.9891,0.0262,0.9936
29,0.0466,0.9873,0.0259,0.9927
30,0.0447,0.9886,0.0250,0.9918
31,0.0441,0.9886,0.0266,0.9899
32,0.0451,0.9889,0.0248,0.9936
33,0.0423,0.9897,0.0653,0.9808
34,0.0429,0.9889,0.0273,0.9908
35,0.0415,0.9899,0.0273,0.9936
36,0.0428,0.9893,0.0245,0.9908
37,0.0417,0.9889,0.0236,0.9936
38,0.0406,0.9905,0.0230,0.9936
39,0.0400,0.9896,0.0477,0.9826
40,0.0423,0.9890,0.0253,0.9908
41,0.0399,0.9895,0.0227,0.9936
42,0.0405,0.9890,0.0239,0.9899
43,0.0399,0.9894,0.0423,0.9863
44,0.0411,0.9890,0.0224,0.9936
45,0.0396,0.9899,0.1013,0.9542
46,0.0390,0.9895,0.0243,0.9918
47,0.0390,0.9899,0.0246,0.9945
48,0.0368,0.9894,0.0241,0.9908
49,0.0383,0.9892,0.0259,0.9936
50,0.0356,0.9903,0.0213,0.9936
51,0.0364,0.9906,0.0257,0.9908
52,0.0388,0.9899,0.0226,0.9927
53,0.0387,0.9893,0.0236,0.9908
54,0.0365,0.9907,0.0210,0.9936
55,0.0373,0.9904,0.0278,0.9908
56,0.0384,0.9888,0.0250,0.9936
57,0.0345,0.9906,0.0396,0.9872
58,0.0352,0.9899,0.0212,0.9936
59,0.0377,0.9897,0.0245,0.9927
60,0.0376,0.9902,0.0268,0.9908
61,0.0369,0.9899,0.0253,0.9908
62,0.0344,0.9905,0.0288,0.9908
63,0.0351,0.9904,0.0352,0.9872
64,0.0364,0.9895,0.0214,0.9908
65,0.0373,0.9900,0.0234,0.9918
66,0.0354,0.9906,0.0210,0.9945
67,0.0334,0.9909,0.0208,0.9945
68,0.0339,0.9903,0.0206,0.9936
69,0.0333,0.9919,0.0270,0.9908
70,0.0334,0.9911,0.0231,0.9936
71,0.0361,0.9901,0.0216,0.9954
72,0.0341,0.9900,0.0208,0.9918
73,0.0343,0.9904,0.0201,0.9918
74,0.0338,0.9909,0.0270,0.9908
75,0.0331,0.9906,0.0218,0.9918
76,0.0342,0.9907,0.0228,0.9908
77,0.0320,0.9909,0.0204,0.9936
78,0.0330,0.9914,0.0200,0.9936
79,0.0333,0.9911,0.0205,0.9945
80,0.0316,0.9921,0.0215,0.9936
81,0.0317,0.9913,0.0205,0.9927
82,0.0329,0.9903,0.0194,0.9936
83,0.0344,0.9897,0.0335,0.9881
84,0.0342,0.9910,0.0222,0.9945
85,0.0327,0.9900,0.0196,0.9936
86,0.0325,0.9902,0.0260,0.9908
87,0.0318,0.9915,0.0200,0.9936
88,0.0309,0.9902,0.0209,0.9927
89,0.0327,0.9907,0.0224,0.9908
90,0.0340,0.9902,0.0216,0.9918
91,0.0318,0.9902,0.0337,0.9881
92,0.0327,0.9909,0.0201,0.9936
93,0.0323,0.9906,0.0195,0.9936
94,0.0314,0.9920,0.0216,0.9918
95,0.0327,0.9908,0.0194,0.9936
96,0.0314,0.9908,0.0204,0.9927
97,0.0312,0.9914,0.0212,0.9945
98,0.0309,0.9924,0.0237,0.9927
99,0.0312,0.9919,0.0202,0.9945
100,0.0311,0.9914,0.0200,0.9927
101,0.0303,0.9921,0.0198,0.9936
102,0.0307,0.9909,0.0194,0.9945
103,0.0315,0.9906,0.0261,0.9908
104,0.0304,0.9914,0.0206,0.9945
105,0.0303,0.9908,0.0208,0.9954
106,0.0311,0.9907,0.0225,0.9918
107,0.0316,0.9901,0.0189,0.9945
108,0.0325,0.9907,0.0229,0.9918
109,0.0313,0.9915,0.0195,0.9936
110,0.0293,0.9915,0.0198,0.9927
