epoch,loss,acc,val_loss,val_acc
1,0.4128,0.8722,0.3822,0.9253
2,0.3771,0.9200,0.3574,0.9407
3,0.3460,0.9368,0.3154,0.9602
4,0.2961,0.9472,0.2526,0.9553
5,0.2448,0.9499,0.2044,0.9561
6,0.2051,0.9543,0.1772,0.9586
7,0.1838,0.9565,0.1658,0.9594
8,0.1695,0.9575,0.1580,0.9569
9,0.1639,0.9569,0.1522,0.9578
10,0.1547,0.9574,0.1494,0.9586
11,0.1463,0.9602,0.1459,0.9602
12,0.1363,0.9627,0.1422,0.9618
13,0.1346,0.9621,0.1378,0.9618
14,0.1270,0.9640,0.1348,0.9634
15,0.1227,0.9640,0.1310,0.9643
16,0.1158,0.9657,0.1280,0.9683
17,0.1137,0.9660,0.1247,0.9683
18,0.1077,0.9693,0.1234,0.9699
19,0.1036,0.9715,0.1191,0.9699
20,0.1003,0.9703,0.1158,0.9708
21,0.0928,0.9720,0.1150,0.9748
22,0.0894,0.9753,0.1111,0.9756
23,0.0845,0.9774,0.1083,0.9773
24,0.0819,0.9761,0.1052,0.9789
25,0.0778,0.9802,0.1036,0.9805
26,0.0730,0.9818,0.1001,0.9829
27,0.0695,0.9835,0.0973,0.9838
28,0.0666,0.9843,0.0954,0.9838
29,0.0665,0.9846,0.0921,0.9838
30,0.0618,0.9872,0.0892,0.9870
31,0.0611,0.9863,0.0873,0.9862
32,0.0574,0.9874,0.0852,0.9870
33,0.0537,0.9883,0.0849,0.9894
34,0.0543,0.9888,0.0828,0.9886
35,0.0526,0.9906,0.0822,0.9894
36,0.0516,0.9912,0.0804,0.9903
37,0.0476,0.9912,0.0797,0.9919
38,0.0474,0.9911,0.0783,0.9911
39,0.0468,0.9929,0.0777,0.9919
40,0.0468,0.9932,0.0769,0.9919
41,0.0478,0.9932,0.0763,0.9927
42,0.0444,0.9932,0.0748,0.9919
43,0.0444,0.9933,0.0741,0.9927
44,0.0406,0.9944,0.0737,0.9935
45,0.0425,0.9947,0.0737,0.9935
46,0.0406,0.9939,0.0787,0.9927
47,0.0408,0.9949,0.0718,0.9943
48,0.0382,0.9955,0.0725,0.9935
49,0.0393,0.9951,0.0714,0.9951
50,0.0387,0.9951,0.0704,0.9951
51,0.0380,0.9956,0.0702,0.9959
52,0.0355,0.9959,0.0700,0.9959
53,0.0344,0.9960,0.0690,0.9959
54,0.0330,0.9962,0.0705,0.9959
55,0.0358,0.9956,0.0709,0.9959
56,0.0342,0.9963,0.0690,0.9968
57,0.0333,0.9963,0.0682,0.9968
58,0.0319,0.9971,0.0700,0.9959
59,0.0325,0.9971,0.0689,0.9968
60,0.0306,0.9972,0.0686,0.9968
61,0.0304,0.9972,0.0683,0.9976
62,0.0301,0.9967,0.0692,0.9968
63,0.0305,0.9973,0.0684,0.9984
64,0.0275,0.9977,0.0686,0.9992
65,0.0284,0.9970,0.0682,0.9984
66,0.0274,0.9979,0.0687,0.9992
67,0.0266,0.9971,0.0711,0.9968
68,0.0268,0.9981,0.0686,0.9992
69,0.0262,0.9980,0.0699,0.9992
70,0.0281,0.9979,0.0704,0.9992
71,0.0267,0.9974,0.0693,0.9992
72,0.0267,0.9979,0.0718,0.9992
73,0.0250,0.9981,0.0710,0.9992
74,0.0251,0.9980,0.0696,0.9992
75,0.0249,0.9982,0.0692,0.9992
76,0.0228,0.9983,0.0707,0.9992
77,0.0240,0.9984,0.0689,0.9992
78,0.0231,0.9984,0.0693,0.9992
79,0.0228,0.9986,0.0688,0.9992
80,0.0222,0.9984,0.0685,0.9992
81,0.0264,0.9981,0.0697,0.9992
82,0.0236,0.9978,0.0704,0.9992
83,0.0229,0.9987,0.0709,0.9992
84,0.0214,0.9986,0.0707,0.9992
85,0.0220,0.9986,0.0688,0.9992
86,0.0223,0.9984,0.0697,0.9992
87,0.0209,0.9990,0.0703,0.9992
88,0.0199,0.9992,0.0702,0.9992
89,0.0207,0.9987,0.0712,0.9992
90,0.0197,0.9991,0.0713,0.9992
91,0.0210,0.9987,0.0724,0.9984
92,0.0197,0.9990,0.0725,0.9992
93,0.0190,0.9989,0.0723,0.9992
94,0.0197,0.9985,0.0726,0.9992
95,0.0196,0.9991,0.0738,0.9992
96,0.0189,0.9992,0.0743,0.9992
97,0.0191,0.9989,0.0737,0.9992
98,0.0182,0.9994,0.0736,0.9992
99,0.0183,0.9992,0.0741,0.9992
100,0.0181,0.9990,0.0742,0.9992
101,0.0192,0.9989,0.0742,0.9992
102,0.0176,0.9995,0.0735,0.9992
103,0.0180,0.9992,0.0842,0.9984
104,0.0245,0.9990,0.0736,0.9992
105,0.0174,0.9994,0.0732,0.9992
106,0.0180,0.9992,0.0749,0.9992
107,0.0176,0.9993,0.0738,0.9992
108,0.0172,0.9995,0.0740,0.9992
109,0.0170,0.9993,0.0742,0.9992
110,0.0176,0.9990,0.0739,0.9992
111,0.0168,0.9996,0.0737,0.9992
112,0.0166,0.9995,0.0743,0.9992
113,0.0169,0.9993,0.0761,0.9992
114,0.0170,0.9988,0.0764,0.9992
115,0.0169,0.9990,0.0764,0.9992
