epoch,loss,acc,val_loss,val_acc
1,0.7135,0.5577,0.6960,0.5049
2,0.7001,0.5557,0.6891,0.5094
3,0.6950,0.5552,0.6839,0.5166
4,0.6906,0.5524,0.6794,0.5255
5,0.6883,0.5544,0.6752,0.5318
6,0.6821,0.5601,0.6700,0.5452
7,0.6793,0.5689,0.6646,0.5631
8,0.6769,0.5697,0.6591,0.5971
9,0.6730,0.5772,0.6539,0.6321
10,0.6693,0.5844,0.6494,0.6509
11,0.6683,0.5853,0.6462,0.6786
12,0.6645,0.6020,0.6421,0.6920
13,0.6612,0.6119,0.6382,0.7028
14,0.6585,0.6151,0.6345,0.7001
15,0.6560,0.6203,0.6315,0.7037
16,0.6523,0.6233,0.6278,0.7073
17,0.6498,0.6307,0.6244,0.7234
18,0.6475,0.6340,0.6209,0.7359
19,0.6425,0.6473,0.6173,0.7502
20,0.6415,0.6504,0.6132,0.7601
21,0.6370,0.6573,0.6087,0.7592
22,0.6318,0.6668,0.6029,0.7628
23,0.6301,0.6672,0.5966,0.7547
24,0.6234,0.6813,0.5903,0.7538
25,0.6173,0.6815,0.5837,0.7502
26,0.6103,0.6971,0.5769,0.7502
27,0.6045,0.7000,0.5699,0.7511
28,0.5973,0.7110,0.5628,0.7547
29,0.5940,0.7139,0.5559,0.7538
30,0.5845,0.7195,0.5484,0.7592
31,0.5765,0.7286,0.5409,0.7645
32,0.5750,0.7248,0.5333,0.7717
33,0.5623,0.7367,0.5256,0.7753
34,0.5548,0.7459,0.5181,0.7860
35,0.5538,0.7450,0.5108,0.7896
36,0.5437,0.7588,0.5035,0.7923
37,0.5404,0.7551,0.4960,0.8075
38,0.5325,0.7643,0.4884,0.8147
39,0.5262,0.7724,0.4806,0.8218
40,0.5181,0.7800,0.4727,0.8290
41,0.5091,0.7859,0.4643,0.8326
42,0.5085,0.7823,0.4563,0.8371
43,0.5028,0.7921,0.4484,0.8371
44,0.4960,0.7907,0.4416,0.8424
45,0.4898,0.7987,0.4350,0.8442
46,0.4895,0.7987,0.4296,0.8514
47,0.4825,0.8038,0.4240,0.8568
48,0.4776,0.8080,0.4197,0.8585
49,0.4772,0.8084,0.4160,0.8612
50,0.4721,0.8170,0.4121,0.8675
51,0.4707,0.8165,0.4085,0.8693
52,0.4664,0.8226,0.4052,0.8756
53,0.4600,0.8254,0.4023,0.8791
54,0.4599,0.8237,0.3992,0.8774
55,0.4522,0.8309,0.3965,0.8827
56,0.4567,0.8313,0.3932,0.8836
57,0.4487,0.8352,0.3908,0.8863
58,0.4467,0.8393,0.3887,0.8863
59,0.4435,0.8409,0.3861,0.8872
60,0.4441,0.8414,0.3836,0.8872
61,0.4384,0.8437,0.3808,0.8863
62,0.4331,0.8478,0.3787,0.8872
63,0.4340,0.8497,0.3765,0.8890
64,0.4303,0.8469,0.3744,0.8935
65,0.4309,0.8520,0.3722,0.8962
66,0.4285,0.8510,0.3698,0.8970
67,0.4265,0.8544,0.3679,0.8970
68,0.4218,0.8578,0.3656,0.8962
69,0.4203,0.8558,0.3634,0.8979
70,0.4218,0.8539,0.3611,0.9024
71,0.4207,0.8568,0.3588,0.9024
72,0.4150,0.8576,0.3570,0.9051
73,0.4143,0.8585,0.3562,0.9060
74,0.4120,0.8624,0.3541,0.9051
75,0.4094,0.8601,0.3521,0.9060
76,0.4094,0.8588,0.3498,0.9060
77,0.4028,0.8643,0.3477,0.9078
78,0.4010,0.8650,0.3455,0.9087
79,0.4030,0.8647,0.3434,0.9087
80,0.4011,0.8654,0.3418,0.9087
81,0.3947,0.8657,0.3397,0.9096
82,0.3941,0.8635,0.3372,0.9114
83,0.3972,0.8673,0.3357,0.9123
84,0.3872,0.8729,0.3334,0.9123
