epoch,loss,acc,val_loss,val_acc
1,4766.9955,0.5067,1259.3997,0.5481
2,4910.7767,0.5144,2981.3782,0.5060
3,5435.7207,0.4957,2891.6838,0.5325
4,4618.0458,0.5527,2014.7231,0.5841
5,4407.6026,0.5616,2693.1778,0.5901
6,4879.2176,0.5401,2538.5201,0.5769
7,4871.9013,0.5401,3484.7416,0.5721
8,5333.2197,0.5315,3567.0835,0.5469
9,5451.3643,0.5306,3438.5467,0.5517
10,5100.6058,0.5377,3115.3638,0.5637
11,5097.0160,0.5405,2972.3072,0.5637
12,4919.9599,0.5346,2637.6721,0.5817
13,4779.8178,0.5421,3309.8146,0.5373
14,5067.9619,0.5267,4833.7374,0.5288
15,6077.6807,0.5307,4505.3941,0.5000
16,5735.8979,0.5361,3938.4786,0.5084
17,5488.7104,0.5364,4032.4255,0.5024
18,5430.2762,0.5309,3278.0644,0.4952
19,5495.0994,0.5122,4938.5612,0.5000
20,6235.6886,0.5019,4723.9253,0.5024
21,6353.2050,0.4930,4747.8560,0.4940
22,6215.1130,0.4997,4786.8855,0.5024
23,6279.4553,0.4976,4970.8323,0.5072
24,6220.4956,0.4957,4579.3077,0.4976
25,6037.2478,0.4995,4040.1881,0.5168
26,5573.1453,0.5095,3815.1899,0.5541
27,5628.0555,0.5028,3721.4841,0.5709
28,5493.5974,0.5055,3329.2824,0.5613
29,5274.4022,0.5126,3078.2705,0.5745
30,5156.9200,0.5130,2716.1657,0.5974
31,4953.7682,0.5104,2077.4629,0.5649
32,4695.5970,0.5160,2192.0121,0.5661
33,4630.0313,0.5247,2127.8807,0.5817
34,4618.7745,0.5156,2159.2987,0.5829
35,4799.6869,0.5219,2226.4066,0.5721
36,4574.1197,0.5130,1886.2248,0.6106
37,4525.8507,0.5142,1797.0047,0.6226
38,4338.2634,0.5366,1633.6364,0.6526
39,4228.5220,0.5329,1663.3180,0.6623
40,5176.6868,0.5372,3690.9940,0.5337
41,5285.4685,0.5270,3320.8259,0.5553
42,5354.7205,0.5270,3231.9706,0.5721
43,5138.3822,0.5362,2889.5422,0.5841
44,5107.5724,0.5322,2838.6883,0.5745
45,5117.8346,0.5361,2870.0958,0.5805
46,4917.0294,0.5378,2808.1960,0.5962
47,4935.9160,0.5333,3052.4545,0.5913
48,4967.5607,0.5425,3455.5029,0.5373
49,5233.7763,0.5342,3499.4497,0.5409
50,5321.3572,0.5285,3782.4349,0.5385
51,5245.2476,0.5412,3669.8142,0.5373
