epoch,loss,acc,val_loss,val_acc
1,84.3989,0.4389,93.4299,0.3638
2,91.3294,0.3921,87.6320,0.3638
3,85.4859,0.4015,84.2332,0.3602
4,83.8009,0.4061,80.4131,0.3620
5,78.4842,0.4065,76.5762,0.3459
6,74.4254,0.4080,74.7114,0.3638
7,75.3812,0.4061,70.6083,0.3495
8,66.2433,0.4152,64.8827,0.3513
9,64.2982,0.4274,65.0885,0.3423
10,62.5009,0.4212,61.1713,0.3477
11,65.9478,0.4094,66.0103,0.3710
12,67.9690,0.4037,63.5365,0.3638
13,62.4889,0.4116,61.6182,0.3620
14,64.3244,0.4186,65.1360,0.3763
15,65.4217,0.4124,65.5777,0.3853
16,64.9915,0.4192,64.4858,0.3907
17,64.1802,0.4204,63.5816,0.3943
18,64.9010,0.4170,62.2710,0.3978
19,62.6155,0.4359,60.7896,0.4014
20,60.7625,0.4357,58.9364,0.4122
21,59.3123,0.4455,57.7789,0.4176
22,57.6874,0.4503,56.6681,0.4176
23,57.1049,0.4603,56.0947,0.4337
24,56.5220,0.4581,54.7994,0.4229
25,54.4465,0.4581,53.6264,0.4319
26,53.2091,0.4597,51.6699,0.4319
27,51.8724,0.4606,51.1535,0.4409
28,53.9027,0.4656,51.5369,0.4373
29,52.8570,0.4612,50.9678,0.4427
30,50.8631,0.4722,49.5855,0.4444
31,49.6945,0.4666,47.7474,0.4552
32,49.3443,0.4774,47.6144,0.4552
33,46.8745,0.4734,45.6418,0.4552
34,46.0689,0.4760,44.3421,0.4498
35,44.5750,0.4664,43.7519,0.4427
36,44.1622,0.4718,43.1825,0.4427
37,42.4019,0.4814,41.6657,0.4516
38,42.2327,0.4712,40.3183,0.4462
39,41.0213,0.4734,41.9406,0.4498
40,42.2838,0.4680,41.3465,0.4480
41,41.4452,0.4754,40.4677,0.4498
42,40.6856,0.4722,39.9134,0.4516
43,38.8538,0.4764,38.1019,0.4498
44,37.8976,0.4808,37.9301,0.4516
45,39.0245,0.4748,37.3308,0.4516
46,38.6323,0.4664,36.6320,0.4588
47,36.9490,0.4840,35.5053,0.4534
48,32.6824,0.4752,31.5915,0.4498
49,29.2992,0.4911,30.8573,0.4480
50,30.2195,0.4933,30.6792,0.4480
51,29.9298,0.4788,29.8339,0.4409
52,29.2992,0.5025,29.6506,0.4534
53,29.4956,0.4832,29.7576,0.4570
54,28.7843,0.4856,28.8740,0.4409
55,27.7663,0.4879,28.9367,0.4462
56,27.9345,0.4983,28.8605,0.4516
57,29.2419,0.4891,29.0955,0.4462
58,27.1361,0.4915,28.3331,0.4480
59,27.3562,0.4887,26.7835,0.4552
60,25.7511,0.4941,27.2613,0.4588
61,27.7868,0.4917,27.8782,0.4427
62,27.7752,0.4798,27.9584,0.4516
63,26.8266,0.4862,26.7730,0.4444
64,25.5157,0.4985,26.0833,0.4552
65,24.2727,0.5021,20.9110,0.4731
66,21.7460,0.5156,20.8897,0.4785
67,22.1720,0.5105,22.5944,0.4785
68,23.5226,0.4943,25.8370,0.4337
69,26.5054,0.4822,26.0838,0.4283
70,26.4136,0.4710,25.9763,0.4444
71,25.9604,0.4879,25.6977,0.4319
72,26.1399,0.4808,25.4674,0.4391
73,25.4775,0.4782,25.0043,0.4391
74,25.0219,0.4838,24.8524,0.4570
75,24.7376,0.4844,24.6412,0.4606
76,24.8426,0.4897,24.8508,0.4516
77,25.0227,0.4824,24.6542,0.4462
78,24.7281,0.4832,24.2863,0.4570
79,24.0135,0.4856,24.2131,0.4534
80,24.7870,0.4842,24.0711,0.4588
81,24.8822,0.4935,23.9666,0.4624
82,24.2845,0.4810,23.1519,0.4642
83,22.8886,0.4937,22.5077,0.4749
84,22.2776,0.5091,22.4359,0.4749
85,23.4234,0.4887,23.0928,0.4731
86,22.3879,0.5053,22.3347,0.4785
87,21.2510,0.5178,22.1197,0.4875
88,21.7686,0.5077,22.0533,0.4982
89,21.0564,0.4985,21.7745,0.5054
90,20.9918,0.5230,21.8608,0.5036
91,21.8351,0.5134,21.5413,0.5000
92,21.5268,0.5117,21.3917,0.5036
93,21.6554,0.5154,21.5088,0.5054
94,20.7001,0.5228,21.5048,0.5108
95,21.6452,0.5152,21.6336,0.5054
96,21.6218,0.5198,21.3729,0.5161
97,21.2573,0.5127,22.4739,0.5072
98,23.1970,0.5021,22.8669,0.4982
99,22.9852,0.5152,22.7838,0.4982
100,23.0420,0.5085,22.6857,0.5054
101,22.6328,0.5166,22.6456,0.5125
102,23.1263,0.5206,22.4799,0.5197
103,23.1156,0.5003,22.5199,0.5215
104,22.9380,0.5123,22.3606,0.5197
105,22.8784,0.5180,22.4287,0.5269
106,22.6734,0.5174,22.2826,0.5251
107,22.8476,0.5103,22.4916,0.5197
108,22.5261,0.5170,22.5135,0.5269
109,22.4955,0.5144,22.4945,0.5358
110,22.4857,0.5246,22.4638,0.5179
111,22.7084,0.5103,22.4167,0.5143
112,22.1509,0.5200,22.4114,0.5161
113,22.5123,0.5222,22.4100,0.5197
114,23.0228,0.5264,22.3661,0.5341
115,22.9890,0.5288,22.2601,0.5394
116,22.4806,0.5316,22.2587,0.5412
