epoch,loss,acc,val_loss,val_acc
1,1.5438,0.3273,1.3858,0.5922
2,1.3311,0.4801,1.2142,0.6277
3,1.1948,0.5486,1.0819,0.6525
4,1.0757,0.5908,0.9585,0.7447
5,0.9753,0.6455,0.8482,0.7979
6,0.8899,0.6711,0.7564,0.7943
7,0.8129,0.6999,0.6868,0.7979
8,0.7519,0.7294,0.6333,0.7979
9,0.7067,0.7464,0.5915,0.7872
10,0.6659,0.7523,0.5591,0.7943
11,0.6515,0.7460,0.5321,0.7943
12,0.6058,0.7566,0.5084,0.8298
13,0.5902,0.7633,0.4881,0.8014
14,0.5763,0.7637,0.4702,0.8014
15,0.5581,0.7684,0.4545,0.8050
16,0.5372,0.7747,0.4400,0.8050
17,0.5176,0.7834,0.4268,0.8050
18,0.4992,0.7802,0.4146,0.8085
19,0.4938,0.7834,0.4026,0.8050
20,0.4778,0.7991,0.3917,0.8085
21,0.4721,0.7873,0.3825,0.8014
22,0.4467,0.8054,0.3719,0.8050
23,0.4513,0.8054,0.3625,0.8121
24,0.4365,0.8117,0.3541,0.9787
25,0.4262,0.8295,0.3463,0.9326
26,0.4210,0.8236,0.3398,0.8404
27,0.4115,0.8299,0.3332,0.9468
28,0.4028,0.8405,0.3268,0.9326
29,0.3944,0.8417,0.3221,0.8191
30,0.3922,0.8488,0.3159,0.8191
31,0.3847,0.8436,0.3102,0.9752
32,0.3809,0.8555,0.3049,0.9113
33,0.3765,0.8555,0.3001,0.8191
34,0.3662,0.8685,0.2947,0.8262
35,0.3611,0.8665,0.2908,0.9787
36,0.3533,0.8724,0.2859,0.9716
37,0.3469,0.8948,0.2817,0.9468
38,0.3461,0.8956,0.2762,0.9823
39,0.3420,0.8929,0.2721,0.9787
40,0.3310,0.8933,0.2672,0.9787
41,0.3304,0.9019,0.2638,0.9823
42,0.3196,0.9106,0.2580,0.9858
43,0.3223,0.9122,0.2542,0.9752
44,0.3177,0.9106,0.2503,0.9858
45,0.3034,0.9232,0.2443,0.9929
46,0.3023,0.9169,0.2413,0.9326
47,0.3035,0.9102,0.2356,0.9965
48,0.2946,0.9208,0.2316,0.9858
49,0.2863,0.9240,0.2261,0.9965
50,0.2779,0.9350,0.2229,0.9823
51,0.2707,0.9307,0.2158,0.9858
52,0.2724,0.9327,0.2124,0.9894
53,0.2695,0.9374,0.2065,0.9929
54,0.2595,0.9338,0.2030,0.9823
55,0.2534,0.9413,0.1974,0.9929
56,0.2463,0.9413,0.1918,0.9929
57,0.2377,0.9413,0.1854,0.9858
58,0.2434,0.9441,0.1822,0.9858
59,0.2352,0.9449,0.1766,0.9929
60,0.2354,0.9390,0.1746,0.9965
61,0.2228,0.9468,0.1671,0.9858
62,0.2291,0.9464,0.1643,0.9965
63,0.2171,0.9523,0.1574,0.9929
64,0.2151,0.9523,0.1535,0.9965
65,0.2096,0.9527,0.1485,0.9858
66,0.1984,0.9575,0.1435,0.9858
67,0.2017,0.9563,0.1392,0.9894
68,0.2021,0.9492,0.1355,0.9965
69,0.1928,0.9602,0.1319,0.9965
70,0.1888,0.9618,0.1273,0.9858
71,0.1895,0.9559,0.1234,0.9929
72,0.1770,0.9649,0.1187,0.9965
73,0.1785,0.9626,0.1137,0.9965
74,0.1801,0.9602,0.1108,0.9929
75,0.1794,0.9539,0.1084,0.9965
76,0.1769,0.9630,0.1045,1.0000
77,0.1703,0.9626,0.1023,1.0000
78,0.1648,0.9677,0.1025,0.9894
79,0.1575,0.9673,0.0942,1.0000
80,0.1595,0.9669,0.0911,1.0000
81,0.1594,0.9602,0.0884,1.0000
82,0.1469,0.9693,0.0857,1.0000
83,0.1481,0.9693,0.0833,1.0000
84,0.1432,0.9697,0.0790,1.0000
85,0.1428,0.9697,0.0769,1.0000
86,0.1447,0.9673,0.0738,1.0000
87,0.1374,0.9716,0.0709,1.0000
88,0.1375,0.9685,0.0685,1.0000
89,0.1360,0.9673,0.0672,1.0000
90,0.1347,0.9677,0.0651,1.0000
91,0.1317,0.9736,0.0627,1.0000
92,0.1214,0.9787,0.0608,1.0000
93,0.1253,0.9748,0.0593,1.0000
94,0.1186,0.9776,0.0557,1.0000
95,0.1196,0.9736,0.0551,1.0000
96,0.1207,0.9740,0.0542,1.0000
97,0.1105,0.9764,0.0524,1.0000
98,0.1132,0.9772,0.0513,1.0000
99,0.1160,0.9776,0.0489,1.0000
100,0.1133,0.9783,0.0479,1.0000
