epoch,loss,acc,val_loss,val_acc
1,1.2574,0.4919,0.8511,0.6750
2,0.7351,0.6816,0.5387,0.8964
3,0.5509,0.7780,0.4163,0.9571
4,0.4351,0.8670,0.3164,0.9464
5,0.3248,0.9040,0.2133,0.9607
6,0.2439,0.9418,0.2356,0.8786
7,0.1988,0.9512,0.1077,0.9714
8,0.1572,0.9614,0.0829,0.9821
9,0.1372,0.9638,0.0827,0.9750
10,0.1150,0.9732,0.0429,1.0000
11,0.0934,0.9784,0.0411,0.9964
12,0.0836,0.9819,0.0329,1.0000
13,0.0858,0.9787,0.0964,0.9679
14,0.0746,0.9811,0.0190,1.0000
15,0.0709,0.9815,0.0156,1.0000
16,0.0523,0.9913,0.0113,1.0000
17,0.0597,0.9835,0.0114,1.0000
18,0.0611,0.9827,0.0087,1.0000
19,0.0514,0.9858,0.0078,1.0000
20,0.0439,0.9894,0.0076,1.0000
21,0.0485,0.9878,0.0059,1.0000
22,0.0459,0.9874,0.0056,1.0000
23,0.0382,0.9917,0.0051,1.0000
24,0.0431,0.9894,0.0053,1.0000
25,0.0389,0.9906,0.0044,1.0000
26,0.0423,0.9894,0.0048,1.0000
27,0.0402,0.9898,0.0067,1.0000
28,0.0373,0.9882,0.0033,1.0000
29,0.0409,0.9870,0.0033,1.0000
30,0.0295,0.9921,0.0026,1.0000
31,0.0321,0.9929,0.0030,1.0000
32,0.0304,0.9925,0.0031,1.0000
33,0.0393,0.9882,0.0049,1.0000
34,0.0284,0.9929,0.0018,1.0000
35,0.0332,0.9909,0.0018,1.0000
36,0.0306,0.9929,0.0022,1.0000
37,0.0279,0.9917,0.0125,0.9929
38,0.0296,0.9925,0.0020,1.0000
39,0.0254,0.9917,0.0020,1.0000
40,0.0285,0.9929,0.0015,1.0000
41,0.0259,0.9925,0.0073,0.9964
42,0.0270,0.9913,0.0011,1.0000
43,0.0198,0.9961,0.0012,1.0000
44,0.0238,0.9933,0.0012,1.0000
45,0.0216,0.9925,0.0043,1.0000
46,0.0257,0.9921,0.0011,1.0000
47,0.0261,0.9921,0.0012,1.0000
48,0.0269,0.9925,0.0028,1.0000
49,0.0226,0.9933,7.7090e-04,1.0000
50,0.0232,0.9937,0.0012,1.0000
51,0.0272,0.9913,0.0035,1.0000
52,0.0269,0.9906,0.0012,1.0000
53,0.0217,0.9937,8.4894e-04,1.0000
54,0.0184,0.9961,7.1657e-04,1.0000
55,0.0208,0.9945,0.0011,1.0000
56,0.0254,0.9913,0.0031,1.0000
57,0.0181,0.9969,0.0011,1.0000
58,0.0244,0.9933,8.2021e-04,1.0000
59,0.0178,0.9953,9.0247e-04,1.0000
60,0.0215,0.9945,9.3463e-04,1.0000
61,0.0200,0.9953,0.0011,1.0000
62,0.0182,0.9957,0.0040,1.0000
63,0.0251,0.9921,8.7029e-04,1.0000
64,0.0190,0.9945,0.0012,1.0000
65,0.0253,0.9921,8.2571e-04,1.0000
66,0.0188,0.9953,6.9320e-04,1.0000
67,0.0223,0.9929,0.0016,1.0000
68,0.0215,0.9937,7.2251e-04,1.0000
69,0.0185,0.9953,7.9675e-04,1.0000
70,0.0156,0.9957,0.0010,1.0000
71,0.0129,0.9976,0.0029,1.0000
72,0.0199,0.9937,7.8545e-04,1.0000
73,0.0209,0.9945,5.2209e-04,1.0000
74,0.0181,0.9945,0.0013,1.0000
75,0.0233,0.9925,6.4724e-04,1.0000
76,0.0188,0.9953,3.9850e-04,1.0000
77,0.0155,0.9957,4.4083e-04,1.0000
78,0.0198,0.9945,6.6668e-04,1.0000
79,0.0167,0.9945,0.0012,1.0000
80,0.0207,0.9949,2.7785e-04,1.0000
81,0.0204,0.9941,8.1824e-04,1.0000
82,0.0186,0.9961,5.8910e-04,1.0000
83,0.0145,0.9961,5.3535e-04,1.0000
84,0.0203,0.9941,7.0778e-04,1.0000
85,0.0183,0.9933,7.4812e-04,1.0000
86,0.0156,0.9969,0.0024,1.0000
87,0.0179,0.9949,4.5555e-04,1.0000
88,0.0138,0.9965,4.3423e-04,1.0000
89,0.0166,0.9953,9.8504e-04,1.0000
90,0.0152,0.9965,5.7757e-04,1.0000
91,0.0140,0.9961,0.0630,0.9821
92,0.0167,0.9953,0.0053,1.0000
93,0.0204,0.9941,6.4770e-04,1.0000
94,0.0186,0.9945,0.0013,1.0000
95,0.0098,0.9969,4.0286e-04,1.0000
96,0.0151,0.9961,0.0011,1.0000
97,0.0150,0.9961,3.2214e-04,1.0000
98,0.0150,0.9965,5.8519e-04,1.0000
99,0.0144,0.9961,0.0931,0.9750
100,0.0186,0.9945,6.3260e-04,1.0000
101,0.0147,0.9957,8.4069,0.7321
102,0.0807,0.9906,0.0019,1.0000
103,0.0156,0.9969,9.6511e-04,1.0000
104,0.0204,0.9925,0.0017,1.0000
105,0.0131,0.9965,5.2050e-04,1.0000
106,0.0141,0.9969,0.0011,1.0000
107,0.0111,0.9976,4.3315e-04,1.0000
108,0.0133,0.9976,5.3949e-04,1.0000
109,0.0171,0.9953,3.7832e-04,1.0000
110,0.0181,0.9945,5.2329e-04,1.0000
111,0.0125,0.9969,8.1036e-04,1.0000
112,0.0133,0.9953,2.9745e-04,1.0000
113,0.0115,0.9969,5.2497e-04,1.0000
114,0.0145,0.9965,4.5222e-04,1.0000
115,0.0162,0.9945,4.9617e-04,1.0000
116,0.0138,0.9957,4.2289e-04,1.0000
117,0.0129,0.9965,0.0017,1.0000
118,0.0108,0.9976,1.5934e-04,1.0000
119,0.0080,0.9980,2.2288e-04,1.0000
120,0.0131,0.9953,2.9890e-04,1.0000
121,0.0107,0.9980,6.6597e-04,1.0000
122,0.0115,0.9949,2.6954e-04,1.0000
123,0.0129,0.9965,3.1928e-04,1.0000
124,0.0162,0.9937,5.6059e-04,1.0000
125,0.0167,0.9945,0.0016,1.0000
126,0.0152,0.9957,3.1237e-04,1.0000
127,0.0103,0.9980,2.1514e-04,1.0000
128,0.0109,0.9969,6.9654e-04,1.0000
129,0.0258,0.9937,7.2376e-04,1.0000
130,0.0118,0.9961,3.9700e-04,1.0000
131,0.0125,0.9957,0.0121,0.9929
132,0.0110,0.9976,4.9549e-04,1.0000
133,0.0100,0.9980,1.6865e-04,1.0000
134,0.0103,0.9972,3.3292e-04,1.0000
135,0.0115,0.9961,2.8100e-04,1.0000
136,0.0150,0.9945,1.6077e-04,1.0000
137,0.0158,0.9941,2.5530e-04,1.0000
138,0.0116,0.9976,8.9913e-04,1.0000
139,0.0096,0.9972,2.6896e-04,1.0000
140,0.0096,0.9972,1.7798e-04,1.0000
141,0.0121,0.9953,1.4538e-04,1.0000
142,0.0100,0.9976,1.2137e-04,1.0000
143,0.0131,0.9953,1.4821e-04,1.0000
144,0.0110,0.9961,1.9279e-04,1.0000
145,0.0149,0.9953,2.4713e-04,1.0000
146,0.0134,0.9961,6.3087e-04,1.0000
147,0.0110,0.9965,1.7663e-04,1.0000
148,0.0142,0.9957,2.9535e-04,1.0000
149,0.0110,0.9965,3.0882e-04,1.0000
150,0.0103,0.9969,8.1901e-04,1.0000
