epoch,loss,acc,val_loss,val_acc
1,1.5645,0.2894,1.4190,0.4807
2,1.3354,0.4897,1.0787,0.8211
3,0.9787,0.6424,0.6934,0.8211
4,0.7253,0.6869,0.5080,0.8702
5,0.5973,0.7236,0.4317,0.8737
6,0.5421,0.7449,0.3829,0.8351
7,0.4935,0.7677,0.3566,0.8877
8,0.4626,0.7808,0.3259,0.9754
9,0.4488,0.7977,0.3056,0.9368
10,0.4271,0.7950,0.2896,0.8667
11,0.4273,0.8107,0.2815,0.9509
12,0.4048,0.8131,0.2888,0.8211
13,0.3846,0.8186,0.2591,0.9263
14,0.3941,0.8123,0.2577,0.9123
15,0.3721,0.8308,0.2347,0.9228
16,0.3735,0.8348,0.2180,0.9614
17,0.3697,0.8344,0.2140,0.9649
18,0.3589,0.8403,0.2131,0.9158
19,0.3446,0.8521,0.1963,0.9754
20,0.3444,0.8454,0.1907,0.9825
21,0.3347,0.8494,0.1885,0.9684
22,0.3279,0.8596,0.1857,0.9649
23,0.3355,0.8509,0.1775,0.9789
24,0.3324,0.8446,0.1905,0.9053
25,0.3364,0.8513,0.1747,0.9754
26,0.3101,0.8533,0.1657,0.9895
27,0.3385,0.8576,0.1633,0.9789
28,0.3343,0.8549,0.1759,0.9579
29,0.3142,0.8691,0.1669,0.9930
30,0.3295,0.8549,0.1730,0.9649
31,0.3037,0.8722,0.1825,0.9368
32,0.3102,0.8711,0.1849,0.9754
33,0.2930,0.8809,0.1431,0.9895
34,0.3236,0.8537,0.1410,0.9895
35,0.2932,0.8766,0.1418,0.9895
36,0.2888,0.8801,0.1563,0.9719
37,0.2793,0.8789,0.1389,0.9930
38,0.3070,0.8711,0.1428,0.9860
39,0.3009,0.8715,0.1349,0.9965
40,0.2711,0.8931,0.1333,0.9895
41,0.2722,0.8829,0.1263,0.9965
42,0.3034,0.8667,0.1303,0.9965
43,0.2916,0.8726,0.1344,0.9895
44,0.2840,0.8782,0.1397,0.9825
45,0.2922,0.8742,0.1708,0.9228
46,0.2875,0.8782,0.1238,0.9965
47,0.2667,0.8896,0.1384,0.9789
48,0.2625,0.8908,0.1233,0.9895
49,0.2794,0.8789,0.1169,0.9965
50,0.2679,0.8904,0.1187,0.9965
51,0.2686,0.8829,0.1333,0.9789
52,0.2584,0.8951,0.1192,0.9930
53,0.2733,0.8876,0.1247,0.9825
54,0.2459,0.9022,0.1102,0.9930
55,0.2684,0.8888,0.1160,0.9930
56,0.2548,0.8994,0.1053,0.9930
57,0.2388,0.9062,0.1412,0.9509
58,0.2474,0.8998,0.1144,0.9825
59,0.2482,0.8994,0.1157,0.9754
60,0.2596,0.8931,0.1028,0.9895
61,0.2473,0.8979,0.1017,0.9930
62,0.2461,0.9042,0.1120,0.9860
63,0.2374,0.9093,0.1047,0.9860
64,0.2393,0.8975,0.0973,0.9965
65,0.2409,0.8994,0.0861,0.9965
66,0.2427,0.8975,0.1309,0.9544
