epoch,loss,acc,val_loss,val_acc
1,1.5814,0.2501,1.4517,0.4362
2,1.3586,0.4494,1.1336,0.7234
3,1.0397,0.6093,0.7816,0.8156
4,0.7719,0.6955,0.5661,0.8156
5,0.6134,0.7326,0.4625,0.8156
6,0.5411,0.7574,0.4127,0.9007
7,0.4990,0.7515,0.3759,0.9149
8,0.4867,0.7657,0.3503,0.8404
9,0.4565,0.7735,0.3323,0.9433
10,0.4312,0.8019,0.3147,0.9433
11,0.4193,0.8054,0.2989,0.9291
12,0.4293,0.8007,0.2850,0.9574
13,0.4084,0.8208,0.2771,0.9184
14,0.4089,0.8192,0.2578,0.9823
15,0.3969,0.8275,0.2504,0.9645
16,0.3833,0.8220,0.2442,0.8830
17,0.3908,0.8275,0.2343,0.9965
18,0.3656,0.8365,0.2253,0.9752
19,0.3565,0.8373,0.2136,0.9787
20,0.3817,0.8334,0.2152,0.9823
21,0.3621,0.8401,0.2103,0.9326
22,0.3585,0.8362,0.2012,0.9645
23,0.3482,0.8472,0.1930,0.9965
24,0.3593,0.8373,0.2009,0.9362
25,0.3560,0.8393,0.1876,0.9858
26,0.3472,0.8488,0.1838,0.9965
27,0.3421,0.8448,0.1890,0.9965
28,0.3449,0.8495,0.1817,0.9752
29,0.3475,0.8484,0.1734,0.9787
30,0.3589,0.8440,0.1792,0.9610
31,0.3271,0.8586,0.1763,0.9645
32,0.3256,0.8653,0.1727,0.9894
33,0.3252,0.8535,0.1683,0.9645
34,0.3450,0.8444,0.1656,0.9752
35,0.3222,0.8610,0.1521,0.9929
36,0.3423,0.8507,0.1539,0.9929
37,0.3258,0.8649,0.1557,0.9929
38,0.3040,0.8767,0.1560,0.9752
39,0.3184,0.8515,0.1603,0.9858
40,0.3094,0.8618,0.1606,0.9610
41,0.3228,0.8637,0.1486,0.9929
42,0.3115,0.8590,0.1529,0.9823
43,0.2978,0.8708,0.1389,0.9929
44,0.3090,0.8633,0.1471,0.9965
45,0.2945,0.8755,0.1355,0.9965
46,0.3070,0.8665,0.1394,0.9858
47,0.3101,0.8657,0.1500,0.9929
48,0.3077,0.8610,0.1349,0.9929
49,0.3068,0.8716,0.1371,0.9965
50,0.3019,0.8622,0.1513,0.9716
51,0.2920,0.8751,0.1269,0.9965
52,0.2882,0.8732,0.1264,0.9965
53,0.2872,0.8763,0.1183,0.9965
54,0.2924,0.8759,0.1188,0.9929
55,0.2984,0.8704,0.1165,0.9965
56,0.3059,0.8728,0.1129,0.9929
57,0.2973,0.8775,0.1093,0.9965
58,0.2702,0.8885,0.1129,0.9929
59,0.2686,0.8933,0.1120,0.9929
60,0.2739,0.8858,0.1219,0.9894
61,0.2759,0.8846,0.1425,0.9433
62,0.2874,0.8811,0.1119,0.9929
63,0.2669,0.8874,0.1020,0.9929
64,0.2836,0.8846,0.0999,0.9929
65,0.2654,0.8874,0.0991,0.9929
66,0.2656,0.8952,0.1050,0.9929
67,0.2757,0.8874,0.1101,0.9894
68,0.2631,0.8925,0.1048,0.9929
69,0.2709,0.8905,0.1093,0.9929
70,0.2609,0.8941,0.1089,0.9929
71,0.2541,0.8992,0.1133,0.9894
72,0.2552,0.8948,0.1378,0.9433
73,0.2508,0.8976,0.0985,0.9929
74,0.2420,0.8988,0.0848,0.9929
75,0.2478,0.8929,0.0994,0.9894
76,0.2265,0.9051,0.0810,0.9929
77,0.2589,0.8917,0.0917,0.9929
78,0.2503,0.9051,0.1038,0.9681
79,0.2460,0.8996,0.0829,0.9929
80,0.2304,0.9043,0.0786,0.9929
81,0.2440,0.8976,0.0817,0.9929
82,0.2308,0.9063,0.0794,0.9929
83,0.2330,0.9130,0.0792,0.9929
84,0.2239,0.9094,0.0817,0.9894
85,0.2300,0.9063,0.0695,0.9929
86,0.2336,0.9043,0.0780,0.9894
87,0.2268,0.9130,0.0882,0.9823
88,0.2203,0.9137,0.0713,0.9929
89,0.2207,0.9098,0.0826,0.9929
90,0.2265,0.9067,0.0793,0.9929
91,0.2250,0.9086,0.1511,0.9291
92,0.2302,0.9039,0.0695,0.9929
93,0.2246,0.9137,0.0970,0.9681
94,0.2209,0.9067,0.0723,0.9929
95,0.2142,0.9149,0.0726,0.9929
96,0.2176,0.9153,0.0735,0.9965
97,0.2141,0.9153,0.0778,0.9858
98,0.2240,0.9130,0.0733,0.9858
99,0.2149,0.9244,0.0660,0.9929
100,0.2141,0.9130,0.0695,0.9929
101,0.1973,0.9161,0.0677,0.9965
102,0.2121,0.9228,0.0635,0.9965
103,0.2137,0.9169,0.0540,0.9929
104,0.2010,0.9236,0.0596,0.9894
105,0.2048,0.9220,0.0625,0.9965
106,0.2137,0.9228,0.0627,0.9929
107,0.1949,0.9248,0.0848,0.9752
108,0.1997,0.9252,0.0630,0.9858
109,0.1869,0.9256,0.0584,0.9929
110,0.1807,0.9327,0.0448,0.9929
111,0.2037,0.9204,0.0495,0.9929
112,0.1981,0.9185,0.0727,0.9787
113,0.1917,0.9291,0.0541,0.9965
114,0.1823,0.9299,0.0528,0.9929
115,0.1870,0.9279,0.0548,0.9894
116,0.1821,0.9342,0.0522,0.9894
117,0.1782,0.9327,0.0498,0.9858
118,0.1861,0.9330,0.0598,0.9929
119,0.1841,0.9283,0.0695,0.9823
120,0.1821,0.9323,0.2029,0.9149
121,0.1772,0.9323,0.0649,0.9787
122,0.1822,0.9283,0.0831,0.9929
123,0.1886,0.9295,0.0481,0.9965
124,0.1811,0.9323,0.0458,0.9965
125,0.1728,0.9334,0.0842,0.9574
126,0.1708,0.9327,0.0511,0.9929
127,0.1764,0.9374,0.0624,0.9858
128,0.1570,0.9456,0.0436,0.9965
129,0.1653,0.9358,0.0565,0.9823
130,0.1563,0.9453,0.0383,0.9965
131,0.1631,0.9393,0.0700,0.9752
132,0.1643,0.9378,0.0390,0.9965
133,0.1642,0.9378,0.0543,0.9858
134,0.1618,0.9350,0.0406,0.9894
135,0.1551,0.9445,0.0357,0.9965
136,0.1645,0.9386,0.0446,0.9929
137,0.1469,0.9504,0.0376,0.9929
138,0.1805,0.9338,0.1079,0.9433
139,0.1467,0.9417,0.0463,0.9894
140,0.1454,0.9492,0.0478,0.9823
141,0.1650,0.9417,0.0526,0.9858
142,0.1327,0.9512,0.0484,0.9858
143,0.1467,0.9488,0.0563,0.9752
144,0.1520,0.9445,0.0651,0.9752
145,0.1467,0.9484,0.0490,0.9894
146,0.1542,0.9437,0.0406,0.9929
147,0.1480,0.9445,0.0466,0.9823
148,0.1608,0.9397,0.0388,0.9929
149,0.1488,0.9433,0.0386,0.9929
150,0.1486,0.9433,0.0372,0.9965
151,0.1513,0.9429,0.0414,0.9823
152,0.1535,0.9370,0.0419,0.9929
153,0.1502,0.9386,0.0513,0.9823
154,0.1591,0.9409,0.0543,0.9858
155,0.1454,0.9472,0.0704,0.9716
156,0.1420,0.9512,0.0398,0.9965
157,0.1419,0.9472,0.0328,0.9929
158,0.1412,0.9484,0.0549,0.9752
159,0.1332,0.9543,0.0650,0.9752
